May 12, 2026   14:02:26
A.C. Impedance
File: e:\chi_data\r0.35-n0.95-1_t11.4_f0.1_1000000_v0.txt
Data Source:  Experiment
Instrument Model:  CHI660E
Header: 
Note: 

Init E (V) = 0
High Frequency (Hz) = 1e+6
Low Frequency (Hz) = 0.1
Imp SF
Amplitude (V) = 0.005
Quiet Time (sec) = 2
Cycles (.1-1Hz) = 1

Freq/Hz, Z'/ohm, Z"/ohm, Z/ohm, Phase/deg

8.252e+5, 5.050e+0, 1.184e+1, 1.287e+1, 66.9
6.816e+5, 4.568e+0, 9.736e+0, 1.075e+1, 64.9
5.625e+5, 3.961e+0, 7.950e+0, 8.882e+0, 63.5
4.639e+5, 3.763e+0, 6.526e+0, 7.533e+0, 60.0
3.828e+5, 3.579e+0, 5.388e+0, 6.469e+0, 56.4
3.164e+5, 3.503e+0, 4.468e+0, 5.678e+0, 51.9
2.607e+5, 3.415e+0, 3.698e+0, 5.034e+0, 47.3
2.158e+5, 3.360e+0, 3.045e+0, 4.535e+0, 42.2
1.777e+5, 3.314e+0, 2.483e+0, 4.141e+0, 36.8
1.465e+5, 3.286e+0, 2.014e+0, 3.854e+0, 31.5
1.211e+5, 3.256e+0, 1.632e+0, 3.642e+0, 26.6
9.961e+4, 3.241e+0, 1.315e+0, 3.497e+0, 22.1
8.252e+4, 3.234e+0, 1.045e+0, 3.398e+0, 17.9
6.812e+4, 3.232e+0, 8.082e-1, 3.332e+0, 14.0
5.625e+4, 3.234e+0, 5.980e-1, 3.289e+0, 10.5
4.644e+4, 3.240e+0, 4.106e-1, 3.265e+0, 7.2
3.833e+4, 3.250e+0, 2.431e-1, 3.259e+0, 4.3
3.164e+4, 3.264e+0, 9.038e-2, 3.265e+0, 1.6
2.612e+4, 3.277e+0, -5.453e-2, 3.277e+0, -1.0
2.153e+4, 3.292e+0, -1.976e-1, 3.298e+0, -3.4
1.777e+4, 3.311e+0, -3.440e-1, 3.329e+0, -5.9
1.470e+4, 3.334e+0, -4.981e-1, 3.371e+0, -8.5
1.211e+4, 3.358e+0, -6.631e-1, 3.423e+0, -11.2
1.001e+4, 3.385e+0, -8.481e-1, 3.490e+0, -14.1
8.252e+3, 3.417e+0, -1.058e+0, 3.577e+0, -17.2
6.812e+3, 3.455e+0, -1.297e+0, 3.690e+0, -20.6
5.625e+3, 3.498e+0, -1.572e+0, 3.835e+0, -24.2
4.643e+3, 3.549e+0, -1.892e+0, 4.021e+0, -28.1
3.833e+3, 3.608e+0, -2.268e+0, 4.261e+0, -32.2
3.164e+3, 3.678e+0, -2.711e+0, 4.569e+0, -36.4
2.612e+3, 3.761e+0, -3.235e+0, 4.961e+0, -40.7
2.153e+3, 3.858e+0, -3.855e+0, 5.454e+0, -45.0
1.777e+3, 3.972e+0, -4.587e+0, 6.068e+0, -49.1
1.470e+3, 4.106e+0, -5.457e+0, 6.829e+0, -53.0
1.211e+3, 4.261e+0, -6.491e+0, 7.765e+0, -56.7
1.001e+3, 4.445e+0, -7.720e+0, 8.908e+0, -60.1
8.252e+2, 4.663e+0, -9.175e+0, 1.029e+1, -63.1
6.836e+2, 4.918e+0, -1.092e+1, 1.197e+1, -65.7
5.615e+2, 5.217e+0, -1.300e+1, 1.401e+1, -68.1
4.639e+2, 5.569e+0, -1.550e+1, 1.647e+1, -70.2
3.809e+2, 5.983e+0, -1.843e+1, 1.938e+1, -72.0
3.174e+2, 6.493e+0, -2.197e+1, 2.291e+1, -73.5
2.588e+2, 7.115e+0, -2.625e+1, 2.720e+1, -74.8
2.148e+2, 7.865e+0, -3.138e+1, 3.235e+1, -75.9
1.758e+2, 8.763e+0, -3.743e+1, 3.844e+1, -76.8
1.465e+2, 9.813e+0, -4.440e+1, 4.547e+1, -77.5
1.221e+2, 1.117e+1, -5.308e+1, 5.424e+1, -78.1
9.766e+1, 1.301e+1, -6.326e+1, 6.459e+1, -78.4
8.254e+1, 1.529e+1, -7.496e+1, 7.651e+1, -78.5
6.813e+1, 1.797e+1, -8.904e+1, 9.083e+1, -78.6
5.623e+1, 2.110e+1, -1.057e+2, 1.078e+2, -78.7
4.642e+1, 2.492e+1, -1.257e+2, 1.281e+2, -78.8
3.831e+1, 2.966e+1, -1.494e+2, 1.523e+2, -78.8
3.162e+1, 3.551e+1, -1.775e+2, 1.810e+2, -78.7
2.610e+1, 4.263e+1, -2.105e+2, 2.148e+2, -78.6
2.154e+1, 5.127e+1, -2.493e+2, 2.546e+2, -78.4
1.778e+1, 6.183e+1, -2.950e+2, 3.014e+2, -78.2
1.468e+1, 7.483e+1, -3.487e+2, 3.567e+2, -77.9
1.212e+1, 9.062e+1, -4.120e+2, 4.218e+2, -77.6
1.000e+1, 1.099e+2, -4.862e+2, 4.985e+2, -77.3
8.254e+0, 1.334e+2, -5.733e+2, 5.886e+2, -76.9
6.813e+0, 1.614e+2, -6.754e+2, 6.944e+2, -76.6
5.623e+0, 1.948e+2, -7.946e+2, 8.181e+2, -76.2
4.642e+0, 2.344e+2, -9.342e+2, 9.631e+2, -75.9
3.831e+0, 2.815e+2, -1.097e+3, 1.132e+3, -75.6
3.162e+0, 3.359e+2, -1.287e+3, 1.330e+3, -75.4
2.610e+0, 3.986e+2, -1.511e+3, 1.563e+3, -75.2
2.154e+0, 4.632e+2, -1.782e+3, 1.841e+3, -75.4
1.778e+0, 5.323e+2, -2.100e+3, 2.167e+3, -75.8
1.468e+0, 6.166e+2, -2.464e+3, 2.540e+3, -76.0
1.212e+0, 7.180e+2, -2.884e+3, 2.972e+3, -76.0
1.000e+0, 8.393e+2, -3.369e+3, 3.472e+3, -76.0
