May 13, 2026   23:50:42
A.C. Impedance
File: e:\chi_data\r0.62-n0.72-2_t-9.0_f0.1_1000000_v0_#1.txt
Data Source:  Experiment
Instrument Model:  CHI660E
Header: 
Note: 

Init E (V) = 0
High Frequency (Hz) = 1e+6
Low Frequency (Hz) = 0.1
Imp SF
Amplitude (V) = 0.005
Quiet Time (sec) = 2
Cycles (.1-1Hz) = 1

Freq/Hz, Z'/ohm, Z"/ohm, Z/ohm, Phase/deg

8.252e+5, 8.079e+0, 1.147e+1, 1.403e+1, 54.8
6.816e+5, 7.555e+0, 9.309e+0, 1.199e+1, 50.9
5.625e+5, 7.014e+0, 7.742e+0, 1.045e+1, 47.8
4.639e+5, 6.803e+0, 6.330e+0, 9.292e+0, 42.9
3.828e+5, 6.661e+0, 5.264e+0, 8.490e+0, 38.3
3.164e+5, 6.598e+0, 4.340e+0, 7.898e+0, 33.3
2.607e+5, 6.520e+0, 3.591e+0, 7.444e+0, 28.8
2.158e+5, 6.459e+0, 2.948e+0, 7.100e+0, 24.5
1.777e+5, 6.421e+0, 2.390e+0, 6.851e+0, 20.4
1.465e+5, 6.390e+0, 1.917e+0, 6.672e+0, 16.7
1.211e+5, 6.348e+0, 1.544e+0, 6.533e+0, 13.7
9.961e+4, 6.322e+0, 1.231e+0, 6.441e+0, 11.0
8.252e+4, 6.310e+0, 9.669e-1, 6.384e+0, 8.7
6.812e+4, 6.312e+0, 7.267e-1, 6.354e+0, 6.6
5.625e+4, 6.316e+0, 5.068e-1, 6.336e+0, 4.6
4.644e+4, 6.324e+0, 3.037e-1, 6.332e+0, 2.7
3.833e+4, 6.341e+0, 1.199e-1, 6.342e+0, 1.1
3.164e+4, 6.364e+0, -5.317e-2, 6.364e+0, -0.5
2.612e+4, 6.394e+0, -2.214e-1, 6.397e+0, -2.0
2.153e+4, 6.423e+0, -3.971e-1, 6.435e+0, -3.5
1.777e+4, 6.452e+0, -5.796e-1, 6.478e+0, -5.1
1.470e+4, 6.481e+0, -7.740e-1, 6.527e+0, -6.8
1.211e+4, 6.510e+0, -9.880e-1, 6.584e+0, -8.6
1.001e+4, 6.547e+0, -1.226e+0, 6.660e+0, -10.6
8.252e+3, 6.591e+0, -1.497e+0, 6.759e+0, -12.8
6.812e+3, 6.642e+0, -1.809e+0, 6.884e+0, -15.2
5.625e+3, 6.703e+0, -2.174e+0, 7.047e+0, -18.0
4.643e+3, 6.772e+0, -2.603e+0, 7.255e+0, -21.0
3.833e+3, 6.849e+0, -3.109e+0, 7.522e+0, -24.4
3.164e+3, 6.937e+0, -3.707e+0, 7.866e+0, -28.1
2.612e+3, 7.041e+0, -4.419e+0, 8.313e+0, -32.1
2.153e+3, 7.160e+0, -5.270e+0, 8.890e+0, -36.4
1.777e+3, 7.297e+0, -6.280e+0, 9.627e+0, -40.7
1.470e+3, 7.454e+0, -7.481e+0, 1.056e+1, -45.1
1.211e+3, 7.634e+0, -8.911e+0, 1.173e+1, -49.4
1.001e+3, 7.847e+0, -1.061e+1, 1.320e+1, -53.5
8.252e+2, 8.098e+0, -1.264e+1, 1.501e+1, -57.3
6.836e+2, 8.391e+0, -1.506e+1, 1.724e+1, -60.9
5.615e+2, 8.731e+0, -1.796e+1, 1.997e+1, -64.1
4.639e+2, 9.159e+0, -2.149e+1, 2.336e+1, -66.9
3.809e+2, 9.674e+0, -2.567e+1, 2.744e+1, -69.4
3.174e+2, 1.028e+1, -3.071e+1, 3.238e+1, -71.5
2.588e+2, 1.099e+1, -3.673e+1, 3.834e+1, -73.3
2.148e+2, 1.183e+1, -4.397e+1, 4.553e+1, -74.9
1.758e+2, 1.281e+1, -5.254e+1, 5.408e+1, -76.3
1.465e+2, 1.394e+1, -6.244e+1, 6.398e+1, -77.4
1.221e+2, 1.538e+1, -7.487e+1, 7.644e+1, -78.4
9.766e+1, 1.733e+1, -8.953e+1, 9.119e+1, -79.0
8.254e+1, 1.969e+1, -1.064e+2, 1.082e+2, -79.5
6.813e+1, 2.232e+1, -1.268e+2, 1.288e+2, -80.0
5.623e+1, 2.523e+1, -1.514e+2, 1.535e+2, -80.5
4.642e+1, 2.858e+1, -1.810e+2, 1.832e+2, -81.0
3.831e+1, 3.254e+1, -2.164e+2, 2.188e+2, -81.4
3.162e+1, 3.718e+1, -2.587e+2, 2.614e+2, -81.8
2.610e+1, 4.281e+1, -3.093e+2, 3.123e+2, -82.1
2.154e+1, 4.953e+1, -3.697e+2, 3.730e+2, -82.4
1.778e+1, 5.751e+1, -4.419e+2, 4.457e+2, -82.6
1.468e+1, 6.709e+1, -5.282e+2, 5.324e+2, -82.8
1.212e+1, 7.863e+1, -6.313e+2, 6.362e+2, -82.9
1.000e+1, 9.290e+1, -7.549e+2, 7.606e+2, -83.0
8.254e+0, 1.101e+2, -9.032e+2, 9.099e+2, -83.0
6.813e+0, 1.303e+2, -1.081e+3, 1.089e+3, -83.1
5.623e+0, 1.540e+2, -1.293e+3, 1.302e+3, -83.2
4.642e+0, 1.822e+2, -1.547e+3, 1.557e+3, -83.3
3.831e+0, 2.169e+2, -1.851e+3, 1.863e+3, -83.3
3.162e+0, 2.591e+2, -2.215e+3, 2.230e+3, -83.3
2.610e+0, 3.106e+2, -2.650e+3, 2.668e+3, -83.3
2.154e+0, 3.668e+2, -3.176e+3, 3.197e+3, -83.4
1.778e+0, 4.331e+2, -3.807e+3, 3.832e+3, -83.5
1.468e+0, 5.211e+2, -4.558e+3, 4.587e+3, -83.5
1.212e+0, 6.393e+2, -5.450e+3, 5.487e+3, -83.3
1.000e+0, 7.970e+2, -6.502e+3, 6.551e+3, -83.0
8.254e-1, 9.943e+2, -7.742e+3, 7.805e+3, -82.7
6.813e-1, 1.234e+3, -9.205e+3, 9.287e+3, -82.4
5.623e-1, 1.525e+3, -1.094e+4, 1.105e+4, -82.1
4.642e-1, 1.883e+3, -1.301e+4, 1.314e+4, -81.8
3.831e-1, 2.326e+3, -1.545e+4, 1.562e+4, -81.4
