May 13, 2026   21:34:22
A.C. Impedance
File: e:\chi_data\r0.62-n0.72-2_t0.0_f0.1_1000000_v0.txt
Data Source:  Experiment
Instrument Model:  CHI660E
Header: 
Note: 

Init E (V) = 0
High Frequency (Hz) = 1e+6
Low Frequency (Hz) = 0.1
Imp SF
Amplitude (V) = 0.005
Quiet Time (sec) = 2
Cycles (.1-1Hz) = 1

Freq/Hz, Z'/ohm, Z"/ohm, Z/ohm, Phase/deg

8.252e+5, 6.476e+0, 1.168e+1, 1.335e+1, 61.0
6.816e+5, 6.017e+0, 9.474e+0, 1.122e+1, 57.6
5.625e+5, 5.452e+0, 7.829e+0, 9.540e+0, 55.1
4.639e+5, 5.265e+0, 6.423e+0, 8.305e+0, 50.7
3.828e+5, 5.104e+0, 5.354e+0, 7.397e+0, 46.4
3.164e+5, 5.033e+0, 4.436e+0, 6.708e+0, 41.4
2.607e+5, 4.940e+0, 3.681e+0, 6.160e+0, 36.7
2.158e+5, 4.872e+0, 3.030e+0, 5.737e+0, 31.9
1.777e+5, 4.824e+0, 2.462e+0, 5.416e+0, 27.0
1.465e+5, 4.797e+0, 1.985e+0, 5.192e+0, 22.5
1.211e+5, 4.764e+0, 1.601e+0, 5.026e+0, 18.6
9.961e+4, 4.746e+0, 1.280e+0, 4.916e+0, 15.1
8.252e+4, 4.734e+0, 1.009e+0, 4.841e+0, 12.0
6.812e+4, 4.730e+0, 7.673e-1, 4.791e+0, 9.2
5.625e+4, 4.731e+0, 5.498e-1, 4.763e+0, 6.6
4.644e+4, 4.738e+0, 3.473e-1, 4.751e+0, 4.2
3.833e+4, 4.749e+0, 1.620e-1, 4.752e+0, 2.0
3.164e+4, 4.766e+0, -7.299e-3, 4.766e+0, -0.1
2.612e+4, 4.786e+0, -1.688e-1, 4.789e+0, -2.0
2.153e+4, 4.807e+0, -3.334e-1, 4.818e+0, -4.0
1.777e+4, 4.831e+0, -5.060e-1, 4.858e+0, -6.0
1.470e+4, 4.861e+0, -6.903e-1, 4.909e+0, -8.1
1.211e+4, 4.889e+0, -8.941e-1, 4.970e+0, -10.4
1.001e+4, 4.922e+0, -1.121e+0, 5.048e+0, -12.8
8.252e+3, 4.963e+0, -1.377e+0, 5.150e+0, -15.5
6.812e+3, 5.008e+0, -1.673e+0, 5.280e+0, -18.5
5.625e+3, 5.059e+0, -2.016e+0, 5.446e+0, -21.7
4.643e+3, 5.117e+0, -2.419e+0, 5.660e+0, -25.3
3.833e+3, 5.183e+0, -2.896e+0, 5.937e+0, -29.2
3.164e+3, 5.258e+0, -3.463e+0, 6.296e+0, -33.4
2.612e+3, 5.346e+0, -4.136e+0, 6.759e+0, -37.7
2.153e+3, 5.452e+0, -4.936e+0, 7.355e+0, -42.2
1.777e+3, 5.577e+0, -5.889e+0, 8.111e+0, -46.6
1.470e+3, 5.723e+0, -7.028e+0, 9.063e+0, -50.8
1.211e+3, 5.891e+0, -8.388e+0, 1.025e+1, -54.9
1.001e+3, 6.088e+0, -1.000e+1, 1.171e+1, -58.7
8.252e+2, 6.316e+0, -1.192e+1, 1.349e+1, -62.1
6.836e+2, 6.584e+0, -1.422e+1, 1.567e+1, -65.2
5.615e+2, 6.900e+0, -1.698e+1, 1.832e+1, -67.9
4.639e+2, 7.297e+0, -2.031e+1, 2.158e+1, -70.2
3.809e+2, 7.776e+0, -2.428e+1, 2.549e+1, -72.2
3.174e+2, 8.335e+0, -2.905e+1, 3.022e+1, -74.0
2.588e+2, 8.999e+0, -3.477e+1, 3.591e+1, -75.5
2.148e+2, 9.786e+0, -4.164e+1, 4.277e+1, -76.8
1.758e+2, 1.071e+1, -4.977e+1, 5.091e+1, -77.9
1.465e+2, 1.177e+1, -5.915e+1, 6.031e+1, -78.7
1.221e+2, 1.311e+1, -7.092e+1, 7.213e+1, -79.5
9.766e+1, 1.494e+1, -8.482e+1, 8.612e+1, -80.0
8.254e+1, 1.715e+1, -1.008e+2, 1.023e+2, -80.3
6.813e+1, 1.960e+1, -1.202e+2, 1.218e+2, -80.7
5.623e+1, 2.235e+1, -1.435e+2, 1.452e+2, -81.1
4.642e+1, 2.552e+1, -1.716e+2, 1.735e+2, -81.5
3.831e+1, 2.928e+1, -2.053e+2, 2.074e+2, -81.9
3.162e+1, 3.375e+1, -2.456e+2, 2.480e+2, -82.2
2.610e+1, 3.909e+1, -2.937e+2, 2.963e+2, -82.4
2.154e+1, 4.540e+1, -3.510e+2, 3.539e+2, -82.6
1.778e+1, 5.308e+1, -4.194e+2, 4.227e+2, -82.8
1.468e+1, 6.239e+1, -5.013e+2, 5.051e+2, -82.9
1.212e+1, 7.355e+1, -5.991e+2, 6.036e+2, -83.0
1.000e+1, 8.727e+1, -7.165e+2, 7.218e+2, -83.1
8.254e+0, 1.038e+2, -8.573e+2, 8.636e+2, -83.1
6.813e+0, 1.234e+2, -1.026e+3, 1.033e+3, -83.1
5.623e+0, 1.468e+2, -1.227e+3, 1.236e+3, -83.2
4.642e+0, 1.746e+2, -1.468e+3, 1.479e+3, -83.2
3.831e+0, 2.089e+2, -1.757e+3, 1.769e+3, -83.2
3.162e+0, 2.512e+2, -2.102e+3, 2.117e+3, -83.2
2.610e+0, 3.035e+2, -2.513e+3, 2.531e+3, -83.1
2.154e+0, 3.614e+2, -3.010e+3, 3.032e+3, -83.2
1.778e+0, 4.291e+2, -3.608e+3, 3.633e+3, -83.2
1.468e+0, 5.189e+2, -4.317e+3, 4.348e+3, -83.1
1.212e+0, 6.410e+2, -5.159e+3, 5.199e+3, -82.9
1.000e+0, 8.025e+2, -6.149e+3, 6.201e+3, -82.6
8.254e-1, 1.004e+3, -7.312e+3, 7.381e+3, -82.2
6.813e-1, 1.250e+3, -8.686e+3, 8.776e+3, -81.8
5.623e-1, 1.551e+3, -1.032e+4, 1.043e+4, -81.5
4.642e-1, 1.925e+3, -1.224e+4, 1.239e+4, -81.1
3.831e-1, 2.390e+3, -1.452e+4, 1.472e+4, -80.7
3.162e-1, 2.969e+3, -1.721e+4, 1.746e+4, -80.2
2.610e-1, 3.699e+3, -2.036e+4, 2.069e+4, -79.7
2.154e-1, 4.614e+3, -2.405e+4, 2.449e+4, -79.1
1.778e-1, 5.744e+3, -2.839e+4, 2.897e+4, -78.6
1.468e-1, 7.130e+3, -3.346e+4, 3.421e+4, -78.0
1.212e-1, 8.845e+3, -3.933e+4, 4.032e+4, -77.3
1.000e-1, 1.091e+4, -4.604e+4, 4.732e+4, -76.7
