May 16, 2026   07:32:15
A.C. Impedance
File: e:\chi_data\bo-r0.64-n0.58-7ffv-2_t-84.0_f0.1_1000000_v0.txt
Data Source:  Experiment
Instrument Model:  CHI660E
Header: 
Note: 

Init E (V) = 0
High Frequency (Hz) = 1e+6
Low Frequency (Hz) = 0.1
Imp SF
Amplitude (V) = 0.005
Quiet Time (sec) = 2
Cycles (.1-1Hz) = 1

Freq/Hz, Z'/ohm, Z"/ohm, Z/ohm, Phase/deg

8.252e+5, 3.766e+2, -1.381e+3, 1.431e+3, -74.7
6.816e+5, 5.026e+2, -1.766e+3, 1.836e+3, -74.1
5.625e+5, 6.080e+2, -2.111e+3, 2.197e+3, -73.9
4.639e+5, 8.329e+2, -2.506e+3, 2.641e+3, -71.6
3.828e+5, 1.050e+3, -2.911e+3, 3.095e+3, -70.2
3.164e+5, 1.369e+3, -3.405e+3, 3.670e+3, -68.1
2.607e+5, 1.821e+3, -3.942e+3, 4.342e+3, -65.2
2.158e+5, 2.390e+3, -4.584e+3, 5.169e+3, -62.5
1.777e+5, 3.053e+3, -5.398e+3, 6.202e+3, -60.5
1.465e+5, 3.759e+3, -6.152e+3, 7.210e+3, -58.6
1.211e+5, 4.583e+3, -6.644e+3, 8.072e+3, -55.4
9.961e+4, 5.626e+3, -6.932e+3, 8.928e+3, -50.9
8.252e+4, 6.801e+3, -7.191e+3, 9.898e+3, -46.6
6.812e+4, 7.996e+3, -7.442e+3, 1.092e+4, -42.9
5.625e+4, 9.271e+3, -7.601e+3, 1.199e+4, -39.3
4.644e+4, 1.057e+4, -7.671e+3, 1.306e+4, -36.0
3.833e+4, 1.191e+4, -7.605e+3, 1.413e+4, -32.6
3.164e+4, 1.321e+4, -7.433e+3, 1.515e+4, -29.4
2.612e+4, 1.433e+4, -7.159e+3, 1.602e+4, -26.5
2.153e+4, 1.542e+4, -6.721e+3, 1.682e+4, -23.5
1.777e+4, 1.676e+4, -5.850e+3, 1.776e+4, -19.2
1.470e+4, 1.783e+4, -4.979e+3, 1.851e+4, -15.6
1.211e+4, 1.803e+4, -4.306e+3, 1.854e+4, -13.4
1.001e+4, 1.818e+4, -3.746e+3, 1.856e+4, -11.6
8.252e+3, 1.868e+4, -3.502e+3, 1.901e+4, -10.6
6.812e+3, 1.935e+4, -2.957e+3, 1.957e+4, -8.7
5.625e+3, 1.980e+4, -2.407e+3, 1.994e+4, -6.9
4.643e+3, 1.990e+4, -2.171e+3, 2.001e+4, -6.2
