May 15, 2026   23:59:52
A.C. Impedance
File: e:\chi_data\bo-r0.64-n0.58-7ffv-2_t15.0_f0.1_1000000_v0.txt
Data Source:  Experiment
Instrument Model:  CHI660E
Header: 
Note: 

Init E (V) = 0
High Frequency (Hz) = 1e+6
Low Frequency (Hz) = 0.1
Imp SF
Amplitude (V) = 0.005
Quiet Time (sec) = 2
Cycles (.1-1Hz) = 1

Freq/Hz, Z'/ohm, Z"/ohm, Z/ohm, Phase/deg

8.252e+5, 7.328e+0, 1.169e+1, 1.380e+1, 57.9
6.816e+5, 6.742e+0, 9.438e+0, 1.160e+1, 54.5
5.625e+5, 6.171e+0, 7.821e+0, 9.962e+0, 51.7
4.639e+5, 5.978e+0, 6.396e+0, 8.755e+0, 46.9
3.828e+5, 5.835e+0, 5.338e+0, 7.908e+0, 42.5
3.164e+5, 5.764e+0, 4.421e+0, 7.265e+0, 37.5
2.607e+5, 5.671e+0, 3.676e+0, 6.759e+0, 33.0
2.158e+5, 5.603e+0, 3.019e+0, 6.364e+0, 28.3
1.777e+5, 5.560e+0, 2.444e+0, 6.073e+0, 23.7
1.465e+5, 5.530e+0, 1.959e+0, 5.867e+0, 19.5
1.211e+5, 5.495e+0, 1.578e+0, 5.717e+0, 16.0
9.961e+4, 5.470e+0, 1.260e+0, 5.613e+0, 13.0
8.252e+4, 5.455e+0, 9.931e-1, 5.545e+0, 10.3
6.812e+4, 5.452e+0, 7.534e-1, 5.503e+0, 7.9
5.625e+4, 5.456e+0, 5.345e-1, 5.482e+0, 5.6
4.644e+4, 5.466e+0, 3.251e-1, 5.475e+0, 3.4
3.833e+4, 5.478e+0, 1.313e-1, 5.480e+0, 1.4
3.164e+4, 5.497e+0, -4.358e-2, 5.497e+0, -0.5
2.612e+4, 5.512e+0, -2.106e-1, 5.516e+0, -2.2
2.153e+4, 5.528e+0, -3.860e-1, 5.542e+0, -4.0
1.777e+4, 5.553e+0, -5.714e-1, 5.583e+0, -5.9
1.470e+4, 5.583e+0, -7.684e-1, 5.636e+0, -7.8
1.211e+4, 5.617e+0, -9.903e-1, 5.704e+0, -10.0
1.001e+4, 5.653e+0, -1.238e+0, 5.787e+0, -12.4
8.252e+3, 5.690e+0, -1.519e+0, 5.890e+0, -14.9
6.812e+3, 5.735e+0, -1.845e+0, 6.024e+0, -17.8
5.625e+3, 5.786e+0, -2.224e+0, 6.199e+0, -21.0
4.643e+3, 5.846e+0, -2.671e+0, 6.427e+0, -24.6
3.833e+3, 5.914e+0, -3.201e+0, 6.725e+0, -28.4
3.164e+3, 5.995e+0, -3.830e+0, 7.114e+0, -32.6
2.612e+3, 6.090e+0, -4.579e+0, 7.620e+0, -36.9
2.153e+3, 6.203e+0, -5.476e+0, 8.274e+0, -41.4
1.777e+3, 6.337e+0, -6.541e+0, 9.108e+0, -45.9
1.470e+3, 6.493e+0, -7.810e+0, 1.016e+1, -50.3
1.211e+3, 6.674e+0, -9.321e+0, 1.146e+1, -54.4
1.001e+3, 6.886e+0, -1.112e+1, 1.308e+1, -58.2
8.252e+2, 7.134e+0, -1.325e+1, 1.505e+1, -61.7
6.836e+2, 7.422e+0, -1.580e+1, 1.746e+1, -64.8
5.615e+2, 7.781e+0, -1.889e+1, 2.043e+1, -67.6
4.639e+2, 8.223e+0, -2.262e+1, 2.407e+1, -70.0
3.809e+2, 8.732e+0, -2.704e+1, 2.842e+1, -72.1
3.174e+2, 9.326e+0, -3.236e+1, 3.368e+1, -73.9
2.588e+2, 1.003e+1, -3.874e+1, 4.001e+1, -75.5
2.148e+2, 1.087e+1, -4.641e+1, 4.766e+1, -76.8
1.758e+2, 1.188e+1, -5.550e+1, 5.676e+1, -77.9
1.465e+2, 1.304e+1, -6.602e+1, 6.729e+1, -78.8
1.221e+2, 1.453e+1, -7.926e+1, 8.058e+1, -79.6
9.766e+1, 1.661e+1, -9.486e+1, 9.630e+1, -80.1
8.254e+1, 1.914e+1, -1.128e+2, 1.144e+2, -80.4
6.813e+1, 2.201e+1, -1.346e+2, 1.364e+2, -80.7
5.623e+1, 2.525e+1, -1.607e+2, 1.627e+2, -81.1
4.642e+1, 2.902e+1, -1.921e+2, 1.943e+2, -81.4
3.831e+1, 3.355e+1, -2.296e+2, 2.320e+2, -81.7
3.162e+1, 3.901e+1, -2.744e+2, 2.771e+2, -81.9
2.610e+1, 4.550e+1, -3.277e+2, 3.308e+2, -82.1
2.154e+1, 5.326e+1, -3.913e+2, 3.950e+2, -82.3
1.778e+1, 6.275e+1, -4.673e+2, 4.715e+2, -82.4
1.468e+1, 7.432e+1, -5.581e+2, 5.630e+2, -82.4
1.212e+1, 8.811e+1, -6.663e+2, 6.721e+2, -82.5
1.000e+1, 1.050e+2, -7.955e+2, 8.024e+2, -82.5
8.254e+0, 1.253e+2, -9.502e+2, 9.585e+2, -82.5
6.813e+0, 1.495e+2, -1.135e+3, 1.145e+3, -82.5
5.623e+0, 1.781e+2, -1.356e+3, 1.368e+3, -82.5
4.642e+0, 2.124e+2, -1.620e+3, 1.634e+3, -82.5
3.831e+0, 2.545e+2, -1.935e+3, 1.952e+3, -82.5
3.162e+0, 3.057e+2, -2.311e+3, 2.331e+3, -82.5
2.610e+0, 3.684e+2, -2.759e+3, 2.784e+3, -82.4
2.154e+0, 4.379e+2, -3.301e+3, 3.330e+3, -82.4
1.778e+0, 5.189e+2, -3.952e+3, 3.986e+3, -82.5
