May 15, 2026   11:26:14
A.C. Impedance
File: e:\chi_data\r0.5-n1.2-2_t-20.0_f0.1_1000000_v0.txt
Data Source:  Experiment
Instrument Model:  CHI660E
Header: 
Note: 

Init E (V) = 0
High Frequency (Hz) = 1e+6
Low Frequency (Hz) = 0.1
Imp SF
Amplitude (V) = 0.005
Quiet Time (sec) = 2
Cycles (.1-1Hz) = 1

Freq/Hz, Z'/ohm, Z"/ohm, Z/ohm, Phase/deg

8.252e+5, 3.808e+0, 1.196e+1, 1.255e+1, 72.3
6.816e+5, 3.238e+0, 9.709e+0, 1.023e+1, 71.6
5.625e+5, 2.773e+0, 8.063e+0, 8.527e+0, 71.0
4.639e+5, 2.518e+0, 6.595e+0, 7.060e+0, 69.1
3.828e+5, 2.362e+0, 5.476e+0, 5.964e+0, 66.7
3.164e+5, 2.268e+0, 4.508e+0, 5.046e+0, 63.3
2.607e+5, 2.188e+0, 3.717e+0, 4.313e+0, 59.5
2.158e+5, 2.124e+0, 3.029e+0, 3.700e+0, 55.0
1.777e+5, 2.084e+0, 2.440e+0, 3.208e+0, 49.5
1.465e+5, 2.055e+0, 1.936e+0, 2.823e+0, 43.3
1.211e+5, 2.030e+0, 1.515e+0, 2.533e+0, 36.7
9.961e+4, 2.009e+0, 1.042e+0, 2.263e+0, 27.4
8.252e+4, 1.994e+0, 5.703e-1, 2.074e+0, 16.0
6.812e+4, 1.998e+0, 2.266e-1, 2.011e+0, 6.5
5.625e+4, 2.012e+0, -2.163e-2, 2.012e+0, -0.6
4.644e+4, 2.038e+0, -2.106e-1, 2.049e+0, -5.9
3.833e+4, 2.071e+0, -3.872e-1, 2.107e+0, -10.6
3.164e+4, 2.109e+0, -5.687e-1, 2.185e+0, -15.1
2.612e+4, 2.155e+0, -7.656e-1, 2.287e+0, -19.6
2.153e+4, 2.206e+0, -9.811e-1, 2.414e+0, -24.0
1.777e+4, 2.272e+0, -1.204e+0, 2.571e+0, -27.9
1.470e+4, 2.352e+0, -1.449e+0, 2.763e+0, -31.6
1.211e+4, 2.436e+0, -1.746e+0, 2.998e+0, -35.6
1.001e+4, 2.524e+0, -2.102e+0, 3.285e+0, -39.8
8.252e+3, 2.619e+0, -2.521e+0, 3.635e+0, -43.9
6.812e+3, 2.727e+0, -3.007e+0, 4.059e+0, -47.8
5.625e+3, 2.850e+0, -3.571e+0, 4.569e+0, -51.4
4.643e+3, 2.992e+0, -4.230e+0, 5.181e+0, -54.7
3.833e+3, 3.156e+0, -5.006e+0, 5.918e+0, -57.8
3.164e+3, 3.346e+0, -5.922e+0, 6.802e+0, -60.5
2.612e+3, 3.571e+0, -7.010e+0, 7.867e+0, -63.0
2.153e+3, 3.840e+0, -8.303e+0, 9.148e+0, -65.2
1.777e+3, 4.158e+0, -9.827e+0, 1.067e+1, -67.1
1.470e+3, 4.533e+0, -1.163e+1, 1.248e+1, -68.7
1.211e+3, 4.985e+0, -1.377e+1, 1.464e+1, -70.1
1.001e+3, 5.544e+0, -1.627e+1, 1.719e+1, -71.2
8.252e+2, 6.254e+0, -1.923e+1, 2.022e+1, -72.0
6.836e+2, 7.142e+0, -2.275e+1, 2.384e+1, -72.6
5.615e+2, 8.227e+0, -2.693e+1, 2.816e+1, -73.0
4.639e+2, 9.563e+0, -3.188e+1, 3.328e+1, -73.3
3.809e+2, 1.119e+1, -3.759e+1, 3.922e+1, -73.4
3.174e+2, 1.321e+1, -4.429e+1, 4.622e+1, -73.4
2.588e+2, 1.570e+1, -5.210e+1, 5.441e+1, -73.2
2.148e+2, 1.876e+1, -6.119e+1, 6.400e+1, -73.0
1.758e+2, 2.245e+1, -7.161e+1, 7.505e+1, -72.6
1.465e+2, 2.676e+1, -8.325e+1, 8.745e+1, -72.2
1.221e+2, 3.216e+1, -9.718e+1, 1.024e+2, -71.7
9.766e+1, 3.877e+1, -1.129e+2, 1.194e+2, -71.0
8.254e+1, 4.639e+1, -1.303e+2, 1.383e+2, -70.4
6.813e+1, 5.502e+1, -1.507e+2, 1.605e+2, -69.9
5.623e+1, 6.463e+1, -1.743e+2, 1.859e+2, -69.7
4.642e+1, 7.554e+1, -2.016e+2, 2.153e+2, -69.5
3.831e+1, 8.803e+1, -2.334e+2, 2.494e+2, -69.3
3.162e+1, 1.024e+2, -2.702e+2, 2.889e+2, -69.2
2.610e+1, 1.190e+2, -3.127e+2, 3.346e+2, -69.2
2.154e+1, 1.381e+2, -3.620e+2, 3.875e+2, -69.1
1.778e+1, 1.602e+2, -4.194e+2, 4.489e+2, -69.1
1.468e+1, 1.854e+2, -4.859e+2, 5.201e+2, -69.1
1.212e+1, 2.145e+2, -5.630e+2, 6.025e+2, -69.1
1.000e+1, 2.489e+2, -6.526e+2, 6.984e+2, -69.1
8.254e+0, 2.888e+2, -7.573e+2, 8.105e+2, -69.1
6.813e+0, 3.345e+2, -8.790e+2, 9.405e+2, -69.2
5.623e+0, 3.869e+2, -1.020e+3, 1.091e+3, -69.2
4.642e+0, 4.462e+2, -1.185e+3, 1.267e+3, -69.4
3.831e+0, 5.138e+2, -1.376e+3, 1.469e+3, -69.5
3.162e+0, 5.895e+2, -1.601e+3, 1.706e+3, -69.8
2.610e+0, 6.753e+2, -1.865e+3, 1.983e+3, -70.1
2.154e+0, 7.614e+2, -2.187e+3, 2.315e+3, -70.8
1.778e+0, 8.478e+2, -2.570e+3, 2.706e+3, -71.7
1.468e+0, 9.473e+2, -3.003e+3, 3.149e+3, -72.5
1.212e+0, 1.065e+3, -3.499e+3, 3.657e+3, -73.1
1.000e+0, 1.203e+3, -4.071e+3, 4.245e+3, -73.5
8.254e-1, 1.362e+3, -4.731e+3, 4.923e+3, -73.9
6.813e-1, 1.541e+3, -5.501e+3, 5.713e+3, -74.4
5.623e-1, 1.743e+3, -6.417e+3, 6.650e+3, -74.8
4.642e-1, 1.980e+3, -7.504e+3, 7.761e+3, -75.2
3.831e-1, 2.259e+3, -8.788e+3, 9.074e+3, -75.6
3.162e-1, 2.589e+3, -1.031e+4, 1.063e+4, -75.9
2.610e-1, 2.987e+3, -1.210e+4, 1.246e+4, -76.1
2.154e-1, 3.462e+3, -1.420e+4, 1.461e+4, -76.3
1.778e-1, 4.028e+3, -1.666e+4, 1.714e+4, -76.4
1.468e-1, 4.702e+3, -1.956e+4, 2.012e+4, -76.5
1.212e-1, 5.508e+3, -2.296e+4, 2.361e+4, -76.5
1.000e-1, 6.456e+3, -2.684e+4, 2.761e+4, -76.5
