May 16, 2026   16:45:29
A.C. Impedance
File: e:\chi_data\bo-r0.20-n1.10-746i-2_t-6.0_f0.1_1000000_v0.txt
Data Source:  Experiment
Instrument Model:  CHI660E
Header: 
Note: 

Init E (V) = 0
High Frequency (Hz) = 1e+6
Low Frequency (Hz) = 0.1
Imp SF
Amplitude (V) = 0.005
Quiet Time (sec) = 2
Cycles (.1-1Hz) = 1

Freq/Hz, Z'/ohm, Z"/ohm, Z/ohm, Phase/deg

8.252e+5, 4.161e+0, 1.191e+1, 1.261e+1, 70.7
6.816e+5, 3.568e+0, 9.649e+0, 1.029e+1, 69.7
5.625e+5, 3.049e+0, 8.008e+0, 8.569e+0, 69.2
4.639e+5, 2.817e+0, 6.523e+0, 7.105e+0, 66.6
3.828e+5, 2.665e+0, 5.396e+0, 6.018e+0, 63.7
3.164e+5, 2.581e+0, 4.417e+0, 5.116e+0, 59.7
2.607e+5, 2.496e+0, 3.612e+0, 4.390e+0, 55.4
2.158e+5, 2.431e+0, 2.905e+0, 3.789e+0, 50.1
1.777e+5, 2.389e+0, 2.296e+0, 3.313e+0, 43.9
1.465e+5, 2.366e+0, 1.768e+0, 2.953e+0, 36.8
1.211e+5, 2.349e+0, 1.319e+0, 2.694e+0, 29.3
9.961e+4, 2.345e+0, 9.223e-1, 2.520e+0, 21.5
8.252e+4, 2.342e+0, 4.776e-1, 2.390e+0, 11.5
6.812e+4, 2.341e+0, 1.663e-2, 2.341e+0, 0.4
5.625e+4, 2.354e+0, -3.552e-1, 2.381e+0, -8.6
4.644e+4, 2.382e+0, -6.652e-1, 2.474e+0, -15.6
3.833e+4, 2.436e+0, -8.960e-1, 2.595e+0, -20.2
3.164e+4, 2.505e+0, -1.119e+0, 2.743e+0, -24.1
2.612e+4, 2.575e+0, -1.409e+0, 2.936e+0, -28.7
2.153e+4, 2.646e+0, -1.778e+0, 3.188e+0, -33.9
1.777e+4, 2.721e+0, -2.221e+0, 3.512e+0, -39.2
1.470e+4, 2.806e+0, -2.733e+0, 3.917e+0, -44.2
1.211e+4, 2.908e+0, -3.320e+0, 4.413e+0, -48.8
1.001e+4, 3.028e+0, -3.998e+0, 5.015e+0, -52.9
8.252e+3, 3.172e+0, -4.789e+0, 5.744e+0, -56.5
6.812e+3, 3.346e+0, -5.719e+0, 6.626e+0, -59.7
5.625e+3, 3.556e+0, -6.814e+0, 7.686e+0, -62.4
4.643e+3, 3.811e+0, -8.109e+0, 8.960e+0, -64.8
3.833e+3, 4.122e+0, -9.638e+0, 1.048e+1, -66.8
3.164e+3, 4.506e+0, -1.144e+1, 1.229e+1, -68.5
2.612e+3, 4.979e+0, -1.357e+1, 1.445e+1, -69.8
2.153e+3, 5.559e+0, -1.607e+1, 1.701e+1, -70.9
1.777e+3, 6.265e+0, -1.900e+1, 2.000e+1, -71.7
1.470e+3, 7.138e+0, -2.242e+1, 2.353e+1, -72.3
