May 16, 2026   16:03:02
A.C. Impedance
File: e:\chi_data\bo-r0.20-n1.10-746i-2_t3.0_f0.1_1000000_v0.txt
Data Source:  Experiment
Instrument Model:  CHI660E
Header: 
Note: 

Init E (V) = 0
High Frequency (Hz) = 1e+6
Low Frequency (Hz) = 0.1
Imp SF
Amplitude (V) = 0.005
Quiet Time (sec) = 2
Cycles (.1-1Hz) = 1

Freq/Hz, Z'/ohm, Z"/ohm, Z/ohm, Phase/deg

8.252e+5, 3.963e+0, 1.194e+1, 1.258e+1, 71.6
6.816e+5, 3.411e+0, 9.691e+0, 1.027e+1, 70.6
5.625e+5, 2.887e+0, 8.012e+0, 8.516e+0, 70.2
4.639e+5, 2.655e+0, 6.539e+0, 7.058e+0, 67.9
3.828e+5, 2.495e+0, 5.405e+0, 5.953e+0, 65.2
3.164e+5, 2.404e+0, 4.431e+0, 5.041e+0, 61.5
2.607e+5, 2.312e+0, 3.631e+0, 4.305e+0, 57.5
2.158e+5, 2.246e+0, 2.931e+0, 3.693e+0, 52.5
1.777e+5, 2.202e+0, 2.326e+0, 3.203e+0, 46.6
1.465e+5, 2.177e+0, 1.798e+0, 2.824e+0, 39.6
1.211e+5, 2.156e+0, 1.350e+0, 2.544e+0, 32.1
9.961e+4, 2.137e+0, 8.469e-1, 2.299e+0, 21.6
8.252e+4, 2.125e+0, 3.399e-1, 2.152e+0, 9.1
6.812e+4, 2.130e+0, -4.599e-2, 2.131e+0, -1.2
5.625e+4, 2.147e+0, -3.435e-1, 2.174e+0, -9.1
4.644e+4, 2.177e+0, -5.915e-1, 2.256e+0, -15.2
3.833e+4, 2.216e+0, -8.404e-1, 2.370e+0, -20.8
3.164e+4, 2.272e+0, -1.078e+0, 2.515e+0, -25.4
2.612e+4, 2.342e+0, -1.340e+0, 2.698e+0, -29.8
2.153e+4, 2.415e+0, -1.674e+0, 2.939e+0, -34.7
1.777e+4, 2.491e+0, -2.079e+0, 3.244e+0, -39.9
1.470e+4, 2.574e+0, -2.559e+0, 3.629e+0, -44.8
1.211e+4, 2.670e+0, -3.114e+0, 4.102e+0, -49.4
1.001e+4, 2.783e+0, -3.759e+0, 4.677e+0, -53.5
8.252e+3, 2.920e+0, -4.512e+0, 5.374e+0, -57.1
6.812e+3, 3.086e+0, -5.393e+0, 6.213e+0, -60.2
5.625e+3, 3.291e+0, -6.430e+0, 7.224e+0, -62.9
4.643e+3, 3.543e+0, -7.655e+0, 8.435e+0, -65.2
3.833e+3, 3.851e+0, -9.097e+0, 9.878e+0, -67.1
3.164e+3, 4.231e+0, -1.079e+1, 1.159e+1, -68.6
2.612e+3, 4.701e+0, -1.278e+1, 1.362e+1, -69.8
2.153e+3, 5.271e+0, -1.513e+1, 1.603e+1, -70.8
1.777e+3, 5.967e+0, -1.787e+1, 1.884e+1, -71.5
1.470e+3, 6.825e+0, -2.106e+1, 2.214e+1, -72.0
1.211e+3, 7.898e+0, -2.481e+1, 2.604e+1, -72.3
1.001e+3, 9.256e+0, -2.920e+1, 3.063e+1, -72.4
8.252e+2, 1.091e+1, -3.429e+1, 3.599e+1, -72.3
6.836e+2, 1.291e+1, -4.023e+1, 4.226e+1, -72.2
5.615e+2, 1.531e+1, -4.714e+1, 4.956e+1, -72.0
4.639e+2, 1.820e+1, -5.515e+1, 5.808e+1, -71.7
3.809e+2, 2.162e+1, -6.427e+1, 6.781e+1, -71.4
3.174e+2, 2.570e+1, -7.481e+1, 7.910e+1, -71.0
2.588e+2, 3.051e+1, -8.696e+1, 9.216e+1, -70.7
2.148e+2, 3.612e+1, -1.010e+2, 1.072e+2, -70.3
1.758e+2, 4.256e+1, -1.169e+2, 1.244e+2, -70.0
1.465e+2, 4.967e+1, -1.346e+2, 1.434e+2, -69.7
1.221e+2, 5.822e+1, -1.559e+2, 1.664e+2, -69.5
9.766e+1, 6.856e+1, -1.803e+2, 1.929e+2, -69.2
8.254e+1, 8.026e+1, -2.077e+2, 2.227e+2, -68.9
6.813e+1, 9.324e+1, -2.400e+2, 2.575e+2, -68.8
5.623e+1, 1.077e+2, -2.778e+2, 2.979e+2, -68.8
4.642e+1, 1.241e+2, -3.220e+2, 3.451e+2, -68.9
3.831e+1, 1.432e+2, -3.735e+2, 4.001e+2, -69.0
3.162e+1, 1.656e+2, -4.335e+2, 4.640e+2, -69.1
2.610e+1, 1.917e+2, -5.031e+2, 5.384e+2, -69.1
2.154e+1, 2.223e+2, -5.839e+2, 6.247e+2, -69.2
1.778e+1, 2.582e+2, -6.776e+2, 7.251e+2, -69.1
1.468e+1, 3.003e+2, -7.864e+2, 8.418e+2, -69.1
1.212e+1, 3.491e+2, -9.126e+2, 9.771e+2, -69.1
1.000e+1, 4.067e+2, -1.059e+3, 1.134e+3, -69.0
8.254e+0, 4.742e+2, -1.229e+3, 1.318e+3, -68.9
6.813e+0, 5.528e+2, -1.428e+3, 1.531e+3, -68.8
5.623e+0, 6.442e+2, -1.658e+3, 1.778e+3, -68.8
4.642e+0, 7.522e+2, -1.925e+3, 2.066e+3, -68.7
3.831e+0, 8.801e+2, -2.232e+3, 2.399e+3, -68.5
3.162e+0, 1.029e+3, -2.593e+3, 2.790e+3, -68.3
2.610e+0, 1.204e+3, -3.013e+3, 3.245e+3, -68.2
2.154e+0, 1.403e+3, -3.527e+3, 3.796e+3, -68.3
1.778e+0, 1.639e+3, -4.137e+3, 4.450e+3, -68.4
1.468e+0, 1.935e+3, -4.807e+3, 5.182e+3, -68.1
1.212e+0, 2.299e+3, -5.558e+3, 6.014e+3, -67.5
1.000e+0, 2.754e+3, -6.377e+3, 6.946e+3, -66.6
8.254e-1, 3.313e+3, -7.261e+3, 7.981e+3, -65.5
6.813e-1, 3.976e+3, -8.214e+3, 9.125e+3, -64.2
5.623e-1, 4.753e+3, -9.233e+3, 1.038e+4, -62.8
4.642e-1, 5.649e+3, -1.036e+4, 1.180e+4, -61.4
3.831e-1, 6.666e+3, -1.159e+4, 1.337e+4, -60.1
3.162e-1, 7.794e+3, -1.288e+4, 1.505e+4, -58.8
2.610e-1, 8.980e+3, -1.420e+4, 1.680e+4, -57.7
2.154e-1, 1.019e+4, -1.563e+4, 1.866e+4, -56.9
1.778e-1, 1.145e+4, -1.730e+4, 2.075e+4, -56.5
1.468e-1, 1.269e+4, -1.920e+4, 2.301e+4, -56.5
1.212e-1, 1.392e+4, -2.139e+4, 2.552e+4, -56.9
1.000e-1, 1.516e+4, -2.393e+4, 2.833e+4, -57.6
