May 17, 2026   12:59:56
A.C. Impedance
File: e:\chi_data\bo-r0.50-n0.90-23yp-2_t-8.0_f0.1_1000000_v0.txt
Data Source:  Experiment
Instrument Model:  CHI660E
Header: 
Note: 

Init E (V) = 0
High Frequency (Hz) = 1e+6
Low Frequency (Hz) = 0.1
Imp SF
Amplitude (V) = 0.005
Quiet Time (sec) = 2
Cycles (.1-1Hz) = 1

Freq/Hz, Z'/ohm, Z"/ohm, Z/ohm, Phase/deg

8.252e+5, 4.574e+0, 1.187e+1, 1.272e+1, 68.9
6.816e+5, 3.961e+0, 9.607e+0, 1.039e+1, 67.6
5.625e+5, 3.460e+0, 8.019e+0, 8.734e+0, 66.7
4.639e+5, 3.227e+0, 6.514e+0, 7.269e+0, 63.6
3.828e+5, 3.071e+0, 5.387e+0, 6.200e+0, 60.3
3.164e+5, 2.980e+0, 4.391e+0, 5.307e+0, 55.8
2.607e+5, 2.893e+0, 3.590e+0, 4.611e+0, 51.1
2.158e+5, 2.835e+0, 2.894e+0, 4.052e+0, 45.6
1.777e+5, 2.802e+0, 2.298e+0, 3.624e+0, 39.3
1.465e+5, 2.787e+0, 1.777e+0, 3.305e+0, 32.5
1.211e+5, 2.777e+0, 1.337e+0, 3.083e+0, 25.7
9.961e+4, 2.786e+0, 9.529e-1, 2.944e+0, 18.9
8.252e+4, 2.809e+0, 6.157e-1, 2.876e+0, 12.4
6.812e+4, 2.847e+0, 3.053e-1, 2.864e+0, 6.1
5.625e+4, 2.898e+0, 1.533e-2, 2.898e+0, 0.3
4.644e+4, 2.965e+0, -2.617e-1, 2.977e+0, -5.0
3.833e+4, 3.053e+0, -5.291e-1, 3.098e+0, -9.8
3.164e+4, 3.161e+0, -7.901e-1, 3.258e+0, -14.0
2.612e+4, 3.293e+0, -1.052e+0, 3.457e+0, -17.7
2.153e+4, 3.450e+0, -1.308e+0, 3.690e+0, -20.8
1.777e+4, 3.635e+0, -1.553e+0, 3.953e+0, -23.1
1.470e+4, 3.843e+0, -1.796e+0, 4.242e+0, -25.1
1.211e+4, 4.077e+0, -2.036e+0, 4.557e+0, -26.5
1.001e+4, 4.334e+0, -2.274e+0, 4.894e+0, -27.7
8.252e+3, 4.603e+0, -2.512e+0, 5.244e+0, -28.6
6.812e+3, 4.880e+0, -2.749e+0, 5.601e+0, -29.4
5.625e+3, 5.155e+0, -2.995e+0, 5.962e+0, -30.2
4.643e+3, 5.424e+0, -3.260e+0, 6.328e+0, -31.0
3.833e+3, 5.682e+0, -3.561e+0, 6.706e+0, -32.1
3.164e+3, 5.929e+0, -3.920e+0, 7.107e+0, -33.5
2.612e+3, 6.166e+0, -4.356e+0, 7.549e+0, -35.2
2.153e+3, 6.397e+0, -4.891e+0, 8.053e+0, -37.4
1.777e+3, 6.629e+0, -5.547e+0, 8.644e+0, -39.9
1.470e+3, 6.868e+0, -6.352e+0, 9.356e+0, -42.8
1.211e+3, 7.125e+0, -7.329e+0, 1.022e+1, -45.8
1.001e+3, 7.410e+0, -8.502e+0, 1.128e+1, -48.9
8.252e+2, 7.731e+0, -9.902e+0, 1.256e+1, -52.0
6.836e+2, 8.103e+0, -1.159e+1, 1.414e+1, -55.0
5.615e+2, 8.531e+0, -1.360e+1, 1.606e+1, -57.9
4.639e+2, 9.028e+0, -1.601e+1, 1.838e+1, -60.6
3.809e+2, 9.616e+0, -1.885e+1, 2.116e+1, -63.0
3.174e+2, 1.032e+1, -2.226e+1, 2.453e+1, -65.1
2.588e+2, 1.112e+1, -2.631e+1, 2.856e+1, -67.1
2.148e+2, 1.204e+1, -3.114e+1, 3.339e+1, -68.9
1.758e+2, 1.310e+1, -3.682e+1, 3.909e+1, -70.4
1.465e+2, 1.428e+1, -4.335e+1, 4.564e+1, -71.8
1.221e+2, 1.570e+1, -5.145e+1, 5.379e+1, -73.0
9.766e+1, 1.750e+1, -6.094e+1, 6.341e+1, -74.0
8.254e+1, 1.963e+1, -7.187e+1, 7.450e+1, -74.7
6.813e+1, 2.199e+1, -8.507e+1, 8.787e+1, -75.5
5.623e+1, 2.463e+1, -1.008e+2, 1.038e+2, -76.3
4.642e+1, 2.765e+1, -1.197e+2, 1.228e+2, -77.0
3.831e+1, 3.130e+1, -1.422e+2, 1.456e+2, -77.6
3.162e+1, 3.563e+1, -1.691e+2, 1.729e+2, -78.1
2.610e+1, 4.081e+1, -2.012e+2, 2.053e+2, -78.5
2.154e+1, 4.697e+1, -2.392e+2, 2.438e+2, -78.9
1.778e+1, 5.434e+1, -2.844e+2, 2.895e+2, -79.2
1.468e+1, 6.315e+1, -3.380e+2, 3.439e+2, -79.4
1.212e+1, 7.370e+1, -4.018e+2, 4.085e+2, -79.6
1.000e+1, 8.698e+1, -4.777e+2, 4.855e+2, -79.7
8.254e+0, 1.032e+2, -5.680e+2, 5.773e+2, -79.7
6.813e+0, 1.225e+2, -6.754e+2, 6.864e+2, -79.7
5.623e+0, 1.455e+2, -8.028e+2, 8.158e+2, -79.7
4.642e+0, 1.729e+2, -9.542e+2, 9.698e+2, -79.7
3.831e+0, 2.063e+2, -1.134e+3, 1.152e+3, -79.7
3.162e+0, 2.468e+2, -1.348e+3, 1.371e+3, -79.6
2.610e+0, 2.966e+2, -1.604e+3, 1.631e+3, -79.5
2.154e+0, 3.521e+2, -1.910e+3, 1.943e+3, -79.6
1.778e+0, 4.171e+2, -2.272e+3, 2.310e+3, -79.6
1.468e+0, 5.014e+2, -2.693e+3, 2.739e+3, -79.5
1.212e+0, 6.110e+2, -3.184e+3, 3.242e+3, -79.1
1.000e+0, 7.514e+2, -3.758e+3, 3.832e+3, -78.7
8.254e-1, 9.236e+2, -4.423e+3, 4.519e+3, -78.2
6.813e-1, 1.129e+3, -5.194e+3, 5.315e+3, -77.7
5.623e-1, 1.372e+3, -6.095e+3, 6.248e+3, -77.3
4.642e-1, 1.659e+3, -7.147e+3, 7.337e+3, -76.9
3.831e-1, 1.999e+3, -8.372e+3, 8.607e+3, -76.6
