May 17, 2026   11:16:55
A.C. Impedance
File: e:\chi_data\bo-r0.50-n0.90-23yp-2_t13.0_f0.1_1000000_v0.txt
Data Source:  Experiment
Instrument Model:  CHI660E
Header: 
Note: 

Init E (V) = 0
High Frequency (Hz) = 1e+6
Low Frequency (Hz) = 0.1
Imp SF
Amplitude (V) = 0.005
Quiet Time (sec) = 2
Cycles (.1-1Hz) = 1

Freq/Hz, Z'/ohm, Z"/ohm, Z/ohm, Phase/deg

8.252e+5, 3.685e+0, 1.199e+1, 1.254e+1, 72.9
6.816e+5, 3.132e+0, 9.725e+0, 1.022e+1, 72.1
5.625e+5, 2.606e+0, 8.140e+0, 8.546e+0, 72.2
4.639e+5, 2.364e+0, 6.631e+0, 7.040e+0, 70.4
3.828e+5, 2.192e+0, 5.518e+0, 5.937e+0, 68.3
3.164e+5, 2.096e+0, 4.533e+0, 4.994e+0, 65.2
2.607e+5, 2.001e+0, 3.745e+0, 4.247e+0, 61.9
2.158e+5, 1.935e+0, 3.055e+0, 3.616e+0, 57.7
1.777e+5, 1.886e+0, 2.471e+0, 3.108e+0, 52.6
1.465e+5, 1.856e+0, 1.968e+0, 2.705e+0, 46.7
1.211e+5, 1.820e+0, 1.413e+0, 2.304e+0, 37.8
9.961e+4, 1.792e+0, 8.538e-1, 1.985e+0, 25.5
8.252e+4, 1.780e+0, 4.590e-1, 1.838e+0, 14.5
6.812e+4, 1.785e+0, 1.884e-1, 1.795e+0, 6.0
5.625e+4, 1.802e+0, 6.844e-4, 1.802e+0, 0.0
4.644e+4, 1.827e+0, -1.723e-1, 1.835e+0, -5.4
3.833e+4, 1.862e+0, -3.497e-1, 1.894e+0, -10.6
3.164e+4, 1.908e+0, -5.407e-1, 1.983e+0, -15.8
2.612e+4, 1.968e+0, -7.449e-1, 2.104e+0, -20.7
2.153e+4, 2.043e+0, -9.620e-1, 2.258e+0, -25.2
1.777e+4, 2.136e+0, -1.192e+0, 2.446e+0, -29.2
1.470e+4, 2.262e+0, -1.428e+0, 2.675e+0, -32.3
1.211e+4, 2.423e+0, -1.680e+0, 2.948e+0, -34.7
1.001e+4, 2.611e+0, -1.964e+0, 3.267e+0, -36.9
8.252e+3, 2.830e+0, -2.274e+0, 3.630e+0, -38.8
6.812e+3, 3.080e+0, -2.605e+0, 4.034e+0, -40.2
5.625e+3, 3.363e+0, -2.946e+0, 4.471e+0, -41.2
4.643e+3, 3.675e+0, -3.296e+0, 4.937e+0, -41.9
3.833e+3, 4.007e+0, -3.657e+0, 5.424e+0, -42.4
3.164e+3, 4.347e+0, -4.036e+0, 5.931e+0, -42.9
2.612e+3, 4.685e+0, -4.453e+0, 6.463e+0, -43.5
2.153e+3, 5.017e+0, -4.929e+0, 7.033e+0, -44.5
1.777e+3, 5.342e+0, -5.489e+0, 7.660e+0, -45.8
1.470e+3, 5.662e+0, -6.162e+0, 8.368e+0, -47.4
1.211e+3, 5.980e+0, -6.978e+0, 9.190e+0, -49.4
1.001e+3, 6.308e+0, -7.963e+0, 1.016e+1, -51.6
8.252e+2, 6.654e+0, -9.148e+0, 1.131e+1, -54.0
6.836e+2, 7.034e+0, -1.059e+1, 1.271e+1, -56.4
5.615e+2, 7.458e+0, -1.232e+1, 1.440e+1, -58.8
4.639e+2, 7.938e+0, -1.440e+1, 1.645e+1, -61.1
3.809e+2, 8.479e+0, -1.685e+1, 1.886e+1, -63.3
3.174e+2, 9.119e+0, -1.980e+1, 2.180e+1, -65.3
2.588e+2, 9.874e+0, -2.334e+1, 2.535e+1, -67.1
2.148e+2, 1.074e+1, -2.758e+1, 2.960e+1, -68.7
1.758e+2, 1.173e+1, -3.256e+1, 3.461e+1, -70.2
1.465e+2, 1.285e+1, -3.828e+1, 4.037e+1, -71.4
1.221e+2, 1.424e+1, -4.538e+1, 4.756e+1, -72.6
9.766e+1, 1.602e+1, -5.369e+1, 5.603e+1, -73.4
8.254e+1, 1.810e+1, -6.321e+1, 6.575e+1, -74.0
6.813e+1, 2.047e+1, -7.467e+1, 7.742e+1, -74.7
5.623e+1, 2.316e+1, -8.830e+1, 9.129e+1, -75.3
4.642e+1, 2.635e+1, -1.045e+2, 1.078e+2, -75.9
3.831e+1, 3.023e+1, -1.239e+2, 1.275e+2, -76.3
