June 10, 2026   03:41:37
A.C. Impedance
File: e:\chi_data\bo-r0.28-n0.96-w96y-1_t-27.0_f0.1_1000000_v0.txt
Data Source:  Experiment
Instrument Model:  CHI660E
Header: 
Note: 

Init E (V) = 0
High Frequency (Hz) = 1e+6
Low Frequency (Hz) = 0.1
Imp SF
Amplitude (V) = 0.005
Quiet Time (sec) = 2
Cycles (.1-1Hz) = 1

Freq/Hz, Z'/ohm, Z"/ohm, Z/ohm, Phase/deg

8.252e+5, 8.070e+0, 1.382e+1, 1.600e+1, 59.7
6.816e+5, 7.558e+0, 1.119e+1, 1.350e+1, 56.0
5.625e+5, 7.019e+0, 9.238e+0, 1.160e+1, 52.8
4.639e+5, 6.776e+0, 7.541e+0, 1.014e+1, 48.1
3.828e+5, 6.606e+0, 6.263e+0, 9.103e+0, 43.5
3.164e+5, 6.517e+0, 5.171e+0, 8.320e+0, 38.4
2.607e+5, 6.436e+0, 4.282e+0, 7.730e+0, 33.6
2.158e+5, 6.377e+0, 3.503e+0, 7.276e+0, 28.8
1.777e+5, 6.346e+0, 2.834e+0, 6.950e+0, 24.1
1.465e+5, 6.334e+0, 2.270e+0, 6.729e+0, 19.7
1.211e+5, 6.314e+0, 1.814e+0, 6.570e+0, 16.0
9.961e+4, 6.305e+0, 1.436e+0, 6.466e+0, 12.8
8.252e+4, 6.303e+0, 1.127e+0, 6.403e+0, 10.1
6.812e+4, 6.318e+0, 8.650e-1, 6.377e+0, 7.8
5.625e+4, 6.337e+0, 6.369e-1, 6.369e+0, 5.7
4.644e+4, 6.353e+0, 4.206e-1, 6.367e+0, 3.8
3.833e+4, 6.373e+0, 2.227e-1, 6.377e+0, 2.0
3.164e+4, 6.396e+0, 4.381e-2, 6.396e+0, 0.4
2.612e+4, 6.425e+0, -1.207e-1, 6.426e+0, -1.1
2.153e+4, 6.455e+0, -2.853e-1, 6.461e+0, -2.5
1.777e+4, 6.478e+0, -4.557e-1, 6.494e+0, -4.0
1.470e+4, 6.504e+0, -6.358e-1, 6.535e+0, -5.6
1.211e+4, 6.534e+0, -8.353e-1, 6.587e+0, -7.3
1.001e+4, 6.567e+0, -1.054e+0, 6.651e+0, -9.1
8.252e+3, 6.604e+0, -1.300e+0, 6.731e+0, -11.1
6.812e+3, 6.647e+0, -1.585e+0, 6.834e+0, -13.4
5.625e+3, 6.696e+0, -1.919e+0, 6.966e+0, -16.0
4.643e+3, 6.752e+0, -2.308e+0, 7.136e+0, -18.9
3.833e+3, 6.814e+0, -2.768e+0, 7.355e+0, -22.1
3.164e+3, 6.884e+0, -3.315e+0, 7.641e+0, -25.7
2.612e+3, 6.964e+0, -3.965e+0, 8.014e+0, -29.7
2.153e+3, 7.058e+0, -4.738e+0, 8.501e+0, -33.9
1.777e+3, 7.167e+0, -5.660e+0, 9.133e+0, -38.3
1.470e+3, 7.292e+0, -6.764e+0, 9.946e+0, -42.8
1.211e+3, 7.439e+0, -8.082e+0, 1.098e+1, -47.4
1.001e+3, 7.613e+0, -9.651e+0, 1.229e+1, -51.7
8.252e+2, 7.816e+0, -1.151e+1, 1.392e+1, -55.8
6.836e+2, 8.056e+0, -1.376e+1, 1.594e+1, -59.6
5.615e+2, 8.340e+0, -1.645e+1, 1.845e+1, -63.1
4.639e+2, 8.705e+0, -1.972e+1, 2.156e+1, -66.2
3.809e+2, 9.154e+0, -2.362e+1, 2.533e+1, -68.8
3.174e+2, 9.688e+0, -2.830e+1, 2.991e+1, -71.1
2.588e+2, 1.033e+1, -3.392e+1, 3.546e+1, -73.1
2.148e+2, 1.110e+1, -4.067e+1, 4.216e+1, -74.7
1.758e+2, 1.204e+1, -4.866e+1, 5.012e+1, -76.1
1.465e+2, 1.314e+1, -5.787e+1, 5.934e+1, -77.2
1.221e+2, 1.456e+1, -6.944e+1, 7.095e+1, -78.2
9.766e+1, 1.651e+1, -8.307e+1, 8.469e+1, -78.8
8.254e+1, 1.889e+1, -9.872e+1, 1.005e+2, -79.2
6.813e+1, 2.156e+1, -1.176e+2, 1.196e+2, -79.6
5.623e+1, 2.463e+1, -1.402e+2, 1.424e+2, -80.0
4.642e+1, 2.828e+1, -1.675e+2, 1.699e+2, -80.4
3.831e+1, 3.268e+1, -2.001e+2, 2.027e+2, -80.7
3.162e+1, 3.803e+1, -2.390e+2, 2.420e+2, -81.0
2.610e+1, 4.466e+1, -2.853e+2, 2.887e+2, -81.1
2.154e+1, 5.274e+1, -3.403e+2, 3.443e+2, -81.2
1.778e+1, 6.253e+1, -4.058e+2, 4.106e+2, -81.2
1.468e+1, 7.454e+1, -4.837e+2, 4.894e+2, -81.2
1.212e+1, 8.930e+1, -5.763e+2, 5.831e+2, -81.2
1.000e+1, 1.079e+2, -6.866e+2, 6.950e+2, -81.1
8.254e+0, 1.309e+2, -8.179e+2, 8.283e+2, -80.9
6.813e+0, 1.584e+2, -9.738e+2, 9.866e+2, -80.8
5.623e+0, 1.918e+2, -1.159e+3, 1.175e+3, -80.6
4.642e+0, 2.326e+2, -1.378e+3, 1.397e+3, -80.4
3.831e+0, 2.825e+2, -1.638e+3, 1.662e+3, -80.2
3.162e+0, 3.425e+2, -1.947e+3, 1.977e+3, -80.0
2.610e+0, 4.157e+2, -2.312e+3, 2.349e+3, -79.8
2.154e+0, 4.993e+2, -2.750e+3, 2.795e+3, -79.7
1.778e+0, 5.967e+2, -3.273e+3, 3.327e+3, -79.7
1.468e+0, 7.209e+2, -3.881e+3, 3.948e+3, -79.5
1.212e+0, 8.819e+2, -4.592e+3, 4.676e+3, -79.1
1.000e+0, 1.087e+3, -5.420e+3, 5.528e+3, -78.7
8.254e-1, 1.336e+3, -6.375e+3, 6.514e+3, -78.2
6.813e-1, 1.629e+3, -7.484e+3, 7.659e+3, -77.7
5.623e-1, 1.979e+3, -8.782e+3, 9.002e+3, -77.3
4.642e-1, 2.402e+3, -1.030e+4, 1.058e+4, -76.9
3.831e-1, 2.915e+3, -1.207e+4, 1.242e+4, -76.4
3.162e-1, 3.537e+3, -1.412e+4, 1.456e+4, -75.9
2.610e-1, 4.281e+3, -1.651e+4, 1.705e+4, -75.5
2.154e-1, 5.150e+3, -1.926e+4, 1.993e+4, -75.0
1.778e-1, 6.199e+3, -2.244e+4, 2.328e+4, -74.6
1.468e-1, 7.419e+3, -2.613e+4, 2.716e+4, -74.1
1.212e-1, 8.794e+3, -3.032e+4, 3.157e+4, -73.8
1.000e-1, 1.035e+4, -3.501e+4, 3.651e+4, -73.5
