June 10, 2026   01:04:46
A.C. Impedance
File: e:\chi_data\bo-r0.28-n0.96-w96y-1_t6.0_f0.1_1000000_v0.txt
Data Source:  Experiment
Instrument Model:  CHI660E
Header: 
Note: 

Init E (V) = 0
High Frequency (Hz) = 1e+6
Low Frequency (Hz) = 0.1
Imp SF
Amplitude (V) = 0.005
Quiet Time (sec) = 2
Cycles (.1-1Hz) = 1

Freq/Hz, Z'/ohm, Z"/ohm, Z/ohm, Phase/deg

8.252e+5, 5.929e+0, 1.403e+1, 1.523e+1, 67.1
6.816e+5, 5.369e+0, 1.141e+1, 1.261e+1, 64.8
5.625e+5, 4.789e+0, 9.465e+0, 1.061e+1, 63.2
4.639e+5, 4.538e+0, 7.760e+0, 8.989e+0, 59.7
3.828e+5, 4.351e+0, 6.449e+0, 7.780e+0, 56.0
3.164e+5, 4.253e+0, 5.320e+0, 6.811e+0, 51.4
2.607e+5, 4.156e+0, 4.399e+0, 6.052e+0, 46.6
2.158e+5, 4.092e+0, 3.608e+0, 5.455e+0, 41.4
1.777e+5, 4.052e+0, 2.933e+0, 5.002e+0, 35.9
1.465e+5, 4.029e+0, 2.363e+0, 4.670e+0, 30.4
1.211e+5, 4.005e+0, 1.899e+0, 4.433e+0, 25.4
9.961e+4, 3.997e+0, 1.517e+0, 4.275e+0, 20.8
8.252e+4, 3.999e+0, 1.203e+0, 4.176e+0, 16.7
6.812e+4, 4.012e+0, 9.338e-1, 4.119e+0, 13.1
5.625e+4, 4.028e+0, 7.019e-1, 4.088e+0, 9.9
4.644e+4, 4.045e+0, 4.936e-1, 4.075e+0, 7.0
3.833e+4, 4.060e+0, 3.065e-1, 4.072e+0, 4.3
3.164e+4, 4.080e+0, 1.408e-1, 4.082e+0, 2.0
2.612e+4, 4.101e+0, -1.333e-2, 4.101e+0, -0.2
2.153e+4, 4.120e+0, -1.621e-1, 4.123e+0, -2.3
1.777e+4, 4.139e+0, -3.113e-1, 4.150e+0, -4.3
1.470e+4, 4.157e+0, -4.663e-1, 4.183e+0, -6.4
1.211e+4, 4.177e+0, -6.319e-1, 4.224e+0, -8.6
1.001e+4, 4.199e+0, -8.164e-1, 4.278e+0, -11.0
8.252e+3, 4.223e+0, -1.029e+0, 4.347e+0, -13.7
6.812e+3, 4.251e+0, -1.273e+0, 4.438e+0, -16.7
5.625e+3, 4.283e+0, -1.556e+0, 4.557e+0, -20.0
4.643e+3, 4.320e+0, -1.887e+0, 4.714e+0, -23.6
3.833e+3, 4.363e+0, -2.276e+0, 4.921e+0, -27.6
3.164e+3, 4.413e+0, -2.736e+0, 5.193e+0, -31.8
2.612e+3, 4.471e+0, -3.284e+0, 5.548e+0, -36.3
2.153e+3, 4.540e+0, -3.941e+0, 6.012e+0, -41.0
1.777e+3, 4.622e+0, -4.724e+0, 6.609e+0, -45.6
1.470e+3, 4.720e+0, -5.659e+0, 7.369e+0, -50.2
1.211e+3, 4.840e+0, -6.776e+0, 8.327e+0, -54.5
1.001e+3, 4.988e+0, -8.110e+0, 9.521e+0, -58.4
8.252e+2, 5.164e+0, -9.696e+0, 1.099e+1, -62.0
6.836e+2, 5.376e+0, -1.160e+1, 1.279e+1, -65.1
5.615e+2, 5.636e+0, -1.388e+1, 1.499e+1, -67.9
4.639e+2, 5.952e+0, -1.662e+1, 1.766e+1, -70.3
3.809e+2, 6.345e+0, -1.988e+1, 2.087e+1, -72.3
3.174e+2, 6.837e+0, -2.382e+1, 2.478e+1, -74.0
2.588e+2, 7.430e+0, -2.854e+1, 2.949e+1, -75.4
2.148e+2, 8.151e+0, -3.421e+1, 3.516e+1, -76.6
1.758e+2, 9.024e+0, -4.090e+1, 4.189e+1, -77.6
1.465e+2, 1.006e+1, -4.862e+1, 4.965e+1, -78.3
1.221e+2, 1.142e+1, -5.826e+1, 5.937e+1, -78.9
9.766e+1, 1.328e+1, -6.960e+1, 7.086e+1, -79.2
8.254e+1, 1.556e+1, -8.266e+1, 8.411e+1, -79.3
6.813e+1, 1.824e+1, -9.837e+1, 1.000e+2, -79.5
5.623e+1, 2.138e+1, -1.170e+2, 1.190e+2, -79.7
4.642e+1, 2.520e+1, -1.394e+2, 1.417e+2, -79.8
3.831e+1, 2.994e+1, -1.661e+2, 1.688e+2, -79.8
3.162e+1, 3.574e+1, -1.977e+2, 2.009e+2, -79.8
2.610e+1, 4.292e+1, -2.351e+2, 2.390e+2, -79.7
2.154e+1, 5.169e+1, -2.791e+2, 2.838e+2, -79.5
1.778e+1, 6.234e+1, -3.310e+2, 3.368e+2, -79.3
1.468e+1, 7.526e+1, -3.921e+2, 3.993e+2, -79.1
