June 11, 2026   04:27:05
A.C. Impedance
File: e:\chi_data\bo-r0.42-n1.02-ljjo-2_t-69.0_f0.1_1000000_v0.txt
Data Source:  Experiment
Instrument Model:  CHI660E
Header: 
Note: 

Init E (V) = 0
High Frequency (Hz) = 1e+6
Low Frequency (Hz) = 0.1
Imp SF
Amplitude (V) = 0.005
Quiet Time (sec) = 2
Cycles (.1-1Hz) = 1

Freq/Hz, Z'/ohm, Z"/ohm, Z/ohm, Phase/deg

8.252e+5, 8.343e+1, -7.460e+0, 8.377e+1, -5.1
6.816e+5, 8.582e+1, -1.037e+1, 8.644e+1, -6.9
5.625e+5, 8.741e+1, -1.094e+1, 8.809e+1, -7.1
4.639e+5, 9.013e+1, -1.203e+1, 9.093e+1, -7.6
3.828e+5, 9.279e+1, -1.195e+1, 9.355e+1, -7.3
3.164e+5, 9.533e+1, -1.183e+1, 9.607e+1, -7.1
2.607e+5, 9.733e+1, -1.129e+1, 9.798e+1, -6.6
2.158e+5, 9.910e+1, -1.082e+1, 9.969e+1, -6.2
1.777e+5, 1.008e+2, -1.075e+1, 1.014e+2, -6.1
1.465e+5, 1.024e+2, -1.051e+1, 1.029e+2, -5.9
1.211e+5, 1.035e+2, -8.554e+0, 1.038e+2, -4.7
9.961e+4, 1.044e+2, -6.024e+0, 1.045e+2, -3.3
8.252e+4, 1.052e+2, -4.581e+0, 1.053e+2, -2.5
6.812e+4, 1.060e+2, -4.147e+0, 1.061e+2, -2.2
5.625e+4, 1.068e+2, -4.413e+0, 1.068e+2, -2.4
4.644e+4, 1.075e+2, -4.925e+0, 1.076e+2, -2.6
3.833e+4, 1.084e+2, -5.489e+0, 1.085e+2, -2.9
3.164e+4, 1.093e+2, -5.962e+0, 1.094e+2, -3.1
2.612e+4, 1.101e+2, -6.389e+0, 1.103e+2, -3.3
2.153e+4, 1.109e+2, -6.869e+0, 1.111e+2, -3.5
1.777e+4, 1.116e+2, -7.347e+0, 1.119e+2, -3.8
1.470e+4, 1.124e+2, -7.887e+0, 1.127e+2, -4.0
1.211e+4, 1.134e+2, -8.500e+0, 1.137e+2, -4.3
1.001e+4, 1.144e+2, -9.156e+0, 1.148e+2, -4.6
8.252e+3, 1.155e+2, -9.861e+0, 1.159e+2, -4.9
6.812e+3, 1.166e+2, -1.062e+1, 1.171e+2, -5.2
5.625e+3, 1.178e+2, -1.154e+1, 1.183e+2, -5.6
4.643e+3, 1.190e+2, -1.261e+1, 1.196e+2, -6.1
3.833e+3, 1.203e+2, -1.383e+1, 1.211e+2, -6.6
3.164e+3, 1.217e+2, -1.515e+1, 1.226e+2, -7.1
2.612e+3, 1.231e+2, -1.663e+1, 1.242e+2, -7.7
2.153e+3, 1.247e+2, -1.830e+1, 1.260e+2, -8.4
1.777e+3, 1.264e+2, -2.018e+1, 1.280e+2, -9.1
1.470e+3, 1.283e+2, -2.234e+1, 1.302e+2, -9.9
1.211e+3, 1.302e+2, -2.484e+1, 1.326e+2, -10.8
1.001e+3, 1.323e+2, -2.756e+1, 1.351e+2, -11.8
8.252e+2, 1.344e+2, -3.056e+1, 1.379e+2, -12.8
6.836e+2, 1.368e+2, -3.415e+1, 1.410e+2, -14.0
5.615e+2, 1.394e+2, -3.844e+1, 1.446e+2, -15.4
4.639e+2, 1.422e+2, -4.348e+1, 1.487e+2, -17.0
3.809e+2, 1.453e+2, -4.925e+1, 1.534e+2, -18.7
3.174e+2, 1.486e+2, -5.601e+1, 1.588e+2, -20.7
2.588e+2, 1.521e+2, -6.390e+1, 1.650e+2, -22.8
2.148e+2, 1.560e+2, -7.317e+1, 1.724e+2, -25.1
1.758e+2, 1.603e+2, -8.393e+1, 1.809e+2, -27.6
1.465e+2, 1.647e+2, -9.613e+1, 1.907e+2, -30.3
1.221e+2, 1.699e+2, -1.111e+2, 2.030e+2, -33.2
9.766e+1, 1.762e+2, -1.283e+2, 2.179e+2, -36.1
8.254e+1, 1.830e+2, -1.479e+2, 2.353e+2, -38.9
6.813e+1, 1.901e+2, -1.718e+2, 2.562e+2, -42.1
5.623e+1, 1.974e+2, -2.005e+2, 2.814e+2, -45.4
4.642e+1, 2.052e+2, -2.349e+2, 3.119e+2, -48.9
3.831e+1, 2.137e+2, -2.759e+2, 3.490e+2, -52.2
3.162e+1, 2.230e+2, -3.246e+2, 3.938e+2, -55.5
2.610e+1, 2.332e+2, -3.828e+2, 4.482e+2, -58.7
2.154e+1, 2.443e+2, -4.520e+2, 5.138e+2, -61.6
1.778e+1, 2.567e+2, -5.348e+2, 5.932e+2, -64.4
1.468e+1, 2.705e+2, -6.338e+2, 6.892e+2, -66.9
1.212e+1, 2.863e+2, -7.525e+2, 8.051e+2, -69.2
1.000e+1, 3.047e+2, -8.951e+2, 9.455e+2, -71.2
8.254e+0, 3.258e+2, -1.067e+3, 1.115e+3, -73.0
6.813e+0, 3.500e+2, -1.272e+3, 1.320e+3, -74.6
5.623e+0, 3.779e+2, -1.519e+3, 1.565e+3, -76.0
4.642e+0, 4.103e+2, -1.814e+3, 1.860e+3, -77.3
3.831e+0, 4.504e+2, -2.166e+3, 2.213e+3, -78.3
3.162e+0, 4.965e+2, -2.590e+3, 2.638e+3, -79.1
2.610e+0, 5.509e+2, -3.098e+3, 3.147e+3, -79.9
2.154e+0, 6.083e+2, -3.717e+3, 3.766e+3, -80.7
1.778e+0, 6.724e+2, -4.462e+3, 4.512e+3, -81.4
1.468e+0, 7.606e+2, -5.333e+3, 5.387e+3, -81.9
1.212e+0, 8.842e+2, -6.356e+3, 6.417e+3, -82.1
1.000e+0, 1.053e+3, -7.568e+3, 7.641e+3, -82.1
8.254e-1, 1.264e+3, -9.008e+3, 9.097e+3, -82.0
6.813e-1, 1.520e+3, -1.072e+4, 1.083e+4, -81.9
5.623e-1, 1.832e+3, -1.275e+4, 1.288e+4, -81.8
4.642e-1, 2.212e+3, -1.516e+4, 1.532e+4, -81.7
3.831e-1, 2.673e+3, -1.802e+4, 1.822e+4, -81.6
3.162e-1, 3.252e+3, -2.140e+4, 2.165e+4, -81.4
2.610e-1, 3.985e+3, -2.539e+4, 2.570e+4, -81.1
2.154e-1, 4.897e+3, -3.011e+4, 3.051e+4, -80.8
1.778e-1, 6.014e+3, -3.568e+4, 3.618e+4, -80.4
1.468e-1, 7.362e+3, -4.223e+4, 4.287e+4, -80.1
1.212e-1, 8.996e+3, -4.993e+4, 5.073e+4, -79.8
1.000e-1, 1.093e+4, -5.882e+4, 5.983e+4, -79.5
