June 10, 2026   22:13:28
A.C. Impedance
File: e:\chi_data\bo-r0.42-n1.02-ljjo-2_t12.0_f0.1_1000000_v0.txt
Data Source:  Experiment
Instrument Model:  CHI660E
Header: 
Note: 

Init E (V) = 0
High Frequency (Hz) = 1e+6
Low Frequency (Hz) = 0.1
Imp SF
Amplitude (V) = 0.005
Quiet Time (sec) = 2
Cycles (.1-1Hz) = 1

Freq/Hz, Z'/ohm, Z"/ohm, Z/ohm, Phase/deg

8.252e+5, 5.109e+0, 1.407e+1, 1.497e+1, 70.0
6.816e+5, 4.583e+0, 1.158e+1, 1.246e+1, 68.4
5.625e+5, 3.984e+0, 9.537e+0, 1.034e+1, 67.3
4.639e+5, 3.717e+0, 7.871e+0, 8.705e+0, 64.7
3.828e+5, 3.515e+0, 6.524e+0, 7.410e+0, 61.7
3.164e+5, 3.415e+0, 5.406e+0, 6.394e+0, 57.7
2.607e+5, 3.326e+0, 4.469e+0, 5.570e+0, 53.3
2.158e+5, 3.263e+0, 3.674e+0, 4.914e+0, 48.4
1.777e+5, 3.215e+0, 2.997e+0, 4.395e+0, 43.0
1.465e+5, 3.185e+0, 2.433e+0, 4.008e+0, 37.4
1.211e+5, 3.156e+0, 1.970e+0, 3.721e+0, 32.0
9.961e+4, 3.138e+0, 1.585e+0, 3.515e+0, 26.8
8.252e+4, 3.129e+0, 1.265e+0, 3.375e+0, 22.0
6.812e+4, 3.130e+0, 9.896e-1, 3.283e+0, 17.5
5.625e+4, 3.136e+0, 7.496e-1, 3.225e+0, 13.4
4.644e+4, 3.147e+0, 5.373e-1, 3.193e+0, 9.7
3.833e+4, 3.163e+0, 3.454e-1, 3.182e+0, 6.2
3.164e+4, 3.181e+0, 1.730e-1, 3.186e+0, 3.1
2.612e+4, 3.201e+0, 1.739e-2, 3.201e+0, 0.3
2.153e+4, 3.223e+0, -1.299e-1, 3.226e+0, -2.3
1.777e+4, 3.246e+0, -2.752e-1, 3.258e+0, -4.8
1.470e+4, 3.272e+0, -4.257e-1, 3.299e+0, -7.4
1.211e+4, 3.299e+0, -5.836e-1, 3.351e+0, -10.0
1.001e+4, 3.328e+0, -7.554e-1, 3.413e+0, -12.8
8.252e+3, 3.359e+0, -9.478e-1, 3.490e+0, -15.8
6.812e+3, 3.394e+0, -1.166e+0, 3.588e+0, -19.0
5.625e+3, 3.434e+0, -1.416e+0, 3.714e+0, -22.4
4.643e+3, 3.477e+0, -1.706e+0, 3.873e+0, -26.1
3.833e+3, 3.524e+0, -2.046e+0, 4.075e+0, -30.1
3.164e+3, 3.577e+0, -2.450e+0, 4.336e+0, -34.4
2.612e+3, 3.636e+0, -2.930e+0, 4.670e+0, -38.9
2.153e+3, 3.703e+0, -3.502e+0, 5.097e+0, -43.4
1.777e+3, 3.779e+0, -4.185e+0, 5.638e+0, -47.9
1.470e+3, 3.866e+0, -5.003e+0, 6.323e+0, -52.3
1.211e+3, 3.970e+0, -5.981e+0, 7.178e+0, -56.4
1.001e+3, 4.095e+0, -7.152e+0, 8.242e+0, -60.2
