June 30, 2026   19:54:43
A.C. Impedance
File: e:\chi_data\atp-r0.186-n1.029-fulltemp-fe3_t-53.0_f0.1_1000000_v0.txt
Data Source:  Experiment
Instrument Model:  CHI660E
Header: 
Note: 

Init E (V) = 0
High Frequency (Hz) = 1e+6
Low Frequency (Hz) = 0.1
Imp SF
Amplitude (V) = 0.005
Quiet Time (sec) = 2
Cycles (.1-1Hz) = 1

Freq/Hz, Z'/ohm, Z"/ohm, Z/ohm, Phase/deg

8.252e+5, 1.893e+2, -4.199e+1, 1.939e+2, -12.5
6.816e+5, 1.942e+2, -4.205e+1, 1.987e+2, -12.2
5.625e+5, 2.002e+2, -3.774e+1, 2.038e+2, -10.7
4.639e+5, 2.046e+2, -3.421e+1, 2.074e+2, -9.5
3.828e+5, 2.088e+2, -2.951e+1, 2.108e+2, -8.0
3.164e+5, 2.118e+2, -2.561e+1, 2.133e+2, -6.9
2.607e+5, 2.139e+2, -2.222e+1, 2.151e+2, -5.9
2.158e+5, 2.155e+2, -1.926e+1, 2.164e+2, -5.1
1.777e+5, 2.171e+2, -1.663e+1, 2.177e+2, -4.4
1.465e+5, 2.187e+2, -1.454e+1, 2.192e+2, -3.8
1.211e+5, 2.200e+2, -1.139e+1, 2.203e+2, -3.0
9.961e+4, 2.210e+2, -7.895e+0, 2.211e+2, -2.0
8.252e+4, 2.220e+2, -5.407e+0, 2.221e+2, -1.4
6.812e+4, 2.228e+2, -3.874e+0, 2.229e+2, -1.0
5.625e+4, 2.234e+2, -3.348e+0, 2.234e+2, -0.9
4.644e+4, 2.240e+2, -3.484e+0, 2.240e+2, -0.9
3.833e+4, 2.246e+2, -3.632e+0, 2.247e+2, -0.9
3.164e+4, 2.254e+2, -3.640e+0, 2.255e+2, -0.9
2.612e+4, 2.263e+2, -3.625e+0, 2.263e+2, -0.9
2.153e+4, 2.270e+2, -3.568e+0, 2.270e+2, -0.9
1.777e+4, 2.277e+2, -3.359e+0, 2.277e+2, -0.8
1.470e+4, 2.284e+2, -3.219e+0, 2.284e+2, -0.8
1.211e+4, 2.289e+2, -3.339e+0, 2.290e+2, -0.8
1.001e+4, 2.293e+2, -3.532e+0, 2.294e+2, -0.9
8.252e+3, 2.299e+2, -3.791e+0, 2.299e+2, -0.9
6.812e+3, 2.305e+2, -4.167e+0, 2.305e+2, -1.0
5.625e+3, 2.311e+2, -4.636e+0, 2.312e+2, -1.1
4.643e+3, 2.318e+2, -5.118e+0, 2.319e+2, -1.3
3.833e+3, 2.325e+2, -5.644e+0, 2.326e+2, -1.4
3.164e+3, 2.334e+2, -6.263e+0, 2.335e+2, -1.5
2.612e+3, 2.343e+2, -7.072e+0, 2.344e+2, -1.7
2.153e+3, 2.352e+2, -8.021e+0, 2.353e+2, -2.0
1.777e+3, 2.360e+2, -9.083e+0, 2.362e+2, -2.2
1.470e+3, 2.370e+2, -1.041e+1, 2.372e+2, -2.5
1.211e+3, 2.380e+2, -1.202e+1, 2.383e+2, -2.9
1.001e+3, 2.392e+2, -1.359e+1, 2.396e+2, -3.3
8.252e+2, 2.405e+2, -1.527e+1, 2.410e+2, -3.6
6.836e+2, 2.418e+2, -1.762e+1, 2.425e+2, -4.2
5.615e+2, 2.432e+2, -2.066e+1, 2.441e+2, -4.9
4.639e+2, 2.446e+2, -2.442e+1, 2.458e+2, -5.7
3.809e+2, 2.461e+2, -2.880e+1, 2.478e+2, -6.7
3.174e+2, 2.478e+2, -3.395e+1, 2.501e+2, -7.8
2.588e+2, 2.496e+2, -3.996e+1, 2.527e+2, -9.1
2.148e+2, 2.515e+2, -4.709e+1, 2.559e+2, -10.6
1.758e+2, 2.536e+2, -5.549e+1, 2.596e+2, -12.3
1.465e+2, 2.559e+2, -6.515e+1, 2.641e+2, -14.3
1.221e+2, 2.585e+2, -7.704e+1, 2.698e+2, -16.6
9.766e+1, 2.619e+2, -9.031e+1, 2.770e+2, -19.0
8.254e+1, 2.659e+2, -1.055e+2, 2.861e+2, -21.7
6.813e+1, 2.702e+2, -1.248e+2, 2.976e+2, -24.8
5.623e+1, 2.747e+2, -1.483e+2, 3.122e+2, -28.4
4.642e+1, 2.795e+2, -1.767e+2, 3.307e+2, -32.3
3.831e+1, 2.851e+2, -2.108e+2, 3.546e+2, -36.5
3.162e+1, 2.918e+2, -2.514e+2, 3.851e+2, -40.8
2.610e+1, 2.995e+2, -2.996e+2, 4.236e+2, -45.0
2.154e+1, 3.083e+2, -3.570e+2, 4.717e+2, -49.2
1.778e+1, 3.186e+2, -4.254e+2, 5.315e+2, -53.2
1.468e+1, 3.307e+2, -5.069e+2, 6.052e+2, -56.9
1.212e+1, 3.450e+2, -6.041e+2, 6.957e+2, -60.3
1.000e+1, 3.624e+2, -7.204e+2, 8.064e+2, -63.3
8.254e+0, 3.830e+2, -8.595e+2, 9.410e+2, -66.0
6.813e+0, 4.070e+2, -1.026e+3, 1.104e+3, -68.4
5.623e+0, 4.353e+2, -1.224e+3, 1.299e+3, -70.4
4.642e+0, 4.688e+2, -1.461e+3, 1.534e+3, -72.2
3.831e+0, 5.094e+2, -1.741e+3, 1.814e+3, -73.7
3.162e+0, 5.587e+2, -2.076e+3, 2.150e+3, -74.9
2.610e+0, 6.192e+2, -2.474e+3, 2.551e+3, -76.0
2.154e+0, 6.839e+2, -2.962e+3, 3.040e+3, -77.0
1.778e+0, 7.587e+2, -3.548e+3, 3.628e+3, -77.9
1.468e+0, 8.591e+2, -4.221e+3, 4.308e+3, -78.5
1.212e+0, 9.942e+2, -5.002e+3, 5.100e+3, -78.8
1.000e+0, 1.175e+3, -5.917e+3, 6.033e+3, -78.8
8.254e-1, 1.400e+3, -6.991e+3, 7.130e+3, -78.7
6.813e-1, 1.666e+3, -8.246e+3, 8.413e+3, -78.6
5.623e-1, 1.984e+3, -9.721e+3, 9.921e+3, -78.5
4.642e-1, 2.365e+3, -1.146e+4, 1.170e+4, -78.3
3.831e-1, 2.818e+3, -1.351e+4, 1.380e+4, -78.2
3.162e-1, 3.365e+3, -1.591e+4, 1.627e+4, -78.1
2.610e-1, 4.024e+3, -1.874e+4, 1.916e+4, -77.9
2.154e-1, 4.826e+3, -2.202e+4, 2.254e+4, -77.6
1.778e-1, 5.779e+3, -2.586e+4, 2.649e+4, -77.4
1.468e-1, 6.893e+3, -3.035e+4, 3.112e+4, -77.2
1.212e-1, 8.196e+3, -3.561e+4, 3.654e+4, -77.0
1.000e-1, 9.697e+3, -4.168e+4, 4.279e+4, -76.9
