June 30, 2026   15:20:05
A.C. Impedance
File: e:\chi_data\atp-r0.186-n1.029-fulltemp-fe3_t4.0_f0.1_1000000_v0.txt
Data Source:  Experiment
Instrument Model:  CHI660E
Header: 
Note: 

Init E (V) = 0
High Frequency (Hz) = 1e+6
Low Frequency (Hz) = 0.1
Imp SF
Amplitude (V) = 0.005
Quiet Time (sec) = 2
Cycles (.1-1Hz) = 1

Freq/Hz, Z'/ohm, Z"/ohm, Z/ohm, Phase/deg

8.252e+5, 4.391e+0, 1.380e+1, 1.448e+1, 72.3
6.816e+5, 3.782e+0, 1.127e+1, 1.189e+1, 71.5
5.625e+5, 3.256e+0, 9.368e+0, 9.917e+0, 70.8
4.639e+5, 2.980e+0, 7.682e+0, 8.240e+0, 68.8
3.828e+5, 2.793e+0, 6.390e+0, 6.973e+0, 66.4
3.164e+5, 2.671e+0, 5.283e+0, 5.920e+0, 63.2
2.607e+5, 2.569e+0, 4.383e+0, 5.080e+0, 59.6
2.158e+5, 2.493e+0, 3.610e+0, 4.387e+0, 55.4
1.777e+5, 2.446e+0, 2.956e+0, 3.837e+0, 50.4
1.465e+5, 2.414e+0, 2.404e+0, 3.407e+0, 44.9
1.211e+5, 2.383e+0, 1.957e+0, 3.083e+0, 39.4
9.961e+4, 2.364e+0, 1.584e+0, 2.846e+0, 33.8
8.252e+4, 2.355e+0, 1.273e+0, 2.677e+0, 28.4
6.812e+4, 2.353e+0, 1.006e+0, 2.559e+0, 23.1
5.625e+4, 2.345e+0, 7.115e-1, 2.451e+0, 16.9
4.644e+4, 2.336e+0, 4.164e-1, 2.373e+0, 10.1
3.833e+4, 2.336e+0, 2.019e-1, 2.345e+0, 4.9
3.164e+4, 2.343e+0, 5.032e-2, 2.343e+0, 1.2
2.612e+4, 2.356e+0, -6.168e-2, 2.357e+0, -1.5
2.153e+4, 2.372e+0, -1.659e-1, 2.378e+0, -4.0
1.777e+4, 2.389e+0, -2.737e-1, 2.405e+0, -6.5
1.470e+4, 2.407e+0, -3.895e-1, 2.438e+0, -9.2
1.211e+4, 2.425e+0, -5.192e-1, 2.480e+0, -12.1
1.001e+4, 2.454e+0, -6.585e-1, 2.541e+0, -15.0
8.252e+3, 2.491e+0, -8.125e-1, 2.621e+0, -18.1
6.812e+3, 2.528e+0, -9.995e-1, 2.718e+0, -21.6
5.625e+3, 2.565e+0, -1.223e+0, 2.842e+0, -25.5
4.643e+3, 2.606e+0, -1.487e+0, 3.000e+0, -29.7
3.833e+3, 2.653e+0, -1.795e+0, 3.203e+0, -34.1
3.164e+3, 2.708e+0, -2.156e+0, 3.461e+0, -38.5
2.612e+3, 2.774e+0, -2.582e+0, 3.790e+0, -43.0
2.153e+3, 2.853e+0, -3.086e+0, 4.203e+0, -47.2
1.777e+3, 2.948e+0, -3.678e+0, 4.714e+0, -51.3
1.470e+3, 3.062e+0, -4.380e+0, 5.345e+0, -55.0
