July 2, 2026   10:44:01
A.C. Impedance
File: e:\chi_data\atp-r0.186-n1.029-fulltemp-fe4_t7.0_f0.1_1000000_v0.txt
Data Source:  Experiment
Instrument Model:  CHI660E
Header: 
Note: 

Init E (V) = 0
High Frequency (Hz) = 1e+6
Low Frequency (Hz) = 0.1
Imp SF
Amplitude (V) = 0.005
Quiet Time (sec) = 2
Cycles (.1-1Hz) = 1

Freq/Hz, Z'/ohm, Z"/ohm, Z/ohm, Phase/deg

8.252e+5, 4.452e+0, 1.380e+1, 1.450e+1, 72.1
6.816e+5, 3.906e+0, 1.130e+1, 1.195e+1, 70.9
5.625e+5, 3.280e+0, 9.332e+0, 9.891e+0, 70.6
4.639e+5, 3.017e+0, 7.681e+0, 8.252e+0, 68.6
3.828e+5, 2.819e+0, 6.378e+0, 6.973e+0, 66.2
3.164e+5, 2.725e+0, 5.284e+0, 5.945e+0, 62.7
2.607e+5, 2.625e+0, 4.379e+0, 5.106e+0, 59.1
2.158e+5, 2.558e+0, 3.613e+0, 4.427e+0, 54.7
1.777e+5, 2.512e+0, 2.955e+0, 3.878e+0, 49.6
1.465e+5, 2.482e+0, 2.402e+0, 3.454e+0, 44.1
1.211e+5, 2.449e+0, 1.955e+0, 3.133e+0, 38.6
9.961e+4, 2.426e+0, 1.583e+0, 2.897e+0, 33.1
8.252e+4, 2.412e+0, 1.274e+0, 2.728e+0, 27.9
6.812e+4, 2.411e+0, 1.010e+0, 2.614e+0, 22.7
5.625e+4, 2.415e+0, 7.812e-1, 2.538e+0, 17.9
4.644e+4, 2.409e+0, 5.268e-1, 2.466e+0, 12.3
3.833e+4, 2.399e+0, 2.730e-1, 2.415e+0, 6.5
3.164e+4, 2.402e+0, 8.146e-2, 2.404e+0, 1.9
2.612e+4, 2.411e+0, -6.115e-2, 2.412e+0, -1.5
2.153e+4, 2.425e+0, -1.707e-1, 2.431e+0, -4.0
1.777e+4, 2.442e+0, -2.753e-1, 2.458e+0, -6.4
1.470e+4, 2.459e+0, -3.877e-1, 2.489e+0, -9.0
1.211e+4, 2.486e+0, -5.048e-1, 2.537e+0, -11.5
1.001e+4, 2.523e+0, -6.343e-1, 2.601e+0, -14.1
8.252e+3, 2.557e+0, -7.947e-1, 2.678e+0, -17.3
6.812e+3, 2.589e+0, -9.876e-1, 2.771e+0, -20.9
5.625e+3, 2.622e+0, -1.215e+0, 2.890e+0, -24.9
4.643e+3, 2.660e+0, -1.479e+0, 3.043e+0, -29.1
3.833e+3, 2.705e+0, -1.787e+0, 3.242e+0, -33.5
3.164e+3, 2.758e+0, -2.147e+0, 3.496e+0, -37.9
2.612e+3, 2.822e+0, -2.572e+0, 3.818e+0, -42.3
