July 2, 2026   19:53:02
A.C. Impedance
File: e:\chi_data\atp-r0.186-n1.029-fulltemp-fe4b_t-43.7_f0.1_1000000_v0.txt
Data Source:  Experiment
Instrument Model:  CHI660E
Header: 
Note: 

Init E (V) = 0
High Frequency (Hz) = 1e+6
Low Frequency (Hz) = 0.1
Imp SF
Amplitude (V) = 0.005
Quiet Time (sec) = 2
Cycles (.1-1Hz) = 1

Freq/Hz, Z'/ohm, Z"/ohm, Z/ohm, Phase/deg

8.252e+5, 7.718e+1, 2.850e+0, 7.724e+1, 2.1
6.816e+5, 7.757e+1, 6.969e-1, 7.757e+1, 0.5
5.625e+5, 7.771e+1, 4.155e-1, 7.772e+1, 0.3
4.639e+5, 7.829e+1, -1.848e-1, 7.829e+1, -0.1
3.828e+5, 7.893e+1, -1.528e-1, 7.893e+1, -0.1
3.164e+5, 7.945e+1, -2.857e-1, 7.945e+1, -0.2
2.607e+5, 7.980e+1, -2.976e-1, 7.980e+1, -0.2
2.158e+5, 8.006e+1, -4.317e-1, 8.006e+1, -0.3
1.777e+5, 8.040e+1, -8.161e-1, 8.040e+1, -0.6
1.465e+5, 8.076e+1, -1.076e+0, 8.077e+1, -0.8
1.211e+5, 8.093e+1, 2.750e-1, 8.093e+1, 0.2
9.961e+4, 8.102e+1, 2.244e+0, 8.105e+1, 1.6
8.252e+4, 8.116e+1, 3.146e+0, 8.122e+1, 2.2
6.812e+4, 8.135e+1, 3.064e+0, 8.140e+1, 2.2
5.625e+4, 8.148e+1, 2.411e+0, 8.152e+1, 1.7
4.644e+4, 8.162e+1, 1.612e+0, 8.163e+1, 1.1
3.833e+4, 8.182e+1, 9.210e-1, 8.182e+1, 0.6
3.164e+4, 8.201e+1, 4.338e-1, 8.201e+1, 0.3
2.612e+4, 8.223e+1, 4.294e-2, 8.223e+1, 0.0
2.153e+4, 8.244e+1, -2.730e-1, 8.244e+1, -0.2
1.777e+4, 8.273e+1, -5.717e-1, 8.273e+1, -0.4
1.470e+4, 8.305e+1, -8.634e-1, 8.305e+1, -0.6
1.211e+4, 8.328e+1, -1.163e+0, 8.328e+1, -0.8
1.001e+4, 8.349e+1, -1.470e+0, 8.350e+1, -1.0
8.252e+3, 8.373e+1, -1.798e+0, 8.375e+1, -1.2
6.812e+3, 8.401e+1, -2.139e+0, 8.403e+1, -1.5
5.625e+3, 8.432e+1, -2.484e+0, 8.436e+1, -1.7
4.643e+3, 8.466e+1, -2.880e+0, 8.471e+1, -1.9
3.833e+3, 8.499e+1, -3.346e+0, 8.505e+1, -2.3
3.164e+3, 8.534e+1, -3.871e+0, 8.542e+1, -2.6
2.612e+3, 8.572e+1, -4.484e+0, 8.584e+1, -3.0
2.153e+3, 8.612e+1, -5.191e+0, 8.628e+1, -3.4
1.777e+3, 8.656e+1, -6.005e+0, 8.677e+1, -4.0
1.470e+3, 8.705e+1, -6.931e+0, 8.732e+1, -4.6
1.211e+3, 8.756e+1, -8.001e+0, 8.793e+1, -5.2
1.001e+3, 8.808e+1, -9.190e+0, 8.856e+1, -6.0
8.252e+2, 8.864e+1, -1.056e+1, 8.927e+1, -6.8
6.836e+2, 8.926e+1, -1.230e+1, 9.011e+1, -7.8
5.615e+2, 8.995e+1, -1.440e+1, 9.110e+1, -9.1
4.639e+2, 9.076e+1, -1.691e+1, 9.232e+1, -10.6
3.809e+2, 9.165e+1, -1.982e+1, 9.377e+1, -12.2
3.174e+2, 9.264e+1, -2.326e+1, 9.551e+1, -14.1
2.588e+2, 9.373e+1, -2.734e+1, 9.764e+1, -16.3
2.148e+2, 9.495e+1, -3.219e+1, 1.003e+2, -18.7
1.758e+2, 9.634e+1, -3.790e+1, 1.035e+2, -21.5
1.465e+2, 9.788e+1, -4.443e+1, 1.075e+2, -24.4
1.221e+2, 9.964e+1, -5.249e+1, 1.126e+2, -27.8
9.766e+1, 1.018e+2, -6.170e+1, 1.190e+2, -31.2
8.254e+1, 1.045e+2, -7.226e+1, 1.271e+2, -34.7
6.813e+1, 1.075e+2, -8.526e+1, 1.372e+2, -38.4
5.623e+1, 1.108e+2, -1.009e+2, 1.498e+2, -42.3
4.642e+1, 1.144e+2, -1.197e+2, 1.656e+2, -46.3
3.831e+1, 1.185e+2, -1.421e+2, 1.850e+2, -50.2
3.162e+1, 1.234e+2, -1.686e+2, 2.089e+2, -53.8
2.610e+1, 1.290e+2, -2.001e+2, 2.381e+2, -57.2
2.154e+1, 1.357e+2, -2.376e+2, 2.736e+2, -60.3
1.778e+1, 1.436e+2, -2.820e+2, 3.165e+2, -63.0
1.468e+1, 1.529e+2, -3.347e+2, 3.679e+2, -65.4
1.212e+1, 1.640e+2, -3.970e+2, 4.295e+2, -67.5
1.000e+1, 1.778e+2, -4.711e+2, 5.035e+2, -69.3
8.254e+0, 1.942e+2, -5.595e+2, 5.923e+2, -70.9
6.813e+0, 2.136e+2, -6.648e+2, 6.983e+2, -72.2
5.623e+0, 2.367e+2, -7.898e+2, 8.245e+2, -73.3
4.642e+0, 2.637e+2, -9.383e+2, 9.746e+2, -74.3
3.831e+0, 2.968e+2, -1.113e+3, 1.152e+3, -75.1
3.162e+0, 3.362e+2, -1.322e+3, 1.364e+3, -75.7
2.610e+0, 3.837e+2, -1.569e+3, 1.615e+3, -76.3
2.154e+0, 4.363e+2, -1.870e+3, 1.920e+3, -76.9
1.778e+0, 4.992e+2, -2.229e+3, 2.285e+3, -77.4
1.468e+0, 5.817e+2, -2.641e+3, 2.704e+3, -77.6
1.212e+0, 6.866e+2, -3.116e+3, 3.191e+3, -77.6
1.000e+0, 8.200e+2, -3.669e+3, 3.760e+3, -77.4
8.254e-1, 9.842e+2, -4.313e+3, 4.424e+3, -77.1
6.813e-1, 1.179e+3, -5.058e+3, 5.194e+3, -76.9
5.623e-1, 1.408e+3, -5.930e+3, 6.095e+3, -76.6
4.642e-1, 1.679e+3, -6.950e+3, 7.150e+3, -76.4
3.831e-1, 2.000e+3, -8.147e+3, 8.389e+3, -76.2
3.162e-1, 2.384e+3, -9.543e+3, 9.836e+3, -76.0
2.610e-1, 2.841e+3, -1.116e+4, 1.152e+4, -75.7
2.154e-1, 3.375e+3, -1.304e+4, 1.347e+4, -75.5
1.778e-1, 3.996e+3, -1.523e+4, 1.575e+4, -75.3
1.468e-1, 4.710e+3, -1.777e+4, 1.838e+4, -75.2
1.212e-1, 5.532e+3, -2.075e+4, 2.147e+4, -75.1
1.000e-1, 6.467e+3, -2.420e+4, 2.505e+4, -75.0
