July 2, 2026   16:11:41
A.C. Impedance
File: e:\chi_data\atp-r0.186-n1.029-fulltemp-fe4b_t4.0_f0.1_1000000_v0.txt
Data Source:  Experiment
Instrument Model:  CHI660E
Header: 
Note: 

Init E (V) = 0
High Frequency (Hz) = 1e+6
Low Frequency (Hz) = 0.1
Imp SF
Amplitude (V) = 0.005
Quiet Time (sec) = 2
Cycles (.1-1Hz) = 1

Freq/Hz, Z'/ohm, Z"/ohm, Z/ohm, Phase/deg

8.252e+5, 4.357e+0, 1.387e+1, 1.454e+1, 72.6
6.816e+5, 3.744e+0, 1.119e+1, 1.180e+1, 71.5
5.625e+5, 3.158e+0, 9.347e+0, 9.866e+0, 71.3
4.639e+5, 2.916e+0, 7.652e+0, 8.189e+0, 69.1
3.828e+5, 2.734e+0, 6.396e+0, 6.956e+0, 66.9
3.164e+5, 2.636e+0, 5.285e+0, 5.905e+0, 63.5
2.607e+5, 2.531e+0, 4.392e+0, 5.069e+0, 60.0
2.158e+5, 2.451e+0, 3.617e+0, 4.370e+0, 55.9
1.777e+5, 2.397e+0, 2.963e+0, 3.811e+0, 51.0
1.465e+5, 2.366e+0, 2.410e+0, 3.378e+0, 45.5
1.211e+5, 2.336e+0, 1.963e+0, 3.052e+0, 40.0
9.961e+4, 2.319e+0, 1.591e+0, 2.812e+0, 34.5
8.252e+4, 2.309e+0, 1.285e+0, 2.642e+0, 29.1
6.812e+4, 2.308e+0, 1.021e+0, 2.524e+0, 23.9
5.625e+4, 2.299e+0, 7.299e-1, 2.412e+0, 17.6
4.644e+4, 2.288e+0, 4.415e-1, 2.331e+0, 10.9
3.833e+4, 2.288e+0, 2.324e-1, 2.299e+0, 5.8
3.164e+4, 2.295e+0, 8.185e-2, 2.297e+0, 2.0
2.612e+4, 2.306e+0, -2.712e-2, 2.306e+0, -0.7
2.153e+4, 2.319e+0, -1.246e-1, 2.323e+0, -3.1
1.777e+4, 2.337e+0, -2.214e-1, 2.347e+0, -5.4
1.470e+4, 2.356e+0, -3.287e-1, 2.379e+0, -7.9
1.211e+4, 2.379e+0, -4.441e-1, 2.420e+0, -10.6
1.001e+4, 2.401e+0, -5.721e-1, 2.468e+0, -13.4
8.252e+3, 2.432e+0, -7.082e-1, 2.533e+0, -16.2
6.812e+3, 2.473e+0, -8.596e-1, 2.618e+0, -19.2
5.625e+3, 2.515e+0, -1.044e+0, 2.723e+0, -22.5
4.643e+3, 2.557e+0, -1.265e+0, 2.853e+0, -26.3
3.833e+3, 2.603e+0, -1.525e+0, 3.017e+0, -30.4
3.164e+3, 2.655e+0, -1.830e+0, 3.225e+0, -34.6
2.612e+3, 2.717e+0, -2.188e+0, 3.488e+0, -38.8
