Freq (Hz),	Z'(Ohm.cm^2),	Z''(Ohm.cm^2),	MOD(Ohm.cm^2),	Angle(Degree)
307200.000000, 305.454010, 3.187920, 305.470642, 0.597955
276480.000000, 303.704010, 1.126160, 303.706085, 0.212457
230400.000000, 302.584991, -1.742710, 302.589996, -0.329986
172800.000000, 303.519012, -4.948580, 303.559357, -0.934069
153600.000000, 305.343994, -6.449820, 305.412109, -1.210086
115200.000000, 306.036011, -7.444020, 306.126526, -1.393388
98742.898438, 307.684998, -9.041350, 307.817810, -1.683157
81317.601563, 308.428986, -9.127910, 308.564026, -1.695165
65828.601563, 310.259003, -8.872020, 310.385834, -1.637957
53169.199219, 313.148010, -9.275120, 313.285339, -1.696546
46080.000000, 316.539001, -7.550320, 316.629028, -1.366402
36378.898438, 316.979004, -7.951660, 317.078705, -1.437007
30052.199219, 323.902008, -7.441850, 323.987488, -1.316175
24685.699219, 318.661987, -7.321330, 318.746063, -1.316152
20329.400391, 319.674988, -7.094010, 319.753693, -1.271260
16457.099609, 321.265991, -6.934350, 321.340820, -1.236506
13552.900391, 320.722992, -5.718620, 320.773956, -1.021499
11148.400391, 323.282990, -7.402270, 323.367737, -1.311683
9600.000000, 322.052002, -5.962720, 322.107208, -1.060697
7854.549805, 324.407013, -5.798930, 324.458832, -1.024080
6400.000000, 322.631012, -5.824460, 322.683594, -1.034249
5236.359863, 323.363007, -8.660710, 323.478973, -1.534200
4320.000000, 323.938995, -7.534830, 324.026611, -1.332461
3526.530029, 324.265015, -8.398120, 324.373749, -1.483568
2880.000000, 323.901001, -9.096750, 324.028717, -1.608727
2367.120117, 326.618988, -9.793900, 326.765778, -1.717540
1963.640015, 327.244995, -12.350500, 327.477966, -2.161365
1614.949951, 330.018005, -19.861000, 330.615112, -3.443996
1329.229980, 328.760010, -17.434500, 329.221985, -3.035614
1093.670044, 328.300995, -17.593399, 328.772064, -3.067503
900.000000, 332.572998, -22.497900, 333.333099, -3.870049
744.828003, 334.109009, -26.307100, 335.143097, -4.502071
617.143005, 335.807007, -30.607100, 337.198975, -5.207829
514.286011, 337.765991, -35.430599, 339.619202, -5.988249
415.385010, 340.359985, -42.361698, 342.986053, -7.094633
342.856995, 343.459015, -49.342300, 346.985229, -8.175338
284.210999, 346.888000, -57.500000, 351.621277, -9.411746
232.257996, 351.377014, -67.602997, 357.821136, -10.890322
191.149994, 356.289001, -78.818802, 364.903076, -12.474159
157.664001, 362.006989, -91.653999, 373.429413, -14.207757
130.119995, 368.937012, -106.405998, 383.974945, -16.088215
106.931000, 376.876007, -123.876999, 396.712769, -18.195400
88.524597, 386.322998, -143.688995, 412.179565, -20.402184
72.973000, 397.622986, -167.445007, 431.441620, -22.836691
60.000000, 406.553009, -189.464005, 448.533112, -24.986713
49.541302, 419.369995, -219.235001, 473.217896, -27.599321
40.601501, 433.726013, -254.998993, 503.132904, -30.452398
33.540401, 446.407013, -295.911011, 535.576843, -33.539310
27.551001, 466.050995, -343.942993, 579.223877, -36.427116
22.689100, 486.286011, -399.368988, 629.261230, -39.395016
18.750000, 508.691986, -462.903015, 687.783936, -42.301781
15.517200, 533.703003, -537.116028, 757.187256, -45.182617
12.857100, 561.216003, -623.210999, 838.662842, -47.996227
10.465100, 594.343018, -734.487976, 944.836609, -51.020432
8.653850, 630.041992, -855.534973, 1062.493774, -53.630939
7.142860, 669.541016, -1001.229980, 1204.469482, -56.228619
5.844160, 717.903992, -1180.530029, 1381.679199, -58.695374
4.838710, 770.882019, -1380.209961, 1580.897949, -60.815548
3.982300, 834.153992, -1623.030029, 1824.839478, -62.799171
3.284670, 907.179016, -1907.920044, 2112.612793, -64.569817
2.694610, 995.760010, -2253.669922, 2463.851807, -66.162277
2.227720, 1095.689941, -2647.080078, 2864.885498, -67.514175
1.829270, 1218.910034, -3128.090088, 3357.184570, -68.710846
1.510070, 1362.030029, -3681.229980, 3925.121582, -69.695869
1.243090, 1536.869995, -4341.649902, 4605.637207, -70.506897
1.022730, 1749.250000, -5128.850098, 5418.946289, -71.167503
0.845865, 1996.839966, -6019.990234, 6342.527344, -71.649239
0.694444, 2308.739990, -7116.200195, 7481.349121, -72.025154
0.573980, 2607.229980, -8376.969727, 8773.327148, -72.711876
0.472689, 3056.560059, -9865.450195, 10328.100586, -72.785744
0.390625, 3591.860107, -11687.900391, 12227.366211, -72.917053
0.321429, 4273.029785, -13738.200195, 14387.387695, -72.722603
0.264085, 5141.970215, -15961.200195, 16769.011719, -72.143433
0.218023, 5952.520020, -19053.599609, 19961.767578, -72.650711
0.179426, 7246.890137, -22111.500000, 23268.773438, -71.853806
0.147638, 8681.250000, -25834.900391, 27254.470703, -71.426216
0.121753, 10365.400391, -30085.099609, 31820.666016, -70.989319
0.100446, 12336.599609, -34987.000000, 37098.273438, -70.577080
