Freq (Hz),	Z'(Ohm.cm^2),	Z''(Ohm.cm^2),	MOD(Ohm.cm^2),	Angle(Degree)
307200.000000, 1.198290, 4.297110, 4.461060, 74.418365
276480.000000, 1.745380, 3.498840, 3.910017, 63.487900
230400.000000, 2.152220, 2.927940, 3.633852, 53.681778
172800.000000, 2.551760, 2.167070, 3.347786, 40.339424
153600.000000, 2.651650, 1.889340, 3.255895, 35.470436
115200.000000, 2.844940, 1.351650, 3.149705, 25.412706
98742.898438, 2.926360, 1.124010, 3.134802, 21.011700
81317.601563, 2.983580, 0.877884, 3.110053, 16.395910
65828.601563, 3.030060, 0.656026, 3.100264, 12.216327
53169.199219, 3.086790, 0.394093, 3.111845, 7.275639
46080.000000, 3.105930, 0.276769, 3.118237, 5.092169
36378.898438, 3.137360, 0.096990, 3.138859, 1.770706
30052.199219, 3.158930, -0.036853, 3.159145, -0.668393
24685.699219, 3.185430, -0.174584, 3.190211, -3.137074
20329.400391, 3.217540, -0.304105, 3.231879, -5.399258
16457.099609, 3.256080, -0.449943, 3.287021, -7.867620
13552.900391, 3.300190, -0.592984, 3.353041, -10.186313
11148.400391, 3.354980, -0.747101, 3.437157, -12.554029
9600.000000, 3.229590, -0.861471, 3.342511, -14.935509
7854.549805, 3.304240, -1.038780, 3.463678, -17.451994
6400.000000, 3.382000, -1.244560, 3.603728, -20.203375
5236.359863, 3.467630, -1.469250, 3.766052, -22.962587
4320.000000, 3.560020, -1.720150, 3.953816, -25.789160
3526.530029, 3.670660, -2.018310, 4.188952, -28.804165
2880.000000, 3.792660, -2.366100, 4.470201, -31.958509
2367.120117, 3.924080, -2.761740, 4.798501, -35.137611
1963.640015, 4.066880, -3.195530, 5.172130, -38.158310
1614.949951, 4.220780, -3.736380, 5.636978, -41.516365
1329.229980, 4.411580, -4.356690, 6.200225, -44.641327
1093.670044, 4.612360, -5.096210, 6.873516, -47.853111
900.000000, 4.870180, -5.992860, 7.722242, -50.900494
744.828003, 5.132460, -6.993860, 8.675035, -53.726830
617.143005, 5.439600, -8.172950, 9.817656, -56.353798
514.286011, 5.802770, -9.511830, 11.142130, -58.614376
415.385010, 6.261220, -11.378900, 12.987773, -61.178284
342.856995, 6.749150, -13.380900, 14.986645, -63.234226
284.210999, 7.327660, -15.722100, 17.345865, -65.011002
232.257996, 8.046950, -18.669500, 20.329870, -66.682945
191.149994, 8.884260, -22.042900, 23.765932, -68.048393
157.664001, 9.873000, -25.976601, 27.789564, -69.189568
130.119995, 11.065800, -30.613501, 32.552086, -70.126709
106.931000, 12.538800, -36.207100, 38.316780, -70.898636
88.524597, 14.253100, -42.579700, 44.901913, -71.492584
72.973000, 16.400600, -50.341999, 52.946167, -71.955231
60.000000, 19.254400, -58.657299, 61.736622, -71.827469
49.541302, 22.511801, -68.789902, 72.379776, -71.879089
40.601501, 26.651199, -81.053497, 85.322655, -71.798622
33.540401, 30.917801, -94.582100, 99.507202, -71.898033
27.551001, 37.129002, -111.119003, 117.157997, -71.523598
22.689100, 44.383801, -129.660004, 137.046112, -71.103462
18.750000, 52.858398, -150.492004, 159.505020, -70.646835
15.517200, 62.578602, -174.033005, 184.942062, -70.222488
12.857100, 73.761101, -200.565002, 213.698425, -69.808167
10.465100, 87.544296, -233.753006, 249.608643, -69.468254
8.653850, 102.230003, -269.739990, 288.462524, -69.243568
7.142860, 118.346001, -310.761993, 332.533905, -69.151894
5.844160, 136.757004, -360.677002, 385.733551, -69.234909
4.838710, 155.841003, -415.606995, 443.864380, -69.445358
3.982300, 177.283005, -481.989014, 513.558838, -69.805695
3.284670, 200.755997, -559.536011, 594.460693, -70.262512
2.694610, 227.580994, -653.770996, 692.249695, -70.806725
2.227720, 256.210999, -761.174011, 803.137573, -71.396774
1.829270, 289.899994, -893.219971, 939.086731, -72.018845
1.510070, 327.744995, -1045.949951, 1096.096802, -72.601784
1.243090, 371.825989, -1229.800049, 1284.781250, -73.177475
1.022730, 423.980988, -1449.640015, 1510.369507, -73.697220
0.845865, 482.540009, -1700.359985, 1767.503662, -74.156746
0.694444, 555.489014, -2010.689941, 2086.010986, -74.556236
0.573980, 621.846008, -2370.439941, 2450.648438, -75.300613
0.472689, 721.781982, -2802.010010, 2893.480469, -75.554962
0.390625, 837.916992, -3333.280029, 3436.984375, -75.889397
0.321429, 988.182007, -3943.360107, 4065.291260, -75.931725
0.264085, 1186.689941, -4623.520020, 4773.381348, -75.604988
0.218023, 1372.479980, -5545.220215, 5712.544922, -76.098282
0.179426, 1676.199951, -6526.009766, 6737.836914, -75.595016
0.147638, 2037.719971, -7713.779785, 7978.389648, -75.202423
0.121753, 2491.090088, -9092.179688, 9427.261719, -74.678009
0.100446, 3070.010010, -10695.299805, 11127.192383, -73.984245
