Freq (Hz),	Z'(Ohm.cm^2),	Z''(Ohm.cm^2),	MOD(Ohm.cm^2),	Angle(Degree)
1028.569946, 3339.370117, -66.551201, 3340.033203, -1.141712
800.000000, 3378.409912, -96.560204, 3379.789551, -1.637157
635.294006, 3389.919922, -93.427002, 3391.207275, -1.578686
502.325989, 3399.250000, -95.307999, 3400.585938, -1.606035
392.726990, 3412.409912, -103.071999, 3413.966064, -1.730096
308.571014, 3430.850098, -113.174004, 3432.716309, -1.889340
242.697006, 3447.870117, -129.360992, 3450.296143, -2.148678
192.856995, 3470.489990, -152.158997, 3473.823975, -2.510449
152.113007, 3496.449951, -179.554993, 3501.057373, -2.939757
120.000000, 3527.300049, -216.192993, 3533.919189, -3.507349
94.736801, 3571.540039, -263.433014, 3581.242188, -4.218437
75.000000, 3623.840088, -320.915985, 3638.021973, -5.060734
59.340698, 3640.000000, -360.309998, 3657.789307, -5.653080
46.551701, 3693.139893, -440.899994, 3719.364746, -6.807950
36.734699, 3713.870117, -555.304016, 3755.155762, -8.503960
29.032301, 3795.489990, -664.005005, 3853.134766, -9.923232
22.881399, 3872.239990, -797.101990, 3953.430664, -11.631876
18.750000, 3944.830078, -932.431030, 4053.530762, -13.298800
14.516100, 4055.989990, -1138.780029, 4212.822754, -15.682883
11.538500, 4165.479980, -1361.410034, 4382.312012, -18.099024
9.000000, 4307.770020, -1641.540039, 4609.938965, -20.860088
7.031250, 4460.709961, -1985.500000, 4882.637207, -23.994253
5.555560, 4639.439941, -2370.320068, 5209.876953, -27.062786
4.411760, 4843.000000, -2817.679932, 5603.032227, -30.191042
3.461540, 5094.109863, -3376.060059, 6111.279297, -33.533947
2.743900, 5373.189941, -4014.360107, 6707.179199, -36.763748
2.163460, 5704.459961, -4797.459961, 7453.622070, -40.063889
1.704550, 6086.759766, -5745.649902, 8370.252930, -43.348713
1.347310, 6503.290039, -6866.859863, 9457.618164, -46.557644
1.061320, 7011.810059, -8253.950195, 10830.197266, -49.651779
0.839552, 7549.939941, -9906.940430, 12455.884766, -52.689484
0.661765, 8189.569824, -11948.200195, 14485.459961, -55.572365
0.523256, 8738.030273, -14670.099609, 17075.273438, -59.220486
0.413603, 9623.309570, -17746.300781, 20187.601563, -61.530300
0.327035, 10870.299805, -22011.500000, 24549.330078, -63.717701
0.258028, 12172.599609, -26028.099609, 28733.851563, -64.935844
0.203804, 13749.500000, -32977.000000, 35728.578125, -67.366692
0.160944, 15844.400391, -39663.699219, 42711.289063, -68.224838
0.126689, 18399.400391, -48525.699219, 51896.835938, -69.234863
0.100446, 21551.699219, -59073.800781, 62882.347656, -69.956680
