Freq (Hz),	Z'(Ohm.cm^2),	Z''(Ohm.cm^2),	MOD(Ohm.cm^2),	Angle(Degree)
307200.000000, -1.482530, 2.797030, 3.165639, 62.074749
276480.000000, -0.864908, 2.236670, 2.398074, 68.858795
197486.000000, -0.121661, 1.590520, 1.595166, 85.625832
153600.000000, 0.167574, 1.196420, 1.208098, 82.026855
125673.000000, 0.323855, 0.951737, 1.005328, 71.207710
98742.898438, 0.454456, 0.705338, 0.839066, 57.205936
76800.000000, 0.536272, 0.513785, 0.742673, 43.773201
60104.300781, 0.592183, 0.304420, 0.665847, 27.206066
49371.398438, 0.612144, 0.194211, 0.642214, 17.602339
38400.000000, 0.632940, 0.066747, 0.636450, 6.019941
30052.199219, 0.645584, -0.054065, 0.647844, -4.787141
23834.500000, 0.660677, -0.166413, 0.681313, -14.137715
18681.099609, 0.680191, -0.288839, 0.738977, -23.008213
14706.400391, 0.703171, -0.421349, 0.819747, -30.930576
11520.000000, 0.732028, -0.572101, 0.929066, -38.008656
9600.000000, 0.755736, -0.700234, 1.030274, -42.816925
7513.040039, 0.795249, -0.899689, 1.200775, -48.526039
5760.000000, 0.845969, -1.160010, 1.435718, -53.897579
4547.370117, 0.904239, -1.445830, 1.705307, -57.977657
3600.000000, 0.974395, -1.788380, 2.036602, -61.416340
2880.000000, 1.056290, -2.186790, 2.428539, -64.217957
2273.679932, 1.154010, -2.683910, 2.921491, -66.733574
1781.439941, 1.291930, -3.325770, 3.567888, -68.770821
1416.390015, 1.454210, -4.074850, 4.326561, -70.359818
1122.079956, 1.668510, -4.995570, 5.266844, -71.530792
900.000000, 1.924840, -6.080850, 6.378224, -72.435280
720.000000, 2.249040, -7.381760, 7.716772, -73.055321
568.421021, 2.689980, -9.054650, 9.445776, -73.454224
440.816010, 3.308390, -11.284700, 11.759673, -73.660187
354.097992, 3.982620, -13.590400, 14.161929, -73.666954
276.923004, 4.955250, -16.709400, 17.428671, -73.482025
220.408005, 6.104400, -20.203600, 21.105667, -73.188110
174.194000, 7.610610, -24.501600, 25.656380, -72.744324
137.580002, 9.523160, -29.637800, 31.130207, -72.186852
109.091003, 11.867000, -35.640701, 37.564415, -71.584198
87.096802, 14.635600, -42.534500, 44.982048, -71.012283
68.354401, 18.295300, -51.497700, 54.650993, -70.441689
54.545502, 22.504801, -60.094200, 64.169922, -69.469475
42.857101, 27.653200, -71.789803, 76.931625, -68.933472
33.962299, 32.897099, -85.057297, 91.197388, -68.855316
26.865700, 39.842499, -101.281998, 108.836884, -68.526230
21.343901, 47.607601, -119.983002, 129.082932, -68.357506
17.307699, 55.662800, -140.279999, 150.919937, -68.356926
13.636400, 65.767799, -167.345993, 179.805679, -68.544937
10.714300, 77.218399, -200.360001, 214.724976, -68.923416
8.490570, 89.480400, -239.169998, 255.360596, -69.487724
6.716420, 103.101997, -286.674988, 304.651550, -70.218994
5.294120, 118.383003, -345.799011, 365.501678, -71.101563
4.166670, 135.263000, -419.734009, 440.990601, -72.138008
3.308820, 153.367996, -507.742004, 530.399536, -73.192596
2.616280, 174.423004, -618.494995, 642.619202, -74.250916
2.073730, 198.070999, -754.762024, 780.319031, -75.295547
1.642340, 225.514999, -924.481995, 951.590271, -76.291183
1.300580, 258.143005, -1135.089966, 1164.073486, -77.187668
1.032110, 296.630005, -1394.750000, 1425.944214, -77.993454
0.815217, 343.217987, -1721.619995, 1755.498169, -78.725479
0.646552, 386.651001, -2120.379883, 2155.344482, -79.665665
0.511364, 451.330994, -2641.919922, 2680.194092, -80.305496
0.407609, 530.906982, -3248.760010, 3291.854248, -80.718864
0.321429, 623.914978, -4064.189941, 4111.801270, -81.272354
0.254525, 745.651978, -5029.589844, 5084.562012, -81.567162
0.201613, 892.900024, -6227.759766, 6291.443848, -81.840836
0.159574, 1075.770020, -7719.839844, 7794.434570, -82.066841
0.126689, 1299.400024, -9544.750000, 9632.792969, -82.247543
0.100446, 1575.920044, -11819.500000, 11924.097656, -82.405418
