Freq (Hz),	Z'(Ohm.cm^2),	Z''(Ohm.cm^2),	MOD(Ohm.cm^2),	Angle(Degree)
307200.000000, -1.534870, 2.783550, 3.178675, 61.127327
276480.000000, -0.913953, 2.165070, 2.350072, 67.113655
197486.000000, -0.256616, 1.549510, 1.570616, 80.596527
153600.000000, 0.078172, 1.182220, 1.184802, 86.216896
125673.000000, 0.222378, 0.936416, 0.962459, 76.640976
98742.898438, 0.359926, 0.705689, 0.792177, 62.976830
76800.000000, 0.443851, 0.519317, 0.683150, 49.480072
60104.300781, 0.503629, 0.316265, 0.594698, 32.127678
49371.398438, 0.521829, 0.214006, 0.564007, 22.298904
38400.000000, 0.538338, 0.090356, 0.545868, 9.527819
30052.199219, 0.552273, -0.022782, 0.552743, -2.362199
23834.500000, 0.565563, -0.127039, 0.579655, -12.659874
18681.099609, 0.580879, -0.241763, 0.629182, -22.597178
14706.400391, 0.600248, -0.362728, 0.701334, -31.144440
11520.000000, 0.624583, -0.500437, 0.800338, -38.702888
9600.000000, 0.645084, -0.616705, 0.892445, -43.711571
7513.040039, 0.679329, -0.798032, 1.048019, -49.593731
5760.000000, 0.724280, -1.035550, 1.263703, -55.030457
4547.370117, 0.776204, -1.294740, 1.509584, -59.057076
3600.000000, 0.839184, -1.603090, 1.809455, -62.368889
2880.000000, 0.914425, -1.962210, 2.164819, -65.013641
2273.679932, 1.007610, -2.410490, 2.612612, -67.314560
1781.439941, 1.142200, -2.983020, 3.194218, -69.048126
1416.390015, 1.296270, -3.661980, 3.884638, -70.507019
1122.079956, 1.500310, -4.487210, 4.731383, -71.512505
900.000000, 1.748460, -5.442650, 5.716603, -72.190315
720.000000, 2.062700, -6.594720, 6.909780, -72.631340
568.421021, 2.488370, -8.069830, 8.444770, -72.862610
440.816010, 3.077300, -10.000000, 10.462780, -72.895309
354.097992, 3.726330, -12.007300, 12.572223, -72.758873
276.923004, 4.660740, -14.701300, 15.422409, -72.409874
220.408005, 5.753960, -17.688000, 18.600359, -71.980148
174.194000, 7.168450, -21.333900, 22.506042, -71.427032
137.580002, 8.923670, -25.651199, 27.159084, -70.817986
109.091003, 11.018300, -30.664900, 32.584335, -70.235985
87.096802, 13.484400, -36.512600, 38.922989, -69.730400
68.354401, 16.622601, -44.004601, 47.039513, -69.306099
54.545502, 20.151800, -51.194199, 55.017643, -68.513687
42.857101, 24.407700, -61.037300, 65.736504, -68.204430
33.962299, 28.659401, -72.268204, 77.743515, -68.368217
26.865700, 34.257900, -86.070900, 92.638023, -68.296486
21.343901, 40.426102, -102.075996, 109.789703, -68.394493
17.307699, 46.724602, -119.578003, 128.382584, -68.657127
13.636400, 54.496498, -143.162003, 153.183640, -69.160019
10.714300, 63.162498, -172.214996, 183.432571, -69.858711
8.490570, 72.384804, -206.725006, 219.031479, -70.702286
6.716420, 82.578903, -249.472000, 262.784241, -71.684685
5.294120, 94.195297, -303.026001, 317.328705, -72.732208
4.166670, 107.264000, -370.328003, 385.549469, -73.846565
3.308820, 121.595001, -450.778015, 466.889862, -74.904068
2.616280, 138.628998, -552.177979, 569.314087, -75.906685
2.073730, 158.177994, -677.120972, 695.351074, -76.851280
1.642340, 181.369995, -832.731018, 852.253479, -77.712784
1.300580, 209.854996, -1025.770020, 1047.016357, -78.437805
1.032110, 243.559998, -1263.300049, 1286.564575, -79.087463
0.815217, 285.154999, -1562.579956, 1588.385864, -79.657898
0.646552, 324.901001, -1930.500000, 1957.649414, -80.446693
0.511364, 383.806000, -2409.189941, 2439.570313, -80.948326
0.407609, 456.566010, -2966.489990, 3001.418945, -81.250366
0.321429, 543.591980, -3714.810059, 3754.371582, -81.674942
0.254525, 659.211975, -4602.310059, 4649.281250, -81.848709
0.201613, 798.815979, -5702.410156, 5758.088867, -82.025673
0.159574, 981.640015, -7075.750000, 7143.518555, -82.101585
0.126689, 1212.390015, -8756.919922, 8840.449219, -82.117538
0.100446, 1499.260010, -10853.000000, 10956.066406, -82.134811
