Freq (Hz),	Z'(Ohm.cm^2),	Z''(Ohm.cm^2),	MOD(Ohm.cm^2),	Angle(Degree)
307200.000000, 157.526993, -14.128400, 158.159302, -5.125075
276480.000000, 158.444000, -15.674700, 159.217453, -5.649828
197486.000000, 166.218994, -18.030300, 167.194031, -6.190849
153600.000000, 170.662003, -17.791401, 171.586868, -5.951549
125673.000000, 174.063004, -16.892700, 174.880798, -5.543159
98742.898438, 177.147003, -15.778700, 177.848328, -5.089973
76800.000000, 179.813004, -14.614100, 180.405899, -4.646438
60104.300781, 182.436996, -12.915400, 182.893600, -4.049427
49371.398438, 183.710999, -12.445000, 184.132050, -3.875425
38400.000000, 185.194000, -11.469500, 185.548828, -3.543936
30052.199219, 185.085007, -11.930500, 185.469131, -3.688159
23834.500000, 187.613007, -10.354100, 187.898499, -3.158870
18681.099609, 189.057007, -10.379400, 189.341721, -3.142435
14706.400391, 190.906998, -10.410400, 191.190643, -3.121320
11520.000000, 191.996994, -11.240400, 192.325745, -3.350538
9600.000000, 193.751007, -11.382400, 194.085068, -3.362123
7513.040039, 195.276993, -11.533400, 195.617294, -3.380062
5760.000000, 197.477997, -11.566200, 197.816422, -3.351959
4547.370117, 199.457001, -11.395300, 199.782257, -3.269845
3600.000000, 201.876007, -11.143800, 202.183350, -3.159590
2880.000000, 203.322998, -11.171000, 203.629639, -3.144791
2273.679932, 204.845993, -10.623100, 205.121262, -2.968640
1781.439941, 206.406006, -10.453800, 206.670563, -2.899370
1416.390015, 207.177002, -10.679800, 207.452087, -2.950937
1122.079956, 207.841995, -11.419800, 208.155487, -3.144933
900.000000, 209.811005, -11.871100, 210.146576, -3.238341
720.000000, 210.727005, -13.112200, 211.134552, -3.560561
568.421021, 211.636002, -14.815600, 212.153961, -4.004464
440.816010, 212.748001, -17.292900, 213.449661, -4.646985
354.097992, 213.664993, -19.983299, 214.597443, -5.343121
276.923004, 215.100006, -23.836901, 216.416748, -6.323588
220.408005, 216.667007, -28.314600, 218.509293, -7.445367
174.194000, 218.503998, -34.045101, 221.140381, -8.856047
137.580002, 220.539993, -41.203400, 224.355988, -10.582544
109.091003, 223.022995, -49.861599, 228.528839, -12.602461
87.096802, 226.125000, -60.525398, 234.085114, -14.984723
68.354401, 230.772003, -74.975304, 242.645859, -17.998415
54.545502, 232.261993, -87.885597, 248.333466, -20.726137
42.857101, 236.878006, -108.013000, 260.342072, -24.512314
33.962299, 240.740997, -132.757996, 274.919830, -28.874788
26.865700, 248.479004, -162.679001, 296.995422, -33.212734
21.343901, 257.067993, -198.537994, 324.809631, -37.679520
17.307699, 266.463013, -238.251007, 357.443817, -41.800671
13.636400, 279.670990, -293.084991, 405.110687, -46.341629
10.714300, 296.615997, -361.322998, 467.477661, -50.616867
8.490570, 317.709991, -441.716003, 544.107239, -54.273926
6.716420, 345.109985, -540.333008, 641.140137, -57.433681
5.294120, 380.489014, -660.562988, 762.309265, -60.057747
4.166670, 426.087006, -806.789001, 912.391724, -62.160255
3.308820, 480.571991, -975.169006, 1087.154053, -63.765522
2.616280, 548.348999, -1178.500000, 1299.826538, -65.047714
2.073730, 628.296021, -1418.810059, 1551.701538, -66.114662
1.642340, 722.106018, -1706.699951, 1853.176147, -67.066742
1.300580, 831.203979, -2051.399902, 2213.400391, -67.942772
1.032110, 955.124023, -2465.739990, 2644.264648, -68.825722
0.815217, 1094.359985, -2975.040039, 3169.934814, -69.804108
0.646552, 1251.189941, -3591.189941, 3802.909424, -70.791405
0.511364, 1396.420044, -4368.660156, 4586.412598, -72.273781
0.407609, 1604.829956, -5279.899902, 5518.407715, -73.093307
0.321429, 1863.949951, -6537.759766, 6798.280273, -74.086861
0.254525, 2175.959961, -7959.950195, 8252.005859, -74.710968
0.201613, 2544.669922, -9716.780273, 10044.458984, -75.324730
0.159574, 2996.590088, -11876.799805, 12248.997070, -75.839462
0.126689, 3562.810059, -14304.000000, 14741.032227, -76.013489
0.100446, 4126.270020, -17831.500000, 18302.691406, -76.970886
