Freq (Hz),	Z'(Ohm.cm^2),	Z''(Ohm.cm^2),	MOD(Ohm.cm^2),	Angle(Degree)
307200.000000, -0.259841, 4.067990, 4.076280, 86.345207
276480.000000, 0.313027, 3.045600, 3.061644, 84.131744
197486.000000, 1.298170, 2.143710, 2.506140, 58.802090
153600.000000, 1.619550, 1.603880, 2.279336, 44.721474
125673.000000, 1.831460, 1.250180, 2.217475, 34.317989
98742.898438, 2.000770, 0.960321, 2.219301, 25.639875
76800.000000, 2.104880, 0.707244, 2.220521, 18.572453
60104.300781, 2.183050, 0.475584, 2.234253, 12.290031
49371.398438, 2.198970, 0.344165, 2.225740, 8.895307
38400.000000, 2.213940, 0.197477, 2.222730, 5.097127
30052.199219, 2.224340, 0.069911, 2.225438, 1.800214
23834.500000, 2.235340, -0.049381, 2.235886, -1.265513
18681.099609, 2.246640, -0.173758, 2.253349, -4.422524
14706.400391, 2.263600, -0.300265, 2.283428, -7.556133
11520.000000, 2.288850, -0.441411, 2.331025, -10.915639
9600.000000, 2.308750, -0.556648, 2.374907, -13.555509
7513.040039, 2.339840, -0.737921, 2.453442, -17.503839
5760.000000, 2.381280, -0.967024, 2.570142, -22.101789
4547.370117, 2.429940, -1.216250, 2.717328, -26.589191
3600.000000, 2.488760, -1.513170, 2.912664, -31.299667
2880.000000, 2.556790, -1.858960, 3.161156, -36.019699
2273.679932, 2.626340, -2.282110, 3.479323, -40.988411
1781.439941, 2.742790, -2.841280, 3.949148, -46.010456
1416.390015, 2.892350, -3.488380, 4.531499, -50.336571
1122.079956, 3.078330, -4.288280, 5.278775, -54.327423
900.000000, 3.315060, -5.214780, 6.179284, -57.555691
720.000000, 3.609950, -6.327540, 7.284882, -60.294643
568.421021, 4.021190, -7.748310, 8.729621, -62.571754
440.816010, 4.591620, -9.596640, 10.638536, -64.430702
354.097992, 5.210270, -11.497200, 12.622699, -65.621040
276.923004, 6.065180, -14.020400, 15.276060, -66.606850
220.408005, 7.016700, -16.809900, 18.215565, -67.343636
174.194000, 8.152670, -20.213699, 21.795864, -68.034599
137.580002, 9.448710, -24.312099, 26.083641, -68.761772
109.091003, 10.872500, -29.192301, 31.151270, -69.572456
87.096802, 12.432900, -35.077499, 37.215694, -70.483597
68.354401, 14.299500, -42.921902, 45.241192, -71.574425
54.545502, 16.408600, -50.888100, 53.468128, -72.128357
42.857101, 18.843901, -62.151100, 64.944992, -73.132957
33.962299, 21.047001, -75.458298, 78.338570, -74.415031
26.865700, 24.291000, -92.444901, 95.583015, -75.277649
21.343901, 27.923901, -112.851997, 116.255394, -76.101990
17.307699, 31.738400, -135.751007, 139.411850, -76.840691
13.636400, 36.582199, -167.376999, 171.328094, -77.671219
10.714300, 42.277199, -207.238007, 211.506393, -78.469696
8.490570, 48.557800, -255.179001, 259.757935, -79.226036
6.716420, 55.977699, -315.407013, 320.335907, -79.936058
5.294120, 64.887497, -391.433014, 396.774719, -80.587730
4.166670, 75.313599, -487.394012, 493.178528, -81.215958
3.308820, 87.318703, -602.908997, 609.199341, -81.759186
2.616280, 102.426003, -749.408020, 756.375183, -82.217300
2.073730, 120.601997, -930.911987, 938.691650, -82.618286
1.642340, 143.218994, -1157.859985, 1166.683960, -82.948738
1.300580, 172.554993, -1441.000000, 1451.294678, -83.171539
1.032110, 209.059998, -1791.020020, 1803.180176, -83.342178
0.815217, 257.118988, -2234.280029, 2249.025879, -83.435318
0.646552, 317.934998, -2775.449951, 2793.600830, -83.465080
0.511364, 389.149994, -3458.189941, 3480.016602, -83.579506
0.407609, 489.471008, -4278.779785, 4306.685059, -83.474060
0.321429, 623.349976, -5365.819824, 5401.905762, -83.373627
0.254525, 808.767029, -6670.810059, 6719.658691, -83.087212
0.201613, 1053.819946, -8289.139648, 8355.858398, -82.754730
0.159574, 1385.329956, -10299.500000, 10392.249023, -82.339424
0.126689, 1845.939941, -12669.900391, 12803.666016, -81.710632
0.100446, 2391.550049, -15805.000000, 15984.916016, -81.395493
