Freq (Hz),	Z'(Ohm.cm^2),	Z''(Ohm.cm^2),	MOD(Ohm.cm^2),	Angle(Degree)
307200.000000, -1.370350, 3.564260, 3.818613, 68.969772
276480.000000, -0.672503, 2.571840, 2.658312, 75.346001
197486.000000, 0.221765, 1.804330, 1.817907, 82.993080
153600.000000, 0.581087, 1.356100, 1.475354, 66.804932
125673.000000, 0.791106, 1.066830, 1.328147, 53.441284
98742.898438, 0.944410, 0.809409, 1.243806, 40.598316
76800.000000, 1.060390, 0.596447, 1.216625, 29.356833
60104.300781, 0.597488, 0.328673, 0.681922, 28.814817
49371.398438, 0.613323, 0.228802, 0.654611, 20.458181
38400.000000, 0.625935, 0.108118, 0.635204, 9.800021
30052.199219, 0.635969, 0.000022, 0.635969, 0.001942
23834.500000, 0.646893, -0.099796, 0.654545, -8.769868
18681.099609, 0.660104, -0.209630, 0.692591, -17.618349
14706.400391, 0.675697, -0.325183, 0.749874, -25.699448
11520.000000, 0.695701, -0.456336, 0.832011, -33.262344
9600.000000, 0.713163, -0.567579, 0.911453, -38.514931
7513.040039, 0.742830, -0.740159, 1.048633, -44.896805
5760.000000, 0.784613, -0.967875, 1.245953, -50.969860
4547.370117, 0.832098, -1.214780, 1.472439, -55.589699
3600.000000, 0.889963, -1.509390, 1.752225, -59.475651
2880.000000, 0.963703, -1.851780, 2.087538, -62.506641
2273.679932, 1.055800, -2.276020, 2.508980, -65.114365
1781.439941, 1.188000, -2.827020, 3.066494, -67.206375
1416.390015, 1.350140, -3.460010, 3.714101, -68.683640
1122.079956, 1.562950, -4.234590, 4.513819, -69.741341
900.000000, 1.829210, -5.132440, 5.448665, -70.383842
720.000000, 2.166990, -6.199320, 6.567146, -70.732788
568.421021, 2.624630, -7.550960, 7.994103, -70.833115
440.816010, 3.260900, -9.293200, 9.848707, -70.664482
354.097992, 3.949650, -11.071100, 11.754531, -70.365982
276.923004, 4.919430, -13.418600, 14.291943, -69.866417
220.408005, 6.021610, -15.991400, 17.087559, -69.365974
174.194000, 7.387780, -19.087000, 20.466871, -68.840668
137.580002, 9.014740, -22.734100, 24.456182, -68.370216
109.091003, 10.875900, -26.965599, 29.076258, -68.034546
87.096802, 12.994200, -31.937799, 34.480026, -67.860588
68.354401, 15.617600, -38.370701, 41.427288, -67.852745
54.545502, 18.499800, -44.614201, 48.297718, -67.478088
42.857101, 21.987400, -53.269798, 57.629135, -67.571342
33.962299, 25.470699, -63.235901, 68.172836, -68.060989
26.865700, 30.094900, -75.535599, 81.310081, -68.276672
21.343901, 35.208302, -89.866203, 96.517143, -68.605461
17.307699, 40.443600, -105.579002, 113.060204, -69.039932
13.636400, 46.869598, -126.806999, 135.191620, -69.715004
10.714300, 54.039700, -153.074005, 162.332809, -70.555443
8.490570, 61.568699, -184.237000, 194.252350, -71.521301
6.716420, 69.834503, -223.005005, 233.683746, -72.611938
5.294120, 79.036003, -271.615997, 282.881500, -73.775826
4.166670, 88.947197, -332.802002, 344.483337, -75.036446
3.308820, 99.414299, -406.471985, 418.452698, -76.256500
2.616280, 111.380997, -500.053009, 512.307251, -77.443031
2.073730, 124.660004, -616.270020, 628.751831, -78.564423
1.642340, 140.281998, -762.239990, 775.041199, -79.572021
1.300580, 159.774994, -945.208984, 958.617798, -80.405602
1.032110, 183.162994, -1171.989990, 1186.216309, -81.117455
0.815217, 213.651001, -1460.310059, 1475.856445, -81.676384
0.646552, 247.522995, -1794.819946, 1811.807495, -82.147865
0.511364, 294.959991, -2247.860107, 2267.129639, -82.524467
0.407609, 358.605011, -2782.110107, 2805.126465, -82.655243
0.321429, 439.863007, -3495.239990, 3522.808838, -82.827255
0.254525, 554.112000, -4346.819824, 4381.995117, -82.735397
0.201613, 703.705017, -5403.439941, 5449.069824, -82.580002
0.159574, 893.403992, -6715.669922, 6774.834961, -82.422310
0.126689, 1172.010010, -8335.639648, 8417.629883, -81.996559
0.100446, 1530.780029, -10337.299805, 10450.026367, -81.576683
