Freq (Hz),	Z'(Ohm.cm^2),	Z''(Ohm.cm^2),	MOD(Ohm.cm^2),	Angle(Degree)
307200.000000, -1.740340, 3.193760, 3.637154, 61.413204
276480.000000, -1.163230, 2.295220, 2.573157, 63.123859
197486.000000, -0.219209, 1.582990, 1.598096, 82.115936
153600.000000, 0.119270, 1.169330, 1.175397, 84.176071
125673.000000, 0.326048, 0.900126, 0.957358, 70.088356
98742.898438, 0.509805, 0.668426, 0.840651, 52.667419
76800.000000, 0.617848, 0.475515, 0.779648, 37.583000
60104.300781, 0.695386, 0.284051, 0.751164, 22.219013
49371.398438, 0.713418, 0.171421, 0.733724, 13.510972
38400.000000, 0.733973, 0.042253, 0.735188, 3.294739
30052.199219, 0.750331, -0.081731, 0.754769, -6.216555
23834.500000, 0.768427, -0.197599, 0.793426, -14.421016
18681.099609, 0.789040, -0.325597, 0.853579, -22.423468
14706.400391, 0.813442, -0.463766, 0.936358, -29.688671
11520.000000, 0.843009, -0.623224, 1.048367, -36.474968
9600.000000, 0.868189, -0.758364, 1.152765, -41.137245
7513.040039, 0.908137, -0.971114, 1.329577, -46.919361
5760.000000, 0.961410, -1.251230, 1.577937, -52.462337
4547.370117, 1.020750, -1.559080, 1.863508, -56.786709
3600.000000, 1.088120, -1.927900, 2.213776, -60.559315
2880.000000, 1.172870, -2.358910, 2.634403, -63.563046
2273.679932, 1.269390, -2.893700, 3.159881, -66.314201
1781.439941, 1.410910, -3.600970, 3.867512, -68.604065
1416.390015, 1.576230, -4.415890, 4.688772, -70.356239
1122.079956, 1.803230, -5.432370, 5.723835, -71.636856
900.000000, 2.073330, -6.620940, 6.937979, -72.612183
720.000000, 2.418550, -8.051590, 8.406990, -73.280708
568.421021, 2.894980, -9.898130, 10.312802, -73.696999
440.816010, 3.578560, -12.361600, 12.869159, -73.854805
354.097992, 4.330850, -14.908000, 15.524327, -73.801147
276.923004, 5.431620, -18.339300, 19.126747, -73.502083
220.408005, 6.744850, -22.164301, 23.167850, -73.074387
174.194000, 8.468650, -26.846800, 28.150820, -72.492462
137.580002, 10.644100, -32.405602, 34.108940, -71.816467
109.091003, 13.293900, -38.868999, 41.079517, -71.118393
87.096802, 16.399799, -46.275200, 49.095291, -70.485817
68.354401, 20.459900, -55.862202, 59.491119, -69.884407
54.545502, 25.058100, -65.027802, 69.688759, -68.926117
42.857101, 30.633900, -77.509003, 83.343155, -68.434570
33.962299, 36.242500, -91.719002, 98.619949, -68.438683
26.865700, 43.628502, -109.172997, 117.567810, -68.217003
21.343901, 51.856602, -129.417007, 139.419754, -68.164330
17.307699, 60.484699, -151.492996, 163.121201, -68.235283
13.636400, 71.433701, -181.076004, 194.656860, -68.470978
10.714300, 84.189003, -217.205994, 232.951126, -68.813683
8.490570, 98.237999, -259.484985, 277.458405, -69.263908
6.716420, 114.249001, -310.924988, 331.250946, -69.824203
5.294120, 132.733002, -374.247986, 397.088928, -70.472130
4.166670, 153.417007, -452.553986, 477.851318, -71.273201
3.308820, 175.537994, -544.781006, 572.363464, -72.140144
2.616280, 200.544998, -659.801025, 689.605469, -73.093468
2.073730, 227.384003, -800.715027, 832.374939, -74.146721
1.642340, 256.756989, -975.630981, 1008.850830, -75.255775
1.300580, 289.337006, -1193.520020, 1228.090332, -76.373062
1.032110, 324.734985, -1463.400024, 1498.997192, -77.488541
0.815217, 365.513000, -1806.219971, 1842.832153, -78.559914
0.646552, 404.019989, -2212.100098, 2248.692627, -79.649551
0.511364, 456.181000, -2755.389893, 2792.897217, -80.599411
0.407609, 521.208984, -3399.010010, 3438.739258, -81.282104
0.321429, 598.755005, -4266.410156, 4308.220703, -82.011169
0.254525, 702.726990, -5299.399902, 5345.789551, -82.446358
0.201613, 825.609009, -6587.390137, 6638.926270, -82.856255
0.159574, 980.888000, -8202.419922, 8260.861328, -83.180679
0.126689, 1173.699951, -10177.799805, 10245.251953, -83.421715
0.100446, 1408.770020, -12658.700195, 12736.849609, -83.649734
