June 11, 2026   18:55:10
A.C. Impedance
File: e:\chi_data\Data Source:  Experiment
Instrument Model:  CHI660E
Header: 
Note: 

Init E (V) = 0
High Frequency (Hz) = 1e+6
Low Frequency (Hz) = 0.1
Imp SF
Amplitude (V) = 0.005
Quiet Time (sec) = 2
Cycles (.1-1Hz) = 1

Freq/Hz, Z'/ohm, Z"/ohm, Z/ohm, Phase/deg

8.252e+5, 1.893e+2, -5.699e+1, 1.977e+2, -16.8
6.816e+5, 1.967e+2, -5.747e+1, 2.049e+2, -16.3
5.625e+5, 2.029e+2, -5.046e+1, 2.091e+2, -14.0
4.639e+5, 2.101e+2, -4.751e+1, 2.154e+2, -12.7
3.828e+5, 2.162e+2, -4.180e+1, 2.202e+2, -10.9
3.164e+5, 2.214e+2, -3.731e+1, 2.246e+2, -9.6
2.607e+5, 2.255e+2, -3.232e+1, 2.278e+2, -8.2
2.158e+5, 2.287e+2, -2.833e+1, 2.304e+2, -7.1
1.777e+5, 2.313e+2, -2.512e+1, 2.326e+2, -6.2
1.465e+5, 2.335e+2, -2.252e+1, 2.346e+2, -5.5
1.211e+5, 2.351e+2, -1.840e+1, 2.358e+2, -4.5
9.961e+4, 2.364e+2, -1.356e+1, 2.368e+2, -3.3
8.252e+4, 2.375e+2, -9.916e+0, 2.377e+2, -2.4
6.812e+4, 2.385e+2, -7.660e+0, 2.386e+2, -1.8
5.625e+4, 2.392e+2, -6.535e+0, 2.393e+2, -1.6
4.644e+4, 2.397e+2, -6.082e+0, 2.398e+2, -1.5
3.833e+4, 2.403e+2, -5.861e+0, 2.404e+2, -1.4
3.164e+4, 2.411e+2, -5.566e+0, 2.412e+2, -1.3
2.612e+4, 2.420e+2, -5.258e+0, 2.421e+2, -1.2
2.153e+4, 2.428e+2, -4.859e+0, 2.428e+2, -1.1
1.777e+4, 2.433e+2, -4.471e+0, 2.433e+2, -1.1
1.470e+4, 2.436e+2, -4.126e+0, 2.436e+2, -1.0
1.211e+4, 2.440e+2, -3.922e+0, 2.440e+2, -0.9
