June 11, 2026   13:35:22
A.C. Impedance
File: e:\chi_data\Data Source:  Experiment
Instrument Model:  CHI660E
Header: 
Note: 

Init E (V) = 0
High Frequency (Hz) = 1e+6
Low Frequency (Hz) = 0.1
Imp SF
Amplitude (V) = 0.005
Quiet Time (sec) = 2
Cycles (.1-1Hz) = 1

Freq/Hz, Z'/ohm, Z"/ohm, Z/ohm, Phase/deg

8.252e+5, 4.651e+0, 1.358e+1, 1.436e+1, 71.1
6.816e+5, 4.092e+0, 1.106e+1, 1.179e+1, 69.7
5.625e+5, 3.464e+0, 9.219e+0, 9.848e+0, 69.4
4.639e+5, 3.245e+0, 7.568e+0, 8.235e+0, 66.8
3.828e+5, 3.045e+0, 6.307e+0, 7.004e+0, 64.2
3.164e+5, 2.956e+0, 5.209e+0, 5.989e+0, 60.4
2.607e+5, 2.856e+0, 4.324e+0, 5.182e+0, 56.6
2.158e+5, 2.783e+0, 3.563e+0, 4.521e+0, 52.0
1.777e+5, 2.722e+0, 2.923e+0, 3.995e+0, 47.0
1.465e+5, 2.683e+0, 2.385e+0, 3.590e+0, 41.6
1.211e+5, 2.643e+0, 1.951e+0, 3.285e+0, 36.4
9.961e+4, 2.620e+0, 1.589e+0, 3.064e+0, 31.2
8.252e+4, 2.607e+0, 1.287e+0, 2.907e+0, 26.3
6.812e+4, 2.602e+0, 1.027e+0, 2.798e+0, 21.5
5.625e+4, 2.602e+0, 8.013e-1, 2.722e+0, 17.1
4.644e+4, 2.604e+0, 6.021e-1, 2.672e+0, 13.0
3.833e+4, 2.609e+0, 4.246e-1, 2.643e+0, 9.2
3.164e+4, 2.617e+0, 2.652e-1, 2.631e+0, 5.8
2.612e+4, 2.628e+0, 1.204e-1, 2.630e+0, 2.6
2.153e+4, 2.642e+0, -1.644e-2, 2.642e+0, -0.4
1.777e+4, 2.661e+0, -1.474e-1, 2.665e+0, -3.2
1.470e+4, 2.685e+0, -2.781e-1, 2.699e+0, -5.9
1.211e+4, 2.710e+0, -4.120e-1, 2.741e+0, -8.6
1.001e+4, 2.738e+0, -5.552e-1, 2.794e+0, -11.5
8.252e+3, 2.770e+0, -7.125e-1, 2.860e+0, -14.4
6.812e+3, 2.809e+0, -8.859e-1, 2.945e+0, -17.5
5.625e+3, 2.855e+0, -1.080e+0, 3.052e+0, -20.7
4.643e+3, 2.909e+0, -1.300e+0, 3.186e+0, -24.1
3.833e+3, 2.972e+0, -1.553e+0, 3.353e+0, -27.6
3.164e+3, 3.045e+0, -1.846e+0, 3.561e+0, -31.2
2.612e+3, 3.130e+0, -2.186e+0, 3.818e+0, -34.9
