June 12, 2026   15:38:19
A.C. Impedance
File: e:\chi_data\Data Source:  Experiment
Instrument Model:  CHI660E
Header: 
Note: 

Init E (V) = 0
High Frequency (Hz) = 1e+6
Low Frequency (Hz) = 0.1
Imp SF
Amplitude (V) = 0.005
Quiet Time (sec) = 2
Cycles (.1-1Hz) = 1

Freq/Hz, Z'/ohm, Z"/ohm, Z/ohm, Phase/deg

8.252e+5, 1.427e+2, -1.721e+2, 2.236e+2, -50.3
6.816e+5, 1.693e+2, -1.932e+2, 2.569e+2, -48.8
5.625e+5, 1.949e+2, -1.636e+2, 2.545e+2, -40.0
4.639e+5, 2.308e+2, -1.844e+2, 2.954e+2, -38.6
3.828e+5, 2.687e+2, -1.899e+2, 3.290e+2, -35.3
3.164e+5, 3.094e+2, -2.052e+2, 3.713e+2, -33.6
2.607e+5, 3.496e+2, -2.083e+2, 4.069e+2, -30.8
2.158e+5, 3.878e+2, -2.084e+2, 4.402e+2, -28.3
1.777e+5, 4.225e+2, -2.010e+2, 4.679e+2, -25.4
1.465e+5, 4.542e+2, -1.903e+2, 4.925e+2, -22.7
1.211e+5, 4.816e+2, -1.752e+2, 5.125e+2, -20.0
9.961e+4, 5.057e+2, -1.593e+2, 5.302e+2, -17.5
8.252e+4, 5.265e+2, -1.428e+2, 5.455e+2, -15.2
6.812e+4, 5.442e+2, -1.267e+2, 5.588e+2, -13.1
5.625e+4, 5.592e+2, -1.112e+2, 5.702e+2, -11.2
4.644e+4, 5.703e+2, -9.805e+1, 5.787e+2, -9.8
3.833e+4, 5.789e+2, -8.665e+1, 5.853e+2, -8.5
3.164e+4, 5.861e+2, -7.666e+1, 5.911e+2, -7.5
2.612e+4, 5.925e+2, -6.786e+1, 5.964e+2, -6.5
2.153e+4, 5.981e+2, -6.031e+1, 6.011e+2, -5.8
1.777e+4, 6.034e+2, -5.499e+1, 6.059e+2, -5.2
1.470e+4, 6.080e+2, -5.023e+1, 6.101e+2, -4.7
1.211e+4, 6.112e+2, -4.634e+1, 6.130e+2, -4.3
1.001e+4, 6.144e+2, -4.222e+1, 6.159e+2, -3.9
8.252e+3, 6.180e+2, -3.782e+1, 6.192e+2, -3.5
6.812e+3, 6.218e+2, -3.590e+1, 6.228e+2, -3.3
5.625e+3, 6.258e+2, -3.605e+1, 6.268e+2, -3.3
4.643e+3, 6.301e+2, -3.821e+1, 6.313e+2, -3.5
3.833e+3, 6.346e+2, -4.121e+1, 6.360e+2, -3.7
3.164e+3, 6.395e+2, -4.470e+1, 6.411e+2, -4.0
2.612e+3, 6.449e+2, -4.874e+1, 6.468e+2, -4.3
2.153e+3, 6.510e+2, -5.343e+1, 6.532e+2, -4.7
1.777e+3, 6.579e+2, -5.865e+1, 6.605e+2, -5.1
1.470e+3, 6.656e+2, -6.422e+1, 6.687e+2, -5.5
1.211e+3, 6.740e+2, -7.001e+1, 6.776e+2, -5.9
1.001e+3, 6.831e+2, -7.548e+1, 6.873e+2, -6.3
8.252e+2, 6.927e+2, -8.110e+1, 6.975e+2, -6.7
6.836e+2, 7.030e+2, -8.769e+1, 7.085e+2, -7.1
