June 12, 2026   09:34:42
A.C. Impedance
File: e:\chi_data\Data Source:  Experiment
Instrument Model:  CHI660E
Header: 
Note: 

Init E (V) = 0
High Frequency (Hz) = 1e+6
Low Frequency (Hz) = 0.1
Imp SF
Amplitude (V) = 0.005
Quiet Time (sec) = 2
Cycles (.1-1Hz) = 1

Freq/Hz, Z'/ohm, Z"/ohm, Z/ohm, Phase/deg

8.252e+5, 3.369e+0, 1.421e+1, 1.460e+1, 76.7
6.816e+5, 2.783e+0, 1.161e+1, 1.194e+1, 76.5
5.625e+5, 2.167e+0, 9.662e+0, 9.902e+0, 77.4
4.639e+5, 1.886e+0, 7.952e+0, 8.172e+0, 76.7
3.828e+5, 1.673e+0, 6.622e+0, 6.830e+0, 75.8
3.164e+5, 1.562e+0, 5.478e+0, 5.696e+0, 74.1
2.607e+5, 1.459e+0, 4.545e+0, 4.773e+0, 72.2
2.158e+5, 1.387e+0, 3.750e+0, 3.999e+0, 69.7
1.777e+5, 1.332e+0, 3.087e+0, 3.362e+0, 66.7
1.465e+5, 1.290e+0, 2.528e+0, 2.838e+0, 63.0
1.211e+5, 1.247e+0, 1.933e+0, 2.300e+0, 57.2
9.961e+4, 1.216e+0, 1.353e+0, 1.819e+0, 48.0
8.252e+4, 1.196e+0, 9.512e-1, 1.528e+0, 38.5
6.812e+4, 1.187e+0, 6.897e-1, 1.373e+0, 30.2
5.625e+4, 1.185e+0, 5.261e-1, 1.296e+0, 23.9
4.644e+4, 1.187e+0, 3.939e-1, 1.251e+0, 18.4
3.833e+4, 1.192e+0, 2.753e-1, 1.223e+0, 13.0
3.164e+4, 1.200e+0, 1.583e-1, 1.210e+0, 7.5
2.612e+4, 1.208e+0, 4.309e-2, 1.209e+0, 2.0
2.153e+4, 1.219e+0, -6.986e-2, 1.221e+0, -3.3
1.777e+4, 1.232e+0, -1.802e-1, 1.245e+0, -8.3
1.470e+4, 1.249e+0, -2.915e-1, 1.283e+0, -13.1
1.211e+4, 1.269e+0, -4.078e-1, 1.333e+0, -17.8
1.001e+4, 1.290e+0, -5.357e-1, 1.397e+0, -22.5
8.252e+3, 1.315e+0, -6.791e-1, 1.480e+0, -27.3
6.812e+3, 1.343e+0, -8.400e-1, 1.584e+0, -32.0
5.625e+3, 1.377e+0, -1.023e+0, 1.715e+0, -36.6
4.643e+3, 1.416e+0, -1.232e+0, 1.877e+0, -41.0
3.833e+3, 1.462e+0, -1.475e+0, 2.077e+0, -45.2
3.164e+3, 1.519e+0, -1.758e+0, 2.323e+0, -49.2
2.612e+3, 1.594e+0, -2.096e+0, 2.634e+0, -52.7
2.153e+3, 1.688e+0, -2.500e+0, 3.016e+0, -56.0
1.777e+3, 1.794e+0, -2.972e+0, 3.472e+0, -58.9
1.470e+3, 1.916e+0, -3.527e+0, 4.014e+0, -61.5
1.211e+3, 2.060e+0, -4.177e+0, 4.657e+0, -63.7
1.001e+3, 2.233e+0, -4.940e+0, 5.421e+0, -65.7
8.252e+2, 2.442e+0, -5.831e+0, 6.322e+0, -67.3
6.836e+2, 2.694e+0, -6.887e+0, 7.395e+0, -68.6
5.615e+2, 3.000e+0, -8.137e+0, 8.672e+0, -69.8
4.639e+2, 3.368e+0, -9.614e+0, 1.019e+1, -70.7
3.809e+2, 3.802e+0, -1.132e+1, 1.194e+1, -71.4
3.174e+2, 4.323e+0, -1.333e+1, 1.401e+1, -72.0
2.588e+2, 4.944e+0, -1.568e+1, 1.644e+1, -72.5
2.148e+2, 5.679e+0, -1.844e+1, 1.930e+1, -72.9
1.758e+2, 6.551e+0, -2.167e+1, 2.264e+1, -73.2
1.465e+2, 7.545e+0, -2.535e+1, 2.645e+1, -73.4
1.221e+2, 8.741e+0, -2.984e+1, 3.109e+1, -73.7
9.766e+1, 1.020e+1, -3.500e+1, 3.646e+1, -73.8
8.254e+1, 1.186e+1, -4.083e+1, 4.252e+1, -73.8
6.813e+1, 1.365e+1, -4.776e+1, 4.968e+1, -74.0
5.623e+1, 1.560e+1, -5.594e+1, 5.807e+1, -74.4
4.642e+1, 1.777e+1, -6.566e+1, 6.803e+1, -74.9
3.831e+1, 2.021e+1, -7.726e+1, 7.986e+1, -75.3
3.162e+1, 2.296e+1, -9.102e+1, 9.387e+1, -75.8
2.610e+1, 2.610e+1, -1.073e+2, 1.105e+2, -76.3
2.154e+1, 2.970e+1, -1.267e+2, 1.302e+2, -76.8
1.778e+1, 3.379e+1, -1.499e+2, 1.536e+2, -77.3
1.468e+1, 3.843e+1, -1.773e+2, 1.815e+2, -77.8
1.212e+1, 4.371e+1, -2.100e+2, 2.145e+2, -78.2
1.000e+1, 5.004e+1, -2.489e+2, 2.539e+2, -78.6
8.254e+0, 5.752e+1, -2.953e+2, 3.009e+2, -79.0
6.813e+0, 6.594e+1, -3.508e+2, 3.569e+2, -79.4
5.623e+0, 7.548e+1, -4.169e+2, 4.237e+2, -79.7
4.642e+0, 8.625e+1, -4.958e+2, 5.033e+2, -80.1
3.831e+0, 9.906e+1, -5.899e+2, 5.982e+2, -80.5
3.162e+0, 1.137e+2, -7.029e+2, 7.121e+2, -80.8
2.610e+0, 1.304e+2, -8.383e+2, 8.484e+2, -81.2
2.154e+0, 1.473e+2, -1.002e+3, 1.013e+3, -81.6
1.778e+0, 1.653e+2, -1.200e+3, 1.211e+3, -82.2
1.468e+0, 1.887e+2, -1.436e+3, 1.448e+3, -82.5
1.212e+0, 2.197e+2, -1.720e+3, 1.734e+3, -82.7
1.000e+0, 2.620e+2, -2.047e+3, 2.064e+3, -82.7
8.254e-1, 3.148e+2, -2.424e+3, 2.444e+3, -82.6
6.813e-1, 3.754e+2, -2.875e+3, 2.899e+3, -82.6
