June 13, 2026   05:12:24
A.C. Impedance
File: e:\chi_data\Data Source:  Experiment
Instrument Model:  CHI660E
Header: 
Note: 

Init E (V) = 0
High Frequency (Hz) = 1e+6
Low Frequency (Hz) = 0.1
Imp SF
Amplitude (V) = 0.005
Quiet Time (sec) = 2
Cycles (.1-1Hz) = 1

Freq/Hz, Z'/ohm, Z"/ohm, Z/ohm, Phase/deg

8.252e+5, 1.453e+2, -2.252e+1, 1.470e+2, -8.8
6.816e+5, 1.485e+2, -2.355e+1, 1.504e+2, -9.0
5.625e+5, 1.500e+2, -2.024e+1, 1.514e+2, -7.7
4.639e+5, 1.532e+2, -1.909e+1, 1.544e+2, -7.1
3.828e+5, 1.560e+2, -1.655e+1, 1.569e+2, -6.1
3.164e+5, 1.586e+2, -1.478e+1, 1.593e+2, -5.3
2.607e+5, 1.604e+2, -1.274e+1, 1.609e+2, -4.5
2.158e+5, 1.618e+2, -1.114e+1, 1.622e+2, -3.9
1.777e+5, 1.630e+2, -1.027e+1, 1.633e+2, -3.6
1.465e+5, 1.639e+2, -9.460e+0, 1.642e+2, -3.3
1.211e+5, 1.641e+2, -6.760e+0, 1.642e+2, -2.4
9.961e+4, 1.643e+2, -3.632e+0, 1.643e+2, -1.3
8.252e+4, 1.646e+2, -1.628e+0, 1.646e+2, -0.6
6.812e+4, 1.649e+2, -7.154e-1, 1.649e+2, -0.2
5.625e+4, 1.652e+2, -6.678e-1, 1.652e+2, -0.2
4.644e+4, 1.656e+2, -1.062e+0, 1.656e+2, -0.4
3.833e+4, 1.660e+2, -1.475e+0, 1.660e+2, -0.5
3.164e+4, 1.663e+2, -1.659e+0, 1.663e+2, -0.6
2.612e+4, 1.668e+2, -1.667e+0, 1.668e+2, -0.6
2.153e+4, 1.672e+2, -1.619e+0, 1.672e+2, -0.6
1.777e+4, 1.675e+2, -1.664e+0, 1.675e+2, -0.6
1.470e+4, 1.678e+2, -1.821e+0, 1.678e+2, -0.6
1.211e+4, 1.680e+2, -1.938e+0, 1.680e+2, -0.7
1.001e+4, 1.683e+2, -2.116e+0, 1.683e+2, -0.7
8.252e+3, 1.686e+2, -2.393e+0, 1.686e+2, -0.8
6.812e+3, 1.689e+2, -2.699e+0, 1.689e+2, -0.9
5.625e+3, 1.692e+2, -3.113e+0, 1.692e+2, -1.1
4.643e+3, 1.695e+2, -3.620e+0, 1.696e+2, -1.2
3.833e+3, 1.699e+2, -4.270e+0, 1.700e+2, -1.4
3.164e+3, 1.703e+2, -5.081e+0, 1.704e+2, -1.7
2.612e+3, 1.707e+2, -5.955e+0, 1.708e+2, -2.0
2.153e+3, 1.710e+2, -6.945e+0, 1.712e+2, -2.3
1.777e+3, 1.715e+2, -8.105e+0, 1.717e+2, -2.7
1.470e+3, 1.720e+2, -9.437e+0, 1.723e+2, -3.1
1.211e+3, 1.726e+2, -1.107e+1, 1.730e+2, -3.7
1.001e+3, 1.732e+2, -1.288e+1, 1.736e+2, -4.3
8.252e+2, 1.737e+2, -1.498e+1, 1.743e+2, -4.9
6.836e+2, 1.744e+2, -1.768e+1, 1.753e+2, -5.8
5.615e+2, 1.753e+2, -2.098e+1, 1.765e+2, -6.8
4.639e+2, 1.764e+2, -2.494e+1, 1.781e+2, -8.1
3.809e+2, 1.776e+2, -2.954e+1, 1.800e+2, -9.4
3.174e+2, 1.790e+2, -3.493e+1, 1.824e+2, -11.0
2.588e+2, 1.807e+2, -4.129e+1, 1.853e+2, -12.9
2.148e+2, 1.826e+2, -4.881e+1, 1.890e+2, -15.0
1.758e+2, 1.849e+2, -5.754e+1, 1.936e+2, -17.3
1.465e+2, 1.874e+2, -6.747e+1, 1.992e+2, -19.8
1.221e+2, 1.907e+2, -7.967e+1, 2.067e+2, -22.7
9.766e+1, 1.951e+2, -9.343e+1, 2.163e+2, -25.6
8.254e+1, 2.001e+2, -1.091e+2, 2.279e+2, -28.6
6.813e+1, 2.055e+2, -1.283e+2, 2.422e+2, -32.0
5.623e+1, 2.112e+2, -1.513e+2, 2.598e+2, -35.6
4.642e+1, 2.176e+2, -1.788e+2, 2.817e+2, -39.4
3.831e+1, 2.252e+2, -2.114e+2, 3.089e+2, -43.2
3.162e+1, 2.339e+2, -2.499e+2, 3.423e+2, -46.9
2.610e+1, 2.442e+2, -2.952e+2, 3.831e+2, -50.4
2.154e+1, 2.563e+2, -3.487e+2, 4.327e+2, -53.7
1.778e+1, 2.705e+2, -4.118e+2, 4.927e+2, -56.7
1.468e+1, 2.874e+2, -4.864e+2, 5.649e+2, -59.4
1.212e+1, 3.074e+2, -5.746e+2, 6.516e+2, -61.9
1.000e+1, 3.317e+2, -6.787e+2, 7.554e+2, -64.0
8.254e+0, 3.609e+2, -8.018e+2, 8.793e+2, -65.8
6.813e+0, 3.950e+2, -9.470e+2, 1.026e+3, -67.4
5.623e+0, 4.344e+2, -1.118e+3, 1.199e+3, -68.8
4.642e+0, 4.798e+2, -1.320e+3, 1.405e+3, -70.0
3.831e+0, 5.328e+2, -1.557e+3, 1.646e+3, -71.1
3.162e+0, 5.929e+2, -1.838e+3, 1.932e+3, -72.1
2.610e+0, 6.637e+2, -2.169e+3, 2.268e+3, -73.0
2.154e+0, 7.384e+2, -2.577e+3, 2.680e+3, -74.0
1.778e+0, 8.186e+2, -3.066e+3, 3.173e+3, -75.0
1.468e+0, 9.185e+2, -3.621e+3, 3.735e+3, -75.8
1.212e+0, 1.043e+3, -4.257e+3, 4.383e+3, -76.2
1.000e+0, 1.202e+3, -5.000e+3, 5.142e+3, -76.5
8.254e-1, 1.393e+3, -5.864e+3, 6.028e+3, -76.6
6.813e-1, 1.608e+3, -6.872e+3, 7.058e+3, -76.8
5.623e-1, 1.850e+3, -8.058e+3, 8.268e+3, -77.1
4.642e-1, 2.130e+3, -9.451e+3, 9.688e+3, -77.3
3.831e-1, 2.455e+3, -1.110e+4, 1.137e+4, -77.5
3.162e-1, 2.831e+3, -1.304e+4, 1.335e+4, -77.8
2.610e-1, 3.265e+3, -1.534e+4, 1.568e+4, -78.0
2.154e-1, 3.763e+3, -1.806e+4, 1.845e+4, -78.2
1.778e-1, 4.320e+3, -2.129e+4, 2.173e+4, -78.5
1.468e-1, 4.971e+3, -2.509e+4, 2.557e+4, -78.8
1.212e-1, 5.728e+3, -2.956e+4, 3.011e+4, -79.0
1.000e-1, 6.585e+3, -3.477e+4, 3.539e+4, -79.3
