June 12, 2026   23:41:18
A.C. Impedance
File: e:\chi_data\Data Source:  Experiment
Instrument Model:  CHI660E
Header: 
Note: 

Init E (V) = 0
High Frequency (Hz) = 1e+6
Low Frequency (Hz) = 0.1
Imp SF
Amplitude (V) = 0.005
Quiet Time (sec) = 2
Cycles (.1-1Hz) = 1

Freq/Hz, Z'/ohm, Z"/ohm, Z/ohm, Phase/deg

8.252e+5, 5.983e+0, 1.399e+1, 1.521e+1, 66.8
6.816e+5, 5.367e+0, 1.137e+1, 1.257e+1, 64.7
5.625e+5, 4.789e+0, 9.487e+0, 1.063e+1, 63.2
4.639e+5, 4.518e+0, 7.763e+0, 8.982e+0, 59.8
3.828e+5, 4.328e+0, 6.462e+0, 7.777e+0, 56.2
3.164e+5, 4.224e+0, 5.332e+0, 6.802e+0, 51.6
2.607e+5, 4.130e+0, 4.438e+0, 6.063e+0, 47.1
2.158e+5, 4.056e+0, 3.670e+0, 5.470e+0, 42.1
1.777e+5, 4.003e+0, 3.015e+0, 5.011e+0, 37.0
1.465e+5, 3.966e+0, 2.458e+0, 4.666e+0, 31.8
1.211e+5, 3.928e+0, 2.008e+0, 4.411e+0, 27.1
9.961e+4, 3.902e+0, 1.633e+0, 4.230e+0, 22.7
8.252e+4, 3.883e+0, 1.323e+0, 4.103e+0, 18.8
6.812e+4, 3.877e+0, 1.056e+0, 4.018e+0, 15.2
5.625e+4, 3.873e+0, 8.242e-1, 3.959e+0, 12.0
4.644e+4, 3.872e+0, 6.181e-1, 3.921e+0, 9.1
3.833e+4, 3.877e+0, 4.376e-1, 3.902e+0, 6.4
3.164e+4, 3.885e+0, 2.788e-1, 3.895e+0, 4.1
2.612e+4, 3.901e+0, 1.321e-1, 3.903e+0, 1.9
2.153e+4, 3.918e+0, -6.020e-3, 3.918e+0, -0.1
1.777e+4, 3.934e+0, -1.393e-1, 3.936e+0, -2.0
1.470e+4, 3.950e+0, -2.725e-1, 3.960e+0, -3.9
1.211e+4, 3.970e+0, -4.104e-1, 3.991e+0, -5.9
1.001e+4, 3.994e+0, -5.593e-1, 4.033e+0, -8.0
8.252e+3, 4.023e+0, -7.211e-1, 4.087e+0, -10.2
6.812e+3, 4.058e+0, -9.016e-1, 4.157e+0, -12.5
5.625e+3, 4.098e+0, -1.105e+0, 4.245e+0, -15.1
4.643e+3, 4.145e+0, -1.338e+0, 4.356e+0, -17.9
3.833e+3, 4.200e+0, -1.608e+0, 4.497e+0, -21.0
3.164e+3, 4.264e+0, -1.923e+0, 4.678e+0, -24.3
2.612e+3, 4.338e+0, -2.290e+0, 4.906e+0, -27.8
2.153e+3, 4.427e+0, -2.721e+0, 5.196e+0, -31.6
1.777e+3, 4.532e+0, -3.227e+0, 5.564e+0, -35.5
1.470e+3, 4.656e+0, -3.824e+0, 6.025e+0, -39.4
1.211e+3, 4.804e+0, -4.526e+0, 6.601e+0, -43.3
1.001e+3, 4.987e+0, -5.353e+0, 7.316e+0, -47.0
8.252e+2, 5.207e+0, -6.324e+0, 8.192e+0, -50.5
6.836e+2, 5.472e+0, -7.478e+0, 9.266e+0, -53.8
5.615e+2, 5.790e+0, -8.839e+0, 1.057e+1, -56.8
4.639e+2, 6.171e+0, -1.045e+1, 1.213e+1, -59.4
3.809e+2, 6.618e+0, -1.231e+1, 1.397e+1, -61.7
3.174e+2, 7.148e+0, -1.449e+1, 1.616e+1, -63.7
2.588e+2, 7.768e+0, -1.707e+1, 1.875e+1, -65.5
2.148e+2, 8.512e+0, -2.013e+1, 2.185e+1, -67.1
1.758e+2, 9.380e+0, -2.372e+1, 2.551e+1, -68.4
1.465e+2, 1.035e+1, -2.780e+1, 2.966e+1, -69.6
1.221e+2, 1.152e+1, -3.284e+1, 3.480e+1, -70.7
9.766e+1, 1.297e+1, -3.868e+1, 4.079e+1, -71.5
8.254e+1, 1.463e+1, -4.530e+1, 4.761e+1, -72.1
6.813e+1, 1.648e+1, -5.324e+1, 5.573e+1, -72.8
5.623e+1, 1.853e+1, -6.262e+1, 6.531e+1, -73.5
4.642e+1, 2.089e+1, -7.380e+1, 7.670e+1, -74.2
3.831e+1, 2.365e+1, -8.708e+1, 9.023e+1, -74.8
3.162e+1, 2.683e+1, -1.028e+2, 1.062e+2, -75.4
2.610e+1, 3.050e+1, -1.213e+2, 1.250e+2, -75.9
2.154e+1, 3.472e+1, -1.433e+2, 1.474e+2, -76.4
1.778e+1, 3.955e+1, -1.694e+2, 1.740e+2, -76.9
1.468e+1, 4.500e+1, -2.004e+2, 2.054e+2, -77.3
1.212e+1, 5.122e+1, -2.372e+2, 2.427e+2, -77.8
1.000e+1, 5.858e+1, -2.809e+2, 2.869e+2, -78.2
8.254e+0, 6.702e+1, -3.329e+2, 3.396e+2, -78.6
6.813e+0, 7.645e+1, -3.950e+2, 4.024e+2, -79.0
5.623e+0, 8.694e+1, -4.691e+2, 4.771e+2, -79.5
4.642e+0, 9.852e+1, -5.578e+2, 5.665e+2, -80.0
3.831e+0, 1.119e+2, -6.637e+2, 6.731e+2, -80.4
3.162e+0, 1.271e+2, -7.910e+2, 8.011e+2, -80.9
2.610e+0, 1.448e+2, -9.439e+2, 9.550e+2, -81.3
2.154e+0, 1.625e+2, -1.130e+3, 1.142e+3, -81.8
1.778e+0, 1.822e+2, -1.354e+3, 1.367e+3, -82.3
1.468e+0, 2.079e+2, -1.621e+3, 1.634e+3, -82.7
1.212e+0, 2.430e+2, -1.944e+3, 1.959e+3, -82.9
1.000e+0, 2.914e+2, -2.318e+3, 2.336e+3, -82.8
8.254e-1, 3.513e+2, -2.748e+3, 2.770e+3, -82.7
6.813e-1, 4.227e+2, -3.261e+3, 3.288e+3, -82.6
5.623e-1, 5.076e+2, -3.878e+3, 3.911e+3, -82.5
4.642e-1, 6.088e+2, -4.619e+3, 4.659e+3, -82.5
3.831e-1, 7.343e+2, -5.505e+3, 5.553e+3, -82.4
3.162e-1, 8.932e+2, -6.557e+3, 6.617e+3, -82.2
2.610e-1, 1.094e+3, -7.808e+3, 7.884e+3, -82.0
2.154e-1, 1.347e+3, -9.289e+3, 9.386e+3, -81.7
1.778e-1, 1.662e+3, -1.103e+4, 1.116e+4, -81.4
1.468e-1, 2.049e+3, -1.305e+4, 1.321e+4, -81.1
1.212e-1, 2.557e+3, -1.546e+4, 1.567e+4, -80.6
1.000e-1, 3.203e+3, -1.831e+4, 1.859e+4, -80.1
