June 14, 2026   02:01:00
A.C. Impedance
File: e:\chi_data\6.13Data Source:  Experiment
Instrument Model:  CHI660E
Ref. Electrode: 
Header: 
Note: 

Init E (V) = 0
High Frequency (Hz) = 1e+6
Low Frequency (Hz) = 0.1
Imp SF
Amplitude (V) = 0.005
Quiet Time (sec) = 2
Cycles (.1-1Hz) = 1

Freq/Hz	Z'/ohm	Z"/ohm	Z/ohm	Phase/deg

8.252e+5	3.160e+0	1.420e+1	1.454e+1	77.4
6.816e+5	2.598e+0	1.159e+1	1.188e+1	77.4
5.625e+5	1.960e+0	9.616e+0	9.814e+0	78.5
4.639e+5	1.732e+0	7.891e+0	8.079e+0	77.6
3.828e+5	1.540e+0	6.560e+0	6.738e+0	76.8
3.164e+5	1.450e+0	5.431e+0	5.621e+0	75.1
2.607e+5	1.344e+0	4.508e+0	4.704e+0	73.4
2.158e+5	1.273e+0	3.717e+0	3.929e+0	71.1
1.777e+5	1.212e+0	3.050e+0	3.282e+0	68.3
1.465e+5	1.173e+0	2.487e+0	2.750e+0	64.7
1.211e+5	1.134e+0	1.889e+0	2.203e+0	59.0
9.961e+4	1.108e+0	1.308e+0	1.714e+0	49.7
8.252e+4	1.093e+0	9.073e-1	1.420e+0	39.7
6.812e+4	1.092e+0	6.465e-1	1.269e+0	30.6
5.625e+4	1.095e+0	4.837e-1	1.197e+0	23.8
4.644e+4	1.101e+0	3.523e-1	1.156e+0	17.7
3.833e+4	1.111e+0	2.316e-1	1.135e+0	11.8
3.164e+4	1.123e+0	1.105e-1	1.128e+0	5.6
2.612e+4	1.137e+0	-8.742e-3	1.137e+0	-0.4
2.153e+4	1.152e+0	-1.275e-1	1.160e+0	-6.3
1.777e+4	1.170e+0	-2.436e-1	1.195e+0	-11.8
1.470e+4	1.190e+0	-3.617e-1	1.244e+0	-16.9
1.211e+4	1.214e+0	-4.858e-1	1.308e+0	-21.8
1.001e+4	1.241e+0	-6.214e-1	1.388e+0	-26.6
8.252e+3	1.271e+0	-7.734e-1	1.488e+0	-31.3
6.812e+3	1.306e+0	-9.444e-1	1.612e+0	-35.9
5.625e+3	1.347e+0	-1.140e+0	1.765e+0	-40.2
4.643e+3	1.394e+0	-1.364e+0	1.950e+0	-44.4
3.833e+3	1.449e+0	-1.624e+0	2.177e+0	-48.3
3.164e+3	1.515e+0	-1.928e+0	2.451e+0	-51.8
2.612e+3	1.599e+0	-2.291e+0	2.794e+0	-55.1
2.153e+3	1.704e+0	-2.726e+0	3.215e+0	-58.0
1.777e+3	1.824e+0	-3.236e+0	3.715e+0	-60.6
1.470e+3	1.963e+0	-3.834e+0	4.307e+0	-62.9
1.211e+3	2.126e+0	-4.534e+0	5.008e+0	-64.9
1.001e+3	2.324e+0	-5.355e+0	5.837e+0	-66.5
8.252e+2	2.564e+0	-6.316e+0	6.817e+0	-67.9
6.836e+2	2.859e+0	-7.452e+0	7.982e+0	-69.0
5.615e+2	3.219e+0	-8.790e+0	9.361e+0	-69.9
4.639e+2	3.652e+0	-1.036e+1	1.099e+1	-70.6
3.809e+2	4.164e+0	-1.217e+1	1.286e+1	-71.1
3.174e+2	4.776e+0	-1.427e+1	1.505e+1	-71.5
2.588e+2	5.494e+0	-1.671e+1	1.759e+1	-71.8
2.148e+2	6.335e+0	-1.959e+1	2.059e+1	-72.1
1.758e+2	7.294e+0	-2.294e+1	2.407e+1	-72.4
1.465e+2	8.337e+0	-2.671e+1	2.798e+1	-72.7
1.221e+2	9.558e+0	-3.132e+1	3.275e+1	-73.0
9.766e+1	1.100e+1	-3.667e+1	3.828e+1	-73.3
8.254e+1	1.258e+1	-4.275e+1	4.456e+1	-73.6
6.813e+1	1.428e+1	-5.004e+1	5.204e+1	-74.1
5.623e+1	1.609e+1	-5.872e+1	6.088e+1	-74.7
4.642e+1	1.811e+1	-6.913e+1	7.146e+1	-75.3
3.831e+1	2.043e+1	-8.159e+1	8.411e+1	-75.9
3.162e+1	2.308e+1	-9.641e+1	9.914e+1	-76.5
2.610e+1	2.612e+1	-1.140e+2	1.170e+2	-77.1
2.154e+1	2.965e+1	-1.351e+2	1.383e+2	-77.6
1.778e+1	3.378e+1	-1.602e+2	1.637e+2	-78.1
1.468e+1	3.856e+1	-1.901e+2	1.940e+2	-78.5
1.212e+1	4.406e+1	-2.257e+2	2.299e+2	-79.0
1.000e+1	5.078e+1	-2.680e+2	2.728e+2	-79.3
8.254e+0	5.881e+1	-3.184e+2	3.238e+2	-79.5
6.813e+0	6.799e+1	-3.787e+2	3.847e+2	-79.8
5.623e+0	7.860e+1	-4.504e+2	4.572e+2	-80.1
4.642e+0	9.113e+1	-5.360e+2	5.437e+2	-80.4
3.831e+0	1.060e+2	-6.380e+2	6.467e+2	-80.6
3.162e+0	1.231e+2	-7.604e+2	7.703e+2	-80.8
2.610e+0	1.442e+2	-9.067e+2	9.181e+2	-81.0
2.154e+0	1.666e+2	-1.083e+3	1.096e+3	-81.3
1.778e+0	1.909e+2	-1.295e+3	1.309e+3	-81.6
1.468e+0	2.243e+2	-1.548e+3	1.564e+3	-81.8
1.212e+0	2.678e+2	-1.853e+3	1.872e+3	-81.8
1.000e+0	3.240e+2	-2.200e+3	2.223e+3	-81.6
8.254e-1	3.934e+2	-2.593e+3	2.622e+3	-81.4
6.813e-1	4.739e+2	-3.057e+3	3.094e+3	-81.2
5.623e-1	5.672e+2	-3.612e+3	3.656e+3	-81.1
4.642e-1	6.751e+2	-4.277e+3	4.330e+3	-81.0
3.831e-1	8.016e+2	-5.065e+3	5.128e+3	-81.0
3.162e-1	9.539e+2	-5.998e+3	6.073e+3	-81.0
2.610e-1	1.137e+3	-7.106e+3	7.196e+3	-80.9
2.154e-1	1.356e+3	-8.418e+3	8.527e+3	-80.9
1.778e-1	1.615e+3	-9.964e+3	1.009e+4	-80.8
1.468e-1	1.920e+3	-1.176e+4	1.192e+4	-80.7
1.212e-1	2.316e+3	-1.392e+4	1.412e+4	-80.6
1.000e-1	2.825e+3	-1.650e+4	1.674e+4	-80.3
