June 14, 2026   03:51:12
A.C. Impedance
File: e:\chi_data\6.13Data Source:  Experiment
Instrument Model:  CHI660E
Ref. Electrode: 
Header: 
Note: 

Init E (V) = 0
High Frequency (Hz) = 1e+6
Low Frequency (Hz) = 0.1
Imp SF
Amplitude (V) = 0.005
Quiet Time (sec) = 2
Cycles (.1-1Hz) = 1

Freq/Hz	Z'/ohm	Z"/ohm	Z/ohm	Phase/deg

8.252e+5	3.215e+0	1.416e+1	1.452e+1	77.2
6.816e+5	2.675e+0	1.155e+1	1.185e+1	77.0
5.625e+5	2.037e+0	9.564e+0	9.779e+0	78.0
4.639e+5	1.801e+0	7.854e+0	8.058e+0	77.1
3.828e+5	1.598e+0	6.533e+0	6.726e+0	76.3
3.164e+5	1.504e+0	5.407e+0	5.612e+0	74.5
2.607e+5	1.395e+0	4.478e+0	4.690e+0	72.7
2.158e+5	1.328e+0	3.681e+0	3.913e+0	70.2
1.777e+5	1.281e+0	3.009e+0	3.270e+0	66.9
1.465e+5	1.252e+0	2.443e+0	2.745e+0	62.9
1.211e+5	1.217e+0	1.842e+0	2.208e+0	56.5
9.961e+4	1.195e+0	1.260e+0	1.736e+0	46.5
8.252e+4	1.185e+0	8.553e-1	1.461e+0	35.8
6.812e+4	1.189e+0	5.864e-1	1.326e+0	26.2
5.625e+4	1.200e+0	4.154e-1	1.270e+0	19.1
4.644e+4	1.215e+0	2.762e-1	1.246e+0	12.8
3.833e+4	1.234e+0	1.476e-1	1.243e+0	6.8
3.164e+4	1.255e+0	1.988e-2	1.256e+0	0.9
2.612e+4	1.278e+0	-1.053e-1	1.283e+0	-4.7
2.153e+4	1.305e+0	-2.296e-1	1.325e+0	-10.0
1.777e+4	1.335e+0	-3.512e-1	1.380e+0	-14.7
1.470e+4	1.368e+0	-4.758e-1	1.448e+0	-19.2
1.211e+4	1.403e+0	-6.078e-1	1.529e+0	-23.4
1.001e+4	1.441e+0	-7.523e-1	1.625e+0	-27.6
