June 13, 2026   22:46:18
A.C. Impedance
File: e:\chi_data\6.13Data Source:  Experiment
Instrument Model:  CHI660E
Ref. Electrode: 
Header: 
Note: 

Init E (V) = 0
High Frequency (Hz) = 1e+6
Low Frequency (Hz) = 0.1
Imp SF
Amplitude (V) = 0.005
Quiet Time (sec) = 2
Cycles (.1-1Hz) = 1

Freq/Hz	Z'/ohm	Z"/ohm	Z/ohm	Phase/deg

8.252e+5	3.103e+0	1.418e+1	1.452e+1	77.7
6.816e+5	2.406e+0	1.156e+1	1.180e+1	78.2
5.625e+5	1.911e+0	9.619e+0	9.807e+0	78.8
4.639e+5	1.632e+0	7.888e+0	8.055e+0	78.3
3.828e+5	1.468e+0	6.579e+0	6.740e+0	77.4
3.164e+5	1.351e+0	5.452e+0	5.617e+0	76.1
2.607e+5	1.255e+0	4.535e+0	4.705e+0	74.5
2.158e+5	1.174e+0	3.741e+0	3.921e+0	72.6
1.777e+5	1.117e+0	3.077e+0	3.274e+0	70.0
1.465e+5	1.078e+0	2.518e+0	2.739e+0	66.8
1.211e+5	1.039e+0	1.928e+0	2.190e+0	61.7
9.961e+4	1.011e+0	1.353e+0	1.689e+0	53.2
8.252e+4	9.935e-1	9.570e-1	1.379e+0	43.9
6.812e+4	9.845e-1	6.992e-1	1.208e+0	35.4
5.625e+4	9.808e-1	5.392e-1	1.119e+0	28.8
4.644e+4	9.836e-1	4.122e-1	1.066e+0	22.7
3.833e+4	9.905e-1	2.991e-1	1.035e+0	16.8
3.164e+4	9.987e-1	1.880e-1	1.016e+0	10.7
2.612e+4	1.008e+0	7.997e-2	1.011e+0	4.5
2.153e+4	1.019e+0	-2.306e-2	1.019e+0	-1.3
1.777e+4	1.031e+0	-1.211e-1	1.038e+0	-6.7
1.470e+4	1.044e+0	-2.189e-1	1.067e+0	-11.8
1.211e+4	1.060e+0	-3.195e-1	1.107e+0	-16.8
1.001e+4	1.079e+0	-4.294e-1	1.161e+0	-21.7
8.252e+3	1.101e+0	-5.509e-1	1.231e+0	-26.6
6.812e+3	1.127e+0	-6.859e-1	1.319e+0	-31.3
5.625e+3	1.157e+0	-8.385e-1	1.429e+0	-35.9
4.643e+3	1.192e+0	-1.013e+0	1.564e+0	-40.4
3.833e+3	1.233e+0	-1.214e+0	1.730e+0	-44.6
3.164e+3	1.282e+0	-1.448e+0	1.934e+0	-48.5
2.612e+3	1.340e+0	-1.722e+0	2.182e+0	-52.1
2.153e+3	1.412e+0	-2.045e+0	2.485e+0	-55.4
1.777e+3	1.505e+0	-2.430e+0	2.858e+0	-58.2
1.470e+3	1.620e+0	-2.887e+0	3.311e+0	-60.7
1.211e+3	1.756e+0	-3.421e+0	3.846e+0	-62.8
1.001e+3	1.917e+0	-4.043e+0	4.474e+0	-64.6
8.252e+2	2.107e+0	-4.762e+0	5.208e+0	-66.1
6.836e+2	2.335e+0	-5.605e+0	6.072e+0	-67.4
5.615e+2	2.609e+0	-6.593e+0	7.090e+0	-68.4
4.639e+2	2.934e+0	-7.753e+0	8.290e+0	-69.3
3.809e+2	3.310e+0	-9.088e+0	9.672e+0	-70.0
3.174e+2	3.743e+0	-1.065e+1	1.129e+1	-70.6
2.588e+2	4.237e+0	-1.247e+1	1.317e+1	-71.2
2.148e+2	4.795e+0	-1.461e+1	1.538e+1	-71.8
1.758e+2	5.412e+0	-1.710e+1	1.793e+1	-72.4
1.465e+2	6.086e+0	-1.995e+1	2.086e+1	-73.0
1.221e+2	6.882e+0	-2.353e+1	2.451e+1	-73.7
9.766e+1	7.830e+0	-2.770e+1	2.878e+1	-74.2
8.254e+1	8.893e+0	-3.247e+1	3.367e+1	-74.7
6.813e+1	1.005e+1	-3.821e+1	3.951e+1	-75.3
5.623e+1	1.130e+1	-4.504e+1	4.644e+1	-75.9
4.642e+1	1.273e+1	-5.323e+1	5.473e+1	-76.6
3.831e+1	1.439e+1	-6.303e+1	6.465e+1	-77.1
3.162e+1	1.633e+1	-7.470e+1	7.647e+1	-77.7
2.610e+1	1.863e+1	-8.859e+1	9.053e+1	-78.1
2.154e+1	2.129e+1	-1.051e+2	1.072e+2	-78.5
1.778e+1	2.440e+1	-1.248e+2	1.272e+2	-78.9
1.468e+1	2.813e+1	-1.484e+2	1.510e+2	-79.3
1.212e+1	3.250e+1	-1.763e+2	1.793e+2	-79.6
1.000e+1	3.784e+1	-2.096e+2	2.130e+2	-79.8
8.254e+0	4.430e+1	-2.493e+2	2.532e+2	-79.9
6.813e+0	5.177e+1	-2.966e+2	3.011e+2	-80.1
5.623e+0	6.049e+1	-3.529e+2	3.581e+2	-80.3
4.642e+0	7.054e+1	-4.201e+2	4.260e+2	-80.5
3.831e+0	8.266e+1	-5.002e+2	5.070e+2	-80.6
3.162e+0	9.710e+1	-5.961e+2	6.039e+2	-80.7
2.610e+0	1.146e+2	-7.107e+2	7.199e+2	-80.8
2.154e+0	1.342e+2	-8.492e+2	8.597e+2	-81.0
1.778e+0	1.577e+2	-1.015e+3	1.028e+3	-81.2
1.468e+0	1.887e+2	-1.213e+3	1.228e+3	-81.2
1.212e+0	2.299e+2	-1.450e+3	1.468e+3	-81.0
1.000e+0	2.835e+2	-1.723e+3	1.746e+3	-80.7
8.254e-1	3.534e+2	-2.034e+3	2.064e+3	-80.1
6.813e-1	4.425e+2	-2.400e+3	2.441e+3	-79.6
5.623e-1	5.516e+2	-2.835e+3	2.888e+3	-79.0
4.642e-1	6.875e+2	-3.351e+3	3.421e+3	-78.4
