June 14, 2026   22:34:25
A.C. Impedance
File: e:\chi_data\Data Source:  Experiment
Instrument Model:  CHI660E
Ref. Electrode: 
Header: 
Note: 

Init E (V) = 0
High Frequency (Hz) = 1e+6
Low Frequency (Hz) = 0.1
Imp SF
Amplitude (V) = 0.005
Quiet Time (sec) = 2
Cycles (.1-1Hz) = 1

Freq/Hz	Z'/ohm	Z"/ohm	Z/ohm	Phase/deg

8.252e+5	5.575e+1	4.161e+0	5.590e+1	4.3
6.816e+5	5.620e+1	2.082e+0	5.624e+1	2.1
5.625e+5	5.605e+1	1.496e+0	5.607e+1	1.5
4.639e+5	5.661e+1	6.868e-1	5.662e+1	0.7
3.828e+5	5.711e+1	4.083e-1	5.712e+1	0.4
3.164e+5	5.766e+1	5.704e-2	5.766e+1	0.1
2.607e+5	5.795e+1	-1.935e-1	5.795e+1	-0.2
2.158e+5	5.817e+1	-4.901e-1	5.817e+1	-0.5
1.777e+5	5.841e+1	-8.952e-1	5.842e+1	-0.9
1.465e+5	5.866e+1	-1.239e+0	5.868e+1	-1.2
1.211e+5	5.879e+1	-1.303e-1	5.879e+1	-0.1
9.961e+4	5.893e+1	1.528e+0	5.895e+1	1.5
8.252e+4	5.911e+1	2.142e+0	5.915e+1	2.1
6.812e+4	5.929e+1	1.842e+0	5.931e+1	1.8
5.625e+4	5.944e+1	9.474e-1	5.945e+1	0.9
4.644e+4	5.963e+1	-1.228e-1	5.963e+1	-0.1
3.833e+4	5.989e+1	-1.148e+0	5.990e+1	-1.1
3.164e+4	6.022e+1	-1.973e+0	6.026e+1	-1.9
2.612e+4	6.063e+1	-2.723e+0	6.069e+1	-2.6
2.153e+4	6.105e+1	-3.425e+0	6.114e+1	-3.2
1.777e+4	6.146e+1	-4.118e+0	6.160e+1	-3.8
1.470e+4	6.191e+1	-4.870e+0	6.210e+1	-4.5
1.211e+4	6.245e+1	-5.725e+0	6.271e+1	-5.2
1.001e+4	6.311e+1	-6.673e+0	6.346e+1	-6.0
8.252e+3	6.386e+1	-7.672e+0	6.432e+1	-6.9
6.812e+3	6.470e+1	-8.719e+0	6.529e+1	-7.7
5.625e+3	6.563e+1	-9.834e+0	6.637e+1	-8.5
4.643e+3	6.666e+1	-1.104e+1	6.756e+1	-9.4
3.833e+3	6.778e+1	-1.235e+1	6.889e+1	-10.3
3.164e+3	6.902e+1	-1.377e+1	7.038e+1	-11.3
2.612e+3	7.038e+1	-1.532e+1	7.203e+1	-12.3
2.153e+3	7.187e+1	-1.705e+1	7.387e+1	-13.3
