June 16, 2026   11:09:52
A.C. Impedance
File: e:\chi_data\6.13Data Source:  Experiment
Instrument Model:  CHI660E
Header: 
Note: 

Init E (V) = 0
High Frequency (Hz) = 1e+6
Low Frequency (Hz) = 0.1
Imp SF
Amplitude (V) = 0.005
Quiet Time (sec) = 2
Cycles (.1-1Hz) = 1

Freq/Hz, Z'/ohm, Z"/ohm, Z/ohm, Phase/deg

8.252e+5, 1.730e+2, -1.039e+2, 2.018e+2, -31.0
6.816e+5, 1.917e+2, -1.099e+2, 2.209e+2, -29.8
5.625e+5, 2.092e+2, -1.051e+2, 2.341e+2, -26.7
4.639e+5, 2.255e+2, -1.010e+2, 2.471e+2, -24.1
3.828e+5, 2.404e+2, -8.771e+1, 2.559e+2, -20.0
3.164e+5, 2.536e+2, -7.252e+1, 2.638e+2, -16.0
2.607e+5, 2.650e+2, -6.066e+1, 2.718e+2, -12.9
2.158e+5, 2.744e+2, -5.302e+1, 2.795e+2, -10.9
1.777e+5, 2.826e+2, -4.850e+1, 2.867e+2, -9.7
1.465e+5, 2.890e+2, -4.442e+1, 2.924e+2, -8.7
1.211e+5, 2.938e+2, -3.931e+1, 2.964e+2, -7.6
9.961e+4, 2.978e+2, -3.418e+1, 2.998e+2, -6.5
8.252e+4, 3.009e+2, -2.915e+1, 3.023e+2, -5.5
6.812e+4, 3.033e+2, -2.473e+1, 3.043e+2, -4.7
5.625e+4, 3.054e+2, -2.090e+1, 3.061e+2, -3.9
4.644e+4, 3.067e+2, -1.832e+1, 3.073e+2, -3.4
3.833e+4, 3.079e+2, -1.682e+1, 3.084e+2, -3.1
3.164e+4, 3.091e+2, -1.535e+1, 3.095e+2, -2.8
2.612e+4, 3.104e+2, -1.406e+1, 3.107e+2, -2.6
2.153e+4, 3.115e+2, -1.298e+1, 3.118e+2, -2.4
1.777e+4, 3.125e+2, -1.196e+1, 3.127e+2, -2.2
1.470e+4, 3.133e+2, -1.146e+1, 3.135e+2, -2.1
1.211e+4, 3.138e+2, -1.120e+1, 3.140e+2, -2.0
1.001e+4, 3.144e+2, -9.557e+0, 3.145e+2, -1.7
8.252e+3, 3.152e+2, -7.610e+0, 3.153e+2, -1.4
6.812e+3, 3.162e+2, -7.078e+0, 3.162e+2, -1.3
5.625e+3, 3.173e+2, -7.710e+0, 3.174e+2, -1.4
4.643e+3, 3.184e+2, -9.151e+0, 3.185e+2, -1.6
3.833e+3, 3.196e+2, -1.084e+1, 3.198e+2, -1.9
3.164e+3, 3.210e+2, -1.257e+1, 3.213e+2, -2.2
2.612e+3, 3.226e+2, -1.427e+1, 3.229e+2, -2.5
2.153e+3, 3.244e+2, -1.597e+1, 3.248e+2, -2.8
1.777e+3, 3.265e+2, -1.769e+1, 3.269e+2, -3.1
1.470e+3, 3.287e+2, -1.955e+1, 3.293e+2, -3.4
1.211e+3, 3.312e+2, -2.147e+1, 3.318e+2, -3.7
1.001e+3, 3.337e+2, -2.316e+1, 3.345e+2, -4.0
8.252e+2, 3.364e+2, -2.483e+1, 3.373e+2, -4.2
6.836e+2, 3.394e+2, -2.683e+1, 3.405e+2, -4.5
5.615e+2, 3.426e+2, -2.914e+1, 3.439e+2, -4.9
4.639e+2, 3.461e+2, -3.177e+1, 3.476e+2, -5.2
