June 16, 2026   00:24:42
A.C. Impedance
File: e:\chi_data\6.13Data Source:  Experiment
Instrument Model:  CHI660E
Header: 
Note: 

Init E (V) = 0
High Frequency (Hz) = 1e+6
Low Frequency (Hz) = 0.1
Imp SF
Amplitude (V) = 0.005
Quiet Time (sec) = 2
Cycles (.1-1Hz) = 1

Freq/Hz, Z'/ohm, Z"/ohm, Z/ohm, Phase/deg

8.252e+5, 4.773e+0, 1.412e+1, 1.490e+1, 71.3
6.816e+5, 4.163e+0, 1.148e+1, 1.221e+1, 70.1
5.625e+5, 3.646e+0, 9.580e+0, 1.025e+1, 69.2
4.639e+5, 3.359e+0, 7.859e+0, 8.546e+0, 66.9
3.828e+5, 3.188e+0, 6.540e+0, 7.275e+0, 64.0
3.164e+5, 3.077e+0, 5.398e+0, 6.213e+0, 60.3
2.607e+5, 2.982e+0, 4.480e+0, 5.381e+0, 56.4
2.158e+5, 2.903e+0, 3.695e+0, 4.699e+0, 51.8
1.777e+5, 2.855e+0, 3.032e+0, 4.164e+0, 46.7
1.465e+5, 2.821e+0, 2.473e+0, 3.752e+0, 41.2
1.211e+5, 2.787e+0, 2.024e+0, 3.444e+0, 36.0
9.961e+4, 2.763e+0, 1.646e+0, 3.216e+0, 30.8
8.252e+4, 2.748e+0, 1.332e+0, 3.054e+0, 25.9
6.812e+4, 2.743e+0, 1.066e+0, 2.943e+0, 21.2
5.625e+4, 2.740e+0, 8.374e-1, 2.865e+0, 17.0
4.644e+4, 2.740e+0, 6.356e-1, 2.812e+0, 13.1
3.833e+4, 2.747e+0, 4.584e-1, 2.785e+0, 9.5
3.164e+4, 2.758e+0, 3.005e-1, 2.774e+0, 6.2
2.612e+4, 2.768e+0, 1.554e-1, 2.773e+0, 3.2
2.153e+4, 2.780e+0, 2.095e-2, 2.780e+0, 0.4
1.777e+4, 2.795e+0, -1.059e-1, 2.797e+0, -2.2
1.470e+4, 2.811e+0, -2.329e-1, 2.821e+0, -4.7
1.211e+4, 2.830e+0, -3.673e-1, 2.854e+0, -7.4
