June 16, 2026   19:35:22
A.C. Impedance
File: e:\chi_data\6.13Data Source:  Experiment
Instrument Model:  CHI660E
Header: 
Note: 

Init E (V) = 0
High Frequency (Hz) = 1e+6
Low Frequency (Hz) = 0.1
Imp SF
Amplitude (V) = 0.005
Quiet Time (sec) = 2
Cycles (.1-1Hz) = 1

Freq/Hz, Z'/ohm, Z"/ohm, Z/ohm, Phase/deg

8.252e+5, 2.654e+0, 1.431e+1, 1.455e+1, 79.5
6.816e+5, 2.039e+0, 1.159e+1, 1.177e+1, 80.0
5.625e+5, 1.451e+0, 9.709e+0, 9.817e+0, 81.5
4.639e+5, 1.205e+0, 7.946e+0, 8.037e+0, 81.4
3.828e+5, 1.011e+0, 6.637e+0, 6.713e+0, 81.3
3.164e+5, 9.035e-1, 5.486e+0, 5.560e+0, 80.6
2.607e+5, 7.894e-1, 4.566e+0, 4.634e+0, 80.2
2.158e+5, 7.045e-1, 3.767e+0, 3.833e+0, 79.4
1.777e+5, 6.423e-1, 3.100e+0, 3.166e+0, 78.3
1.465e+5, 6.053e-1, 2.531e+0, 2.603e+0, 76.5
1.211e+5, 5.678e-1, 1.933e+0, 2.015e+0, 73.6
9.961e+4, 5.415e-1, 1.353e+0, 1.458e+0, 68.2
8.252e+4, 5.240e-1, 9.518e-1, 1.086e+0, 61.2
6.812e+4, 5.162e-1, 6.869e-1, 8.592e-1, 53.1
5.625e+4, 5.142e-1, 5.184e-1, 7.302e-1, 45.2
4.644e+4, 5.176e-1, 3.821e-1, 6.434e-1, 36.4
3.833e+4, 5.231e-1, 2.581e-1, 5.834e-1, 26.3
3.164e+4, 5.305e-1, 1.348e-1, 5.474e-1, 14.3
2.612e+4, 5.390e-1, 1.379e-2, 5.392e-1, 1.5
2.153e+4, 5.500e-1, -1.065e-1, 5.602e-1, -11.0
1.777e+4, 5.640e-1, -2.254e-1, 6.074e-1, -21.8
1.470e+4, 5.808e-1, -3.473e-1, 6.767e-1, -30.9
1.211e+4, 6.006e-1, -4.776e-1, 7.673e-1, -38.5
1.001e+4, 6.231e-1, -6.209e-1, 8.796e-1, -44.9
8.252e+3, 6.496e-1, -7.809e-1, 1.016e+0, -50.2
6.812e+3, 6.814e-1, -9.617e-1, 1.179e+0, -54.7
5.625e+3, 7.190e-1, -1.168e+0, 1.372e+0, -58.4
4.643e+3, 7.635e-1, -1.407e+0, 1.601e+0, -61.5
3.833e+3, 8.164e-1, -1.684e+0, 1.872e+0, -64.1
3.164e+3, 8.805e-1, -2.009e+0, 2.193e+0, -66.3
2.612e+3, 9.636e-1, -2.397e+0, 2.583e+0, -68.1
2.153e+3, 1.067e+0, -2.861e+0, 3.053e+0, -69.5
1.777e+3, 1.189e+0, -3.403e+0, 3.605e+0, -70.7
1.470e+3, 1.333e+0, -4.041e+0, 4.255e+0, -71.7
1.211e+3, 1.508e+0, -4.787e+0, 5.019e+0, -72.5
1.001e+3, 1.722e+0, -5.661e+0, 5.917e+0, -73.1
8.252e+2, 1.984e+0, -6.678e+0, 6.967e+0, -73.5
6.836e+2, 2.305e+0, -7.877e+0, 8.208e+0, -73.7
5.615e+2, 2.695e+0, -9.285e+0, 9.668e+0, -73.8
4.639e+2, 3.166e+0, -1.093e+1, 1.138e+1, -73.9
3.809e+2, 3.717e+0, -1.283e+1, 1.335e+1, -73.8
3.174e+2, 4.366e+0, -1.502e+1, 1.565e+1, -73.8
2.588e+2, 5.122e+0, -1.758e+1, 1.831e+1, -73.8
2.148e+2, 6.011e+0, -2.059e+1, 2.145e+1, -73.7
1.758e+2, 7.024e+0, -2.409e+1, 2.509e+1, -73.7
1.465e+2, 8.124e+0, -2.804e+1, 2.919e+1, -73.8
1.221e+2, 9.405e+0, -3.289e+1, 3.421e+1, -74.0
9.766e+1, 1.093e+1, -3.851e+1, 4.003e+1, -74.2
8.254e+1, 1.262e+1, -4.490e+1, 4.664e+1, -74.3
6.813e+1, 1.445e+1, -5.255e+1, 5.450e+1, -74.6
5.623e+1, 1.641e+1, -6.164e+1, 6.379e+1, -75.1
4.642e+1, 1.861e+1, -7.252e+1, 7.487e+1, -75.6
3.831e+1, 2.111e+1, -8.552e+1, 8.809e+1, -76.1
3.162e+1, 2.394e+1, -1.010e+2, 1.038e+2, -76.7
2.610e+1, 2.721e+1, -1.193e+2, 1.224e+2, -77.2
2.154e+1, 3.104e+1, -1.412e+2, 1.446e+2, -77.6
1.778e+1, 3.545e+1, -1.674e+2, 1.711e+2, -78.0
1.468e+1, 4.050e+1, -1.985e+2, 2.026e+2, -78.5
1.212e+1, 4.639e+1, -2.355e+2, 2.400e+2, -78.9
1.000e+1, 5.355e+1, -2.795e+2, 2.846e+2, -79.2
8.254e+0, 6.201e+1, -3.319e+2, 3.377e+2, -79.4
6.813e+0, 7.162e+1, -3.943e+2, 4.008e+2, -79.7
5.623e+0, 8.254e+1, -4.687e+2, 4.760e+2, -80.0
4.642e+0, 9.496e+1, -5.575e+2, 5.656e+2, -80.3
3.831e+0, 1.096e+2, -6.633e+2, 6.723e+2, -80.6
3.162e+0, 1.263e+2, -7.902e+2, 8.002e+2, -80.9
2.610e+0, 1.460e+2, -9.429e+2, 9.541e+2, -81.2
2.154e+0, 1.659e+2, -1.127e+3, 1.140e+3, -81.6
1.778e+0, 1.871e+2, -1.350e+3, 1.362e+3, -82.1
1.468e+0, 2.132e+2, -1.618e+3, 1.632e+3, -82.5
1.212e+0, 2.532e+2, -1.943e+3, 1.960e+3, -82.6
1.000e+0, 3.088e+2, -2.311e+3, 2.331e+3, -82.4
8.254e-1, 3.736e+2, -2.727e+3, 2.753e+3, -82.2
6.813e-1, 4.491e+2, -3.226e+3, 3.257e+3, -82.1
5.623e-1, 5.365e+2, -3.827e+3, 3.864e+3, -82.0
4.642e-1, 6.419e+2, -4.549e+3, 4.594e+3, -82.0
3.831e-1, 7.716e+2, -5.407e+3, 5.462e+3, -81.9
3.162e-1, 9.310e+2, -6.426e+3, 6.493e+3, -81.8
2.610e-1, 1.129e+3, -7.634e+3, 7.717e+3, -81.6
2.154e-1, 1.374e+3, -9.064e+3, 9.167e+3, -81.4
1.778e-1, 1.665e+3, -1.074e+4, 1.087e+4, -81.2
1.468e-1, 2.004e+3, -1.269e+4, 1.284e+4, -81.0
1.212e-1, 2.454e+3, -1.503e+4, 1.523e+4, -80.7
1.000e-1, 3.038e+3, -1.785e+4, 1.811e+4, -80.3
