frequency_hz,z_real_ohm_cm2,z_imag_ohm_cm2,sample_id,target_temperature_C,actual_temperature_C,source_file
307200.0,0.239712,4.14625,2026.5.9CS,-39.0,-39.0,C:\Users\JZ\Desktop\paper\acid-in-clay-close\V1.0-qianduan-mainline\output\new_materials_stage0_input\2026.5.9CS\2026.5.9CS_T-39.0C_seq011.txt
276480.0,0.839204,3.09043,2026.5.9CS,-39.0,-39.0,C:\Users\JZ\Desktop\paper\acid-in-clay-close\V1.0-qianduan-mainline\output\new_materials_stage0_input\2026.5.9CS\2026.5.9CS_T-39.0C_seq011.txt
197486.0,1.66716,2.14333,2026.5.9CS,-39.0,-39.0,C:\Users\JZ\Desktop\paper\acid-in-clay-close\V1.0-qianduan-mainline\output\new_materials_stage0_input\2026.5.9CS\2026.5.9CS_T-39.0C_seq011.txt
153600.0,1.99937,1.57213,2026.5.9CS,-39.0,-39.0,C:\Users\JZ\Desktop\paper\acid-in-clay-close\V1.0-qianduan-mainline\output\new_materials_stage0_input\2026.5.9CS\2026.5.9CS_T-39.0C_seq011.txt
125673.0,2.22121,1.16352,2026.5.9CS,-39.0,-39.0,C:\Users\JZ\Desktop\paper\acid-in-clay-close\V1.0-qianduan-mainline\output\new_materials_stage0_input\2026.5.9CS\2026.5.9CS_T-39.0C_seq011.txt
98742.898438,2.41626,0.808861,2026.5.9CS,-39.0,-39.0,C:\Users\JZ\Desktop\paper\acid-in-clay-close\V1.0-qianduan-mainline\output\new_materials_stage0_input\2026.5.9CS\2026.5.9CS_T-39.0C_seq011.txt
76800.0,2.53831,0.518287,2026.5.9CS,-39.0,-39.0,C:\Users\JZ\Desktop\paper\acid-in-clay-close\V1.0-qianduan-mainline\output\new_materials_stage0_input\2026.5.9CS\2026.5.9CS_T-39.0C_seq011.txt
60104.300781,2.65459,0.219532,2026.5.9CS,-39.0,-39.0,C:\Users\JZ\Desktop\paper\acid-in-clay-close\V1.0-qianduan-mainline\output\new_materials_stage0_input\2026.5.9CS\2026.5.9CS_T-39.0C_seq011.txt
49371.398438,2.69903,0.04063,2026.5.9CS,-39.0,-39.0,C:\Users\JZ\Desktop\paper\acid-in-clay-close\V1.0-qianduan-mainline\output\new_materials_stage0_input\2026.5.9CS\2026.5.9CS_T-39.0C_seq011.txt
38400.0,2.75951,-0.173611,2026.5.9CS,-39.0,-39.0,C:\Users\JZ\Desktop\paper\acid-in-clay-close\V1.0-qianduan-mainline\output\new_materials_stage0_input\2026.5.9CS\2026.5.9CS_T-39.0C_seq011.txt
