R,N,min_normalized_distance_to_history,predicted_score_v3_mean,predicted_score_v3_std,expected_improvement_scaled,rank
0.64,1.04,0.220786,-1.42256821,0.15851333,0.5771460308,1
0.66,1.02,0.214869,-1.42485868,0.16982155,0.5769030122,2
0.64,1.02,0.201547,-1.42206815,0.15391947,0.576436272,3
0.66,1.04,0.23301,-1.42631896,0.17429466,0.5757286725,4
0.62,1.04,0.209615,-1.42360195,0.14343009,0.5687181128,5
0.68,1.02,0.229032,-1.4324794,0.18611516,0.568037803,6
0.68,1.04,0.246131,-1.43469475,0.19044941,0.5656036252,7
0.62,1.02,0.189245,-1.4242765,0.13872781,0.5654438076,8
0.64,1.06,0.220786,-1.43076396,0.16139543,0.558927688,9
0.66,1.0,0.198226,-1.43146822,0.1640703,0.5585507521,10
0.66,1.06,0.23301,-1.43537066,0.17728141,0.5564034192,11
0.64,1.0,0.183702,-1.42975462,0.14785929,0.5554168109,12
0.62,1.06,0.209615,-1.43068232,0.14616673,0.5524967895,13
0.68,1.0,0.213496,-1.43816845,0.18066499,0.5519459433,14
0.7,1.02,0.24389,-1.44467305,0.20250922,0.5512527085,15
0.6,1.04,0.199676,-1.42948697,0.1293922,0.5495952104,16
0.7,1.04,0.260014,-1.44745102,0.20668381,0.5481008278,17
0.68,1.06,0.246131,-1.44435422,0.19349414,0.5459824702,18
0.6,1.02,0.178173,-1.43155578,0.12458431,0.5430512355,19
0.62,1.0,0.170114,-1.43320298,0.13234409,0.5413136798,20
0.7,1.0,0.229363,-1.44958878,0.19735733,0.5370629359,21
0.6,1.06,0.199676,-1.43518614,0.13195568,0.5362943596,22
0.7,1.06,0.260014,-1.45748541,0.20973911,0.5288787218,23
0.72,1.02,0.259323,-1.46110406,0.21874462,0.5280734408,24
0.72,1.04,0.274542,-1.46426771,0.22273859,0.5246472016,25
