Freq (Hz),	Z'(Ohm.cm^2),	Z''(Ohm.cm^2),	MOD(Ohm.cm^2),	Angle(Degree)
307200.000000, 1.386530, 4.340510, 4.556588, 72.284470
276480.000000, 1.901010, 3.573830, 4.047975, 61.990368
230400.000000, 2.329140, 2.978720, 3.781225, 51.977203
172800.000000, 2.718650, 2.221210, 3.510674, 39.249744
153600.000000, 2.833530, 1.942090, 3.435201, 34.426582
115200.000000, 3.017660, 1.391750, 3.323137, 24.759233
98742.898438, 3.100190, 1.154420, 3.308151, 20.423859
81317.601563, 3.163260, 0.901373, 3.289177, 15.904936
65828.601563, 3.199490, 0.661171, 3.267091, 11.675760
53169.199219, 3.262860, 0.399636, 3.287243, 6.982824
46080.000000, 3.283360, 0.278450, 3.295146, 4.847452
36378.898438, 3.306130, 0.091782, 3.307404, 1.590191
30052.199219, 3.328540, -0.046506, 3.328865, -0.800483
24685.699219, 3.355700, -0.183868, 3.360734, -3.136257
20329.400391, 3.391590, -0.324918, 3.407118, -5.472297
16457.099609, 3.429810, -0.476496, 3.462751, -7.909351
13552.900391, 3.478440, -0.621382, 3.533505, -10.128375
11148.400391, 3.529800, -0.783084, 3.615620, -12.508450
9600.000000, 3.520240, -0.895463, 3.632347, -14.271953
7854.549805, 3.591570, -1.089330, 3.753134, -16.872650
6400.000000, 3.670980, -1.303260, 3.895456, -19.545723
5236.359863, 3.764710, -1.541160, 4.067950, -22.262730
4320.000000, 3.861740, -1.796790, 4.259283, -24.951611
3526.530029, 3.981670, -2.112620, 4.507422, -27.949818
2880.000000, 4.105620, -2.473070, 4.792931, -31.063171
2367.120117, 4.236710, -2.880300, 5.123069, -34.209576
1963.640015, 4.393610, -3.336110, 5.516651, -37.209751
1614.949951, 4.569040, -3.889430, 6.000316, -40.406345
1329.229980, 4.763940, -4.545550, 6.584614, -43.656155
1093.670044, 4.988510, -5.301840, 7.279748, -46.744053
900.000000, 5.244520, -6.222120, 8.137553, -49.873024
744.828003, 5.522160, -7.256690, 9.118871, -52.729771
617.143005, 5.832240, -8.471960, 10.285384, -55.455822
514.286011, 6.181550, -9.852620, 11.631238, -57.895771
415.385010, 6.655390, -11.775400, 13.526059, -60.525108
342.856995, 7.159950, -13.838700, 15.581223, -62.643593
284.210999, 7.752960, -16.250700, 18.005379, -64.494896
232.257996, 8.489480, -19.290300, 21.075743, -66.246162
191.149994, 9.345090, -22.765499, 24.608913, -67.682175
157.664001, 10.350700, -26.830299, 28.757641, -68.904182
130.119995, 11.564800, -31.622900, 33.671242, -69.912033
106.931000, 13.055400, -37.395199, 39.608639, -70.754906
88.524597, 14.789200, -43.991798, 46.411194, -71.418335
72.973000, 16.962400, -52.027199, 54.722504, -71.942505
60.000000, 19.846800, -60.654701, 63.819183, -71.881416
49.541302, 23.142000, -71.187103, 74.854233, -71.991325
40.601501, 27.325001, -83.947403, 88.282631, -71.969849
33.540401, 31.643999, -98.050598, 103.030396, -72.113487
27.551001, 37.946602, -115.336998, 121.418976, -71.788467
22.689100, 45.369701, -134.761993, 142.194244, -71.393402
18.750000, 54.088001, -156.651001, 165.725830, -70.951378
15.517200, 64.166199, -181.365005, 192.381302, -70.516434
12.857100, 75.866096, -209.248993, 222.577637, -70.071198
10.465100, 90.437202, -244.156998, 260.368042, -69.675079
8.653850, 105.925003, -281.657990, 300.917480, -69.389885
7.142860, 123.283997, -324.677002, 347.295410, -69.207588
5.844160, 143.134995, -376.509003, 402.798523, -69.185028
4.838710, 163.585007, -433.348999, 463.196930, -69.318977
3.982300, 186.720001, -502.083008, 535.678772, -69.600288
3.284670, 211.852005, -581.914001, 619.277954, -69.995422
2.694610, 240.378998, -678.789001, 720.094849, -70.499458
2.227720, 270.776001, -789.161011, 834.322937, -71.061935
1.829270, 306.183014, -924.710999, 974.083435, -71.679657
1.510070, 345.602997, -1081.500000, 1135.378174, -72.278267
1.243090, 391.436005, -1270.130005, 1329.079468, -72.871452
1.022730, 445.253998, -1495.930054, 1560.787598, -73.424690
0.845865, 505.631012, -1753.640015, 1825.079712, -73.916031
0.694444, 580.164978, -2072.530029, 2152.201660, -74.361435
0.573980, 647.260010, -2442.330078, 2526.642334, -75.156845
0.472689, 748.288025, -2885.879883, 2981.314697, -75.463753
0.390625, 865.142029, -3432.520020, 3539.867676, -75.853661
0.321429, 1014.599976, -4059.889893, 4184.748535, -75.968697
0.264085, 1213.510010, -4758.779785, 4911.068359, -75.694206
0.218023, 1392.930054, -5708.890137, 5876.366211, -76.288132
0.179426, 1693.069946, -6718.250000, 6928.301758, -75.855408
0.147638, 2043.760010, -7947.350098, 8205.932617, -75.578171
0.121753, 2483.679932, -9376.219727, 9699.595703, -75.163589
0.100446, 3042.479980, -11042.099609, 11453.586914, -74.595268
