Freq (Hz),	Z'(Ohm.cm^2),	Z''(Ohm.cm^2),	MOD(Ohm.cm^2),	Angle(Degree)
307200.000000, 209.326004, 50.132198, 215.245468, 13.468286
276480.000000, 203.130005, 44.539200, 207.955612, 12.367218
197486.000000, 196.417999, 33.397999, 199.237183, 9.650013
153600.000000, 192.498993, 24.930599, 194.106674, 7.379318
125673.000000, 191.565002, 21.104300, 192.724014, 6.286799
98742.898438, 190.306000, 15.294900, 190.919632, 4.594988
76800.000000, 189.360001, 11.206400, 189.691315, 3.386837
60104.300781, 189.862000, 8.529560, 190.053497, 2.572286
49371.398438, 190.348007, 6.460850, 190.457626, 1.944004
38400.000000, 189.626007, 3.734990, 189.662781, 1.128387
30052.199219, 190.054001, 0.408594, 190.054443, 0.123179
23834.500000, 190.427994, 1.960910, 190.438080, 0.589976
18681.099609, 190.104004, 2.106090, 190.115677, 0.634732
14706.400391, 191.061996, -0.720219, 191.063354, -0.215979
11520.000000, 190.817001, -0.692282, 190.818253, -0.207868
9600.000000, 192.115997, -0.975661, 192.118469, -0.290974
7513.040039, 192.899002, -2.105410, 192.910492, -0.625334
5760.000000, 193.830994, -3.283150, 193.858795, -0.970395
4547.370117, 192.845993, -4.711800, 192.903549, -1.399627
3600.000000, 193.220001, -5.699570, 193.304047, -1.689611
2880.000000, 193.117996, -6.519510, 193.228012, -1.933526
2273.679932, 194.438995, -8.757730, 194.636124, -2.578917
1781.439941, 195.626999, -11.006200, 195.936371, -3.220132
1416.390015, 197.598007, -13.631100, 198.067612, -3.946240
1122.079956, 196.932999, -16.420000, 197.616348, -4.766218
900.000000, 199.195007, -19.629601, 200.159866, -5.628021
720.000000, 200.528000, -23.632900, 201.915802, -6.721496
568.421021, 202.358002, -28.868700, 204.406860, -8.119118
440.816010, 204.703003, -35.625801, 207.779968, -9.872675
354.097992, 207.255997, -42.705002, 211.609940, -11.642823
276.923004, 210.891998, -52.136002, 217.240875, -13.886049
220.408005, 215.011993, -62.657700, 223.955673, -16.246910
174.194000, 220.266998, -75.524300, 232.855042, -18.925617
137.580002, 226.539001, -90.947502, 244.113434, -21.873739
109.091003, 233.882996, -109.199997, 258.119934, -25.027874
87.096802, 242.761002, -130.229996, 275.486389, -28.211493
68.354401, 254.470993, -158.171997, 299.622864, -31.863918
54.545502, 263.864014, -183.634003, 321.474213, -34.835674
42.857101, 277.500000, -220.817001, 354.635590, -38.510563
33.962299, 290.295013, -264.838013, 392.950867, -42.374393
26.865700, 309.016998, -318.377991, 443.684631, -45.854813
21.343901, 329.261993, -381.674011, 504.071930, -49.216362
17.307699, 349.838989, -451.290985, 571.008667, -52.217300
13.636400, 376.925995, -547.318970, 664.553406, -55.445713
10.714300, 408.205994, -667.112000, 782.093689, -58.537529
8.490570, 444.855988, -809.560974, 923.734680, -61.211082
6.716420, 489.230988, -985.758972, 1100.485229, -63.604855
5.294120, 544.943970, -1205.410034, 1322.867065, -65.673134
4.166670, 614.960022, -1478.420044, 1601.218872, -67.414757
3.308820, 700.122009, -1798.550049, 1930.013672, -68.730522
2.616280, 810.703003, -2197.129883, 2341.926270, -69.746819
2.073730, 950.164978, -2677.199951, 2840.812012, -70.459717
1.642340, 1128.719971, -3260.629883, 3450.466064, -70.905876
1.300580, 1360.250000, -3962.209961, 4189.198730, -71.052353
1.032110, 1656.390015, -4801.470215, 5079.147949, -70.966812
0.815217, 2034.319946, -5808.080078, 6154.043457, -70.696846
0.646552, 2514.820068, -6992.160156, 7430.654297, -70.218224
0.511364, 3034.739990, -8433.500000, 8962.899414, -70.209068
0.407609, 3750.340088, -10043.099609, 10720.490234, -69.523132
0.321429, 4686.470215, -12156.400391, 13028.471680, -68.917610
0.254525, 5796.549805, -14405.200195, 15527.709961, -68.080505
0.201613, 7085.020020, -17063.599609, 18476.037109, -67.451157
0.159574, 8592.389648, -20191.699219, 21943.880859, -66.948273
0.126689, 10331.599609, -23522.300781, 25691.253906, -66.287689
0.100446, 12270.000000, -28795.500000, 31300.697266, -66.920753
