June 11, 2026   12:53:04
A.C. Impedance
File: e:\chi_data\Data Source:  Experiment
Instrument Model:  CHI660E
Header: 
Note: 

Init E (V) = 0
High Frequency (Hz) = 1e+6
Low Frequency (Hz) = 0.1
Imp SF
Amplitude (V) = 0.005
Quiet Time (sec) = 2
Cycles (.1-1Hz) = 1

Freq/Hz, Z'/ohm, Z"/ohm, Z/ohm, Phase/deg

8.252e+5, 4.277e+0, 1.358e+1, 1.423e+1, 72.5
6.816e+5, 3.698e+0, 1.116e+1, 1.176e+1, 71.7
5.625e+5, 3.117e+0, 9.235e+0, 9.747e+0, 71.3
4.639e+5, 2.859e+0, 7.599e+0, 8.119e+0, 69.4
3.828e+5, 2.670e+0, 6.313e+0, 6.854e+0, 67.1
3.164e+5, 2.563e+0, 5.231e+0, 5.825e+0, 63.9
2.607e+5, 2.466e+0, 4.341e+0, 4.992e+0, 60.4
2.158e+5, 2.396e+0, 3.587e+0, 4.313e+0, 56.3
1.777e+5, 2.340e+0, 2.948e+0, 3.764e+0, 51.6
1.465e+5, 2.302e+0, 2.412e+0, 3.334e+0, 46.3
1.211e+5, 2.264e+0, 1.974e+0, 3.004e+0, 41.1
9.961e+4, 2.240e+0, 1.606e+0, 2.756e+0, 35.6
8.252e+4, 2.224e+0, 1.300e+0, 2.576e+0, 30.3
6.812e+4, 2.207e+0, 9.628e-1, 2.408e+0, 23.6
5.625e+4, 2.189e+0, 6.279e-1, 2.277e+0, 16.0
4.644e+4, 2.184e+0, 3.825e-1, 2.217e+0, 9.9
3.833e+4, 2.186e+0, 2.129e-1, 2.197e+0, 5.6
3.164e+4, 2.194e+0, 9.780e-2, 2.196e+0, 2.6
2.612e+4, 2.205e+0, 1.598e-3, 2.205e+0, 0.0
2.153e+4, 2.220e+0, -9.154e-2, 2.222e+0, -2.4
1.777e+4, 2.237e+0, -1.910e-1, 2.245e+0, -4.9
1.470e+4, 2.255e+0, -2.984e-1, 2.275e+0, -7.5
1.211e+4, 2.276e+0, -4.171e-1, 2.314e+0, -10.4
1.001e+4, 2.302e+0, -5.438e-1, 2.365e+0, -13.3
8.252e+3, 2.332e+0, -6.800e-1, 2.429e+0, -16.3
6.812e+3, 2.367e+0, -8.294e-1, 2.508e+0, -19.3
5.625e+3, 2.417e+0, -9.946e-1, 2.614e+0, -22.4
4.643e+3, 2.480e+0, -1.184e+0, 2.748e+0, -25.5
3.833e+3, 2.545e+0, -1.410e+0, 2.910e+0, -29.0
3.164e+3, 2.615e+0, -1.675e+0, 3.106e+0, -32.7
2.612e+3, 2.690e+0, -1.988e+0, 3.345e+0, -36.5
2.153e+3, 2.776e+0, -2.354e+0, 3.639e+0, -40.3
1.777e+3, 2.876e+0, -2.781e+0, 4.001e+0, -44.0
1.470e+3, 2.995e+0, -3.282e+0, 4.443e+0, -47.6
1.211e+3, 3.135e+0, -3.869e+0, 4.980e+0, -51.0
1.001e+3, 3.299e+0, -4.558e+0, 5.626e+0, -54.1
8.252e+2, 3.490e+0, -5.365e+0, 6.401e+0, -57.0
6.836e+2, 3.718e+0, -6.325e+0, 7.337e+0, -59.6
5.615e+2, 3.991e+0, -7.466e+0, 8.466e+0, -61.9
4.639e+2, 4.317e+0, -8.819e+0, 9.819e+0, -63.9
3.809e+2, 4.702e+0, -1.039e+1, 1.140e+1, -65.7
3.174e+2, 5.164e+0, -1.225e+1, 1.329e+1, -67.1
2.588e+2, 5.719e+0, -1.443e+1, 1.552e+1, -68.4
2.148e+2, 6.381e+0, -1.700e+1, 1.816e+1, -69.4
1.758e+2, 7.173e+0, -2.002e+1, 2.126e+1, -70.3
1.465e+2, 8.097e+0, -2.345e+1, 2.481e+1, -71.0
1.221e+2, 9.235e+0, -2.765e+1, 2.915e+1, -71.5
9.766e+1, 1.065e+1, -3.248e+1, 3.418e+1, -71.9
8.254e+1, 1.230e+1, -3.794e+1, 3.988e+1, -72.0
6.813e+1, 1.416e+1, -4.440e+1, 4.661e+1, -72.3
5.623e+1, 1.625e+1, -5.196e+1, 5.444e+1, -72.6
4.642e+1, 1.865e+1, -6.086e+1, 6.365e+1, -73.0
3.831e+1, 2.143e+1, -7.135e+1, 7.450e+1, -73.3
3.162e+1, 2.460e+1, -8.368e+1, 8.722e+1, -73.6
2.610e+1, 2.819e+1, -9.811e+1, 1.021e+2, -74.0
2.154e+1, 3.222e+1, -1.150e+2, 1.194e+2, -74.3
1.778e+1, 3.678e+1, -1.350e+2, 1.399e+2, -74.8
1.468e+1, 4.190e+1, -1.588e+2, 1.642e+2, -75.2
1.212e+1, 4.755e+1, -1.868e+2, 1.928e+2, -75.7
1.000e+1, 5.405e+1, -2.200e+2, 2.265e+2, -76.2
8.254e+0, 6.142e+1, -2.595e+2, 2.667e+2, -76.7
6.813e+0, 6.933e+1, -3.068e+2, 3.145e+2, -77.3
5.623e+0, 7.786e+1, -3.633e+2, 3.715e+2, -77.9
4.642e+0, 8.713e+1, -4.311e+2, 4.398e+2, -78.6
3.831e+0, 9.777e+1, -5.120e+2, 5.212e+2, -79.2
3.162e+0, 1.098e+2, -6.094e+2, 6.192e+2, -79.8
2.610e+0, 1.240e+2, -7.266e+2, 7.371e+2, -80.3
2.154e+0, 1.384e+2, -8.695e+2, 8.805e+2, -81.0
1.778e+0, 1.546e+2, -1.042e+3, 1.053e+3, -81.6
1.468e+0, 1.770e+2, -1.247e+3, 1.259e+3, -81.9
1.212e+0, 2.079e+2, -1.493e+3, 1.507e+3, -82.1
1.000e+0, 2.480e+2, -1.778e+3, 1.795e+3, -82.1
8.254e-1, 3.005e+2, -2.107e+3, 2.128e+3, -81.9
6.813e-1, 3.672e+2, -2.498e+3, 2.525e+3, -81.6
5.623e-1, 4.476e+2, -2.967e+3, 3.001e+3, -81.4
4.642e-1, 5.476e+2, -3.528e+3, 3.570e+3, -81.2
3.831e-1, 6.743e+2, -4.196e+3, 4.250e+3, -80.9
3.162e-1, 8.383e+2, -4.989e+3, 5.059e+3, -80.5
2.610e-1, 1.050e+3, -5.923e+3, 6.015e+3, -79.9
2.154e-1, 1.320e+3, -7.022e+3, 7.145e+3, -79.4
1.778e-1, 1.662e+3, -8.305e+3, 8.469e+3, -78.7
1.468e-1, 2.094e+3, -9.777e+3, 9.999e+3, -77.9
1.212e-1, 2.657e+3, -1.151e+4, 1.181e+4, -77.0
1.000e-1, 3.368e+3, -1.352e+4, 1.394e+4, -76.0
