June 12, 2026   11:13:16
A.C. Impedance
File: e:\chi_data\Data Source:  Experiment
Instrument Model:  CHI660E
Header: 
Note: 

Init E (V) = 0
High Frequency (Hz) = 1e+6
Low Frequency (Hz) = 0.1
Imp SF
Amplitude (V) = 0.005
Quiet Time (sec) = 2
Cycles (.1-1Hz) = 1

Freq/Hz, Z'/ohm, Z"/ohm, Z/ohm, Phase/deg

8.252e+5, 3.366e+0, 1.420e+1, 1.459e+1, 76.7
6.816e+5, 2.804e+0, 1.159e+1, 1.192e+1, 76.4
5.625e+5, 2.161e+0, 9.622e+0, 9.861e+0, 77.3
4.639e+5, 1.905e+0, 7.910e+0, 8.136e+0, 76.5
3.828e+5, 1.695e+0, 6.592e+0, 6.806e+0, 75.6
3.164e+5, 1.596e+0, 5.467e+0, 5.695e+0, 73.7
2.607e+5, 1.485e+0, 4.542e+0, 4.778e+0, 71.9
2.158e+5, 1.406e+0, 3.742e+0, 3.998e+0, 69.4
1.777e+5, 1.348e+0, 3.074e+0, 3.356e+0, 66.3
1.465e+5, 1.310e+0, 2.514e+0, 2.834e+0, 62.5
1.211e+5, 1.268e+0, 1.918e+0, 2.299e+0, 56.5
9.961e+4, 1.237e+0, 1.338e+0, 1.822e+0, 47.2
8.252e+4, 1.216e+0, 9.361e-1, 1.535e+0, 37.6
6.812e+4, 1.208e+0, 6.706e-1, 1.382e+0, 29.0
5.625e+4, 1.208e+0, 5.029e-1, 1.309e+0, 22.6
4.644e+4, 1.211e+0, 3.650e-1, 1.264e+0, 16.8
3.833e+4, 1.216e+0, 2.391e-1, 1.239e+0, 11.1
3.164e+4, 1.224e+0, 1.159e-1, 1.229e+0, 5.4
2.612e+4, 1.235e+0, -5.254e-3, 1.235e+0, -0.2
2.153e+4, 1.248e+0, -1.253e-1, 1.254e+0, -5.7
1.777e+4, 1.264e+0, -2.445e-1, 1.287e+0, -10.9
1.470e+4, 1.282e+0, -3.677e-1, 1.334e+0, -16.0
1.211e+4, 1.304e+0, -4.991e-1, 1.396e+0, -20.9
1.001e+4, 1.330e+0, -6.431e-1, 1.478e+0, -25.8
8.252e+3, 1.360e+0, -8.034e-1, 1.579e+0, -30.6
6.812e+3, 1.394e+0, -9.840e-1, 1.706e+0, -35.2
5.625e+3, 1.433e+0, -1.190e+0, 1.863e+0, -39.7
4.643e+3, 1.479e+0, -1.429e+0, 2.056e+0, -44.0
3.833e+3, 1.534e+0, -1.707e+0, 2.295e+0, -48.1
3.164e+3, 1.606e+0, -2.037e+0, 2.593e+0, -51.7
2.612e+3, 1.695e+0, -2.428e+0, 2.961e+0, -55.1
2.153e+3, 1.796e+0, -2.889e+0, 3.402e+0, -58.1
1.777e+3, 1.912e+0, -3.430e+0, 3.927e+0, -60.9
1.470e+3, 2.047e+0, -4.066e+0, 4.552e+0, -63.3
1.211e+3, 2.209e+0, -4.814e+0, 5.297e+0, -65.4
1.001e+3, 2.403e+0, -5.695e+0, 6.181e+0, -67.1
8.252e+2, 2.638e+0, -6.727e+0, 7.226e+0, -68.6
6.836e+2, 2.922e+0, -7.952e+0, 8.471e+0, -69.8
5.615e+2, 3.263e+0, -9.402e+0, 9.952e+0, -70.9
4.639e+2, 3.676e+0, -1.112e+1, 1.171e+1, -71.7
3.809e+2, 4.165e+0, -1.311e+1, 1.375e+1, -72.4
3.174e+2, 4.753e+0, -1.544e+1, 1.616e+1, -72.9
2.588e+2, 5.459e+0, -1.818e+1, 1.899e+1, -73.3
2.148e+2, 6.317e+0, -2.144e+1, 2.235e+1, -73.6
1.758e+2, 7.337e+0, -2.526e+1, 2.630e+1, -73.8
1.465e+2, 8.500e+0, -2.957e+1, 3.076e+1, -74.0
1.221e+2, 9.934e+0, -3.482e+1, 3.621e+1, -74.1
9.766e+1, 1.170e+1, -4.087e+1, 4.251e+1, -74.0
8.254e+1, 1.371e+1, -4.769e+1, 4.962e+1, -74.0
6.813e+1, 1.596e+1, -5.575e+1, 5.799e+1, -74.0
5.623e+1, 1.844e+1, -6.522e+1, 6.778e+1, -74.2
4.642e+1, 2.120e+1, -7.643e+1, 7.932e+1, -74.5
3.831e+1, 2.433e+1, -8.970e+1, 9.294e+1, -74.8
3.162e+1, 2.782e+1, -1.053e+2, 1.090e+2, -75.2
2.610e+1, 3.178e+1, -1.239e+2, 1.279e+2, -75.6
2.154e+1, 3.627e+1, -1.460e+2, 1.504e+2, -76.0
1.778e+1, 4.135e+1, -1.721e+2, 1.770e+2, -76.5
1.468e+1, 4.715e+1, -2.033e+2, 2.087e+2, -76.9
1.212e+1, 5.370e+1, -2.402e+2, 2.461e+2, -77.4
1.000e+1, 6.138e+1, -2.840e+2, 2.906e+2, -77.8
8.254e+0, 7.023e+1, -3.363e+2, 3.436e+2, -78.2
6.813e+0, 8.012e+1, -3.988e+2, 4.067e+2, -78.6
5.623e+0, 9.126e+1, -4.732e+2, 4.819e+2, -79.1
4.642e+0, 1.038e+2, -5.621e+2, 5.716e+2, -79.5
3.831e+0, 1.184e+2, -6.681e+2, 6.785e+2, -79.9
3.162e+0, 1.352e+2, -7.954e+2, 8.068e+2, -80.4
2.610e+0, 1.551e+2, -9.482e+2, 9.608e+2, -80.7
2.154e+0, 1.747e+2, -1.133e+3, 1.147e+3, -81.2
1.778e+0, 1.949e+2, -1.356e+3, 1.370e+3, -81.8
1.468e+0, 2.215e+2, -1.621e+3, 1.636e+3, -82.2
1.212e+0, 2.569e+2, -1.943e+3, 1.960e+3, -82.5
1.000e+0, 3.038e+2, -2.311e+3, 2.331e+3, -82.5
8.254e-1, 3.601e+2, -2.731e+3, 2.754e+3, -82.5
6.813e-1, 4.228e+2, -3.232e+3, 3.260e+3, -82.5
5.623e-1, 4.953e+2, -3.837e+3, 3.868e+3, -82.6
4.642e-1, 5.804e+2, -4.569e+3, 4.606e+3, -82.8
3.831e-1, 6.828e+2, -5.445e+3, 5.488e+3, -82.9
3.162e-1, 8.094e+2, -6.490e+3, 6.540e+3, -82.9
2.610e-1, 9.673e+2, -7.733e+3, 7.793e+3, -82.9
2.154e-1, 1.161e+3, -9.209e+3, 9.282e+3, -82.8
1.778e-1, 1.396e+3, -1.096e+4, 1.105e+4, -82.7
1.468e-1, 1.673e+3, -1.298e+4, 1.309e+4, -82.7
1.212e-1, 2.036e+3, -1.545e+4, 1.558e+4, -82.5
1.000e-1, 2.505e+3, -1.842e+4, 1.859e+4, -82.3
