June 12, 2026   08:15:58
A.C. Impedance
File: e:\chi_data\Data Source:  Experiment
Instrument Model:  CHI660E
Header: 
Note: 

Init E (V) = 0
High Frequency (Hz) = 1e+6
Low Frequency (Hz) = 0.1
Imp SF
Amplitude (V) = 0.005
Quiet Time (sec) = 2
Cycles (.1-1Hz) = 1

Freq/Hz, Z'/ohm, Z"/ohm, Z/ohm, Phase/deg

8.252e+5, 3.352e+0, 1.421e+1, 1.460e+1, 76.7
6.816e+5, 2.733e+0, 1.165e+1, 1.196e+1, 76.8
5.625e+5, 2.136e+0, 9.668e+0, 9.901e+0, 77.5
4.639e+5, 1.859e+0, 7.949e+0, 8.164e+0, 76.8
3.828e+5, 1.661e+0, 6.617e+0, 6.823e+0, 75.9
3.164e+5, 1.555e+0, 5.482e+0, 5.698e+0, 74.2
2.607e+5, 1.452e+0, 4.558e+0, 4.784e+0, 72.3
2.158e+5, 1.374e+0, 3.767e+0, 4.010e+0, 70.0
1.777e+5, 1.314e+0, 3.099e+0, 3.367e+0, 67.0
1.465e+5, 1.272e+0, 2.538e+0, 2.839e+0, 63.4
1.211e+5, 1.228e+0, 1.941e+0, 2.296e+0, 57.7
9.961e+4, 1.194e+0, 1.361e+0, 1.811e+0, 48.7
8.252e+4, 1.172e+0, 9.614e-1, 1.516e+0, 39.4
6.812e+4, 1.164e+0, 7.019e-1, 1.359e+0, 31.1
5.625e+4, 1.161e+0, 5.401e-1, 1.281e+0, 24.9
4.644e+4, 1.163e+0, 4.095e-1, 1.233e+0, 19.4
3.833e+4, 1.168e+0, 2.917e-1, 1.204e+0, 14.0
3.164e+4, 1.175e+0, 1.768e-1, 1.188e+0, 8.6
2.612e+4, 1.184e+0, 6.556e-2, 1.186e+0, 3.2
2.153e+4, 1.194e+0, -4.284e-2, 1.195e+0, -2.1
1.777e+4, 1.205e+0, -1.482e-1, 1.214e+0, -7.0
1.470e+4, 1.218e+0, -2.563e-1, 1.245e+0, -11.9
1.211e+4, 1.234e+0, -3.686e-1, 1.288e+0, -16.6
1.001e+4, 1.253e+0, -4.898e-1, 1.346e+0, -21.3
8.252e+3, 1.277e+0, -6.246e-1, 1.421e+0, -26.1
6.812e+3, 1.304e+0, -7.749e-1, 1.517e+0, -30.7
5.625e+3, 1.336e+0, -9.460e-1, 1.637e+0, -35.3
4.643e+3, 1.373e+0, -1.142e+0, 1.786e+0, -39.8
3.833e+3, 1.417e+0, -1.369e+0, 1.970e+0, -44.0
3.164e+3, 1.469e+0, -1.633e+0, 2.197e+0, -48.0
2.612e+3, 1.532e+0, -1.944e+0, 2.475e+0, -51.8
2.153e+3, 1.616e+0, -2.316e+0, 2.824e+0, -55.1
