June 13, 2026   03:01:44
A.C. Impedance
File: e:\chi_data\Data Source:  Experiment
Instrument Model:  CHI660E
Header: 
Note: 

Init E (V) = 0
High Frequency (Hz) = 1e+6
Low Frequency (Hz) = 0.1
Imp SF
Amplitude (V) = 0.005
Quiet Time (sec) = 2
Cycles (.1-1Hz) = 1

Freq/Hz, Z'/ohm, Z"/ohm, Z/ohm, Phase/deg

8.252e+5, 1.466e+1, 1.299e+1, 1.959e+1, 41.5
6.816e+5, 1.413e+1, 1.037e+1, 1.753e+1, 36.3
5.625e+5, 1.353e+1, 8.646e+0, 1.606e+1, 32.6
4.639e+5, 1.335e+1, 6.995e+0, 1.507e+1, 27.7
3.828e+5, 1.322e+1, 5.828e+0, 1.444e+1, 23.8
3.164e+5, 1.317e+1, 4.799e+0, 1.402e+1, 20.0
2.607e+5, 1.309e+1, 4.012e+0, 1.369e+1, 17.0
2.158e+5, 1.303e+1, 3.314e+0, 1.344e+1, 14.3
1.777e+5, 1.301e+1, 2.679e+0, 1.328e+1, 11.6
1.465e+5, 1.300e+1, 2.144e+0, 1.318e+1, 9.4
1.211e+5, 1.296e+1, 1.743e+0, 1.308e+1, 7.7
9.961e+4, 1.293e+1, 1.416e+0, 1.301e+1, 6.3
8.252e+4, 1.291e+1, 1.153e+0, 1.296e+1, 5.1
6.812e+4, 1.290e+1, 9.097e-1, 1.293e+1, 4.0
5.625e+4, 1.290e+1, 6.896e-1, 1.292e+1, 3.1
4.644e+4, 1.292e+1, 4.697e-1, 1.293e+1, 2.1
3.833e+4, 1.294e+1, 2.588e-1, 1.294e+1, 1.1
3.164e+4, 1.296e+1, 8.066e-2, 1.296e+1, 0.4
2.612e+4, 1.299e+1, -8.494e-2, 1.299e+1, -0.4
2.153e+4, 1.301e+1, -2.420e-1, 1.302e+1, -1.1
1.777e+4, 1.304e+1, -3.980e-1, 1.305e+1, -1.7
1.470e+4, 1.308e+1, -5.711e-1, 1.309e+1, -2.5
1.211e+4, 1.312e+1, -7.604e-1, 1.314e+1, -3.3
1.001e+4, 1.316e+1, -9.638e-1, 1.320e+1, -4.2
8.252e+3, 1.322e+1, -1.187e+0, 1.327e+1, -5.1
6.812e+3, 1.328e+1, -1.441e+0, 1.336e+1, -6.2
5.625e+3, 1.335e+1, -1.737e+0, 1.346e+1, -7.4
4.643e+3, 1.343e+1, -2.080e+0, 1.359e+1, -8.8
3.833e+3, 1.353e+1, -2.479e+0, 1.375e+1, -10.4
3.164e+3, 1.364e+1, -2.946e+0, 1.395e+1, -12.2
2.612e+3, 1.377e+1, -3.495e+0, 1.420e+1, -14.2
2.153e+3, 1.392e+1, -4.137e+0, 1.452e+1, -16.6
1.777e+3, 1.409e+1, -4.886e+0, 1.492e+1, -19.1
