June 14, 2026   12:01:56
A.C. Impedance
File: e:\chi_data\6.14Data Source:  Experiment
Instrument Model:  CHI660E
Ref. Electrode: 
Header: 
Note: 

Init E (V) = 0
High Frequency (Hz) = 1e+6
Low Frequency (Hz) = 0.1
Imp SF
Amplitude (V) = 0.005
Quiet Time (sec) = 2
Cycles (.1-1Hz) = 1

Freq/Hz	Z'/ohm	Z"/ohm	Z/ohm	Phase/deg

8.252e+5	3.784e+0	1.402e+1	1.453e+1	74.9
6.816e+5	3.240e+0	1.147e+1	1.191e+1	74.2
5.625e+5	2.678e+0	9.472e+0	9.844e+0	74.2
4.639e+5	2.421e+0	7.775e+0	8.143e+0	72.7
3.828e+5	2.230e+0	6.451e+0	6.825e+0	70.9
3.164e+5	2.126e+0	5.327e+0	5.736e+0	68.2
2.607e+5	2.030e+0	4.405e+0	4.850e+0	65.3
2.158e+5	1.964e+0	3.612e+0	4.111e+0	61.5
1.777e+5	1.921e+0	2.930e+0	3.504e+0	56.8
1.465e+5	1.899e+0	2.351e+0	3.022e+0	51.1
1.211e+5	1.875e+0	1.876e+0	2.653e+0	45.0
9.961e+4	1.859e+0	1.370e+0	2.310e+0	36.4
8.252e+4	1.850e+0	8.788e-1	2.048e+0	25.4
6.812e+4	1.858e+0	5.267e-1	1.931e+0	15.8
5.625e+4	1.874e+0	2.840e-1	1.895e+0	8.6
4.644e+4	1.898e+0	1.149e-1	1.901e+0	3.5
3.833e+4	1.932e+0	-2.731e-2	1.932e+0	-0.8
3.164e+4	1.971e+0	-1.625e-1	1.978e+0	-4.7
2.612e+4	2.016e+0	-2.980e-1	2.038e+0	-8.4
2.153e+4	2.065e+0	-4.335e-1	2.110e+0	-11.9
1.777e+4	2.120e+0	-5.709e-1	2.196e+0	-15.1
1.470e+4	2.179e+0	-7.143e-1	2.293e+0	-18.1
1.211e+4	2.241e+0	-8.702e-1	2.404e+0	-21.2
1.001e+4	2.316e+0	-1.029e+0	2.535e+0	-24.0
8.252e+3	2.403e+0	-1.202e+0	2.687e+0	-26.6
6.812e+3	2.493e+0	-1.405e+0	2.861e+0	-29.4
5.625e+3	2.583e+0	-1.643e+0	3.062e+0	-32.5
4.643e+3	2.678e+0	-1.921e+0	3.296e+0	-35.7
3.833e+3	2.780e+0	-2.243e+0	3.572e+0	-38.9
3.164e+3	2.893e+0	-2.616e+0	3.901e+0	-42.1
2.612e+3	3.021e+0	-3.053e+0	4.294e+0	-45.3
2.153e+3	3.162e+0	-3.566e+0	4.766e+0	-48.4
1.777e+3	3.320e+0	-4.169e+0	5.330e+0	-51.5
1.470e+3	3.496e+0	-4.882e+0	6.005e+0	-54.4
1.211e+3	3.697e+0	-5.725e+0	6.815e+0	-57.1
1.001e+3	3.930e+0	-6.722e+0	7.787e+0	-59.7
8.252e+2	4.200e+0	-7.897e+0	8.944e+0	-62.0
6.836e+2	4.514e+0	-9.296e+0	1.033e+1	-64.1
5.615e+2	4.880e+0	-1.096e+1	1.200e+1	-66.0
4.639e+2	5.314e+0	-1.294e+1	1.399e+1	-67.7
3.809e+2	5.817e+0	-1.526e+1	1.633e+1	-69.1
3.174e+2	6.415e+0	-1.800e+1	1.911e+1	-70.4
2.588e+2	7.143e+0	-2.129e+1	2.245e+1	-71.5
2.148e+2	8.035e+0	-2.522e+1	2.647e+1	-72.3
1.758e+2	9.097e+0	-2.983e+1	3.118e+1	-73.0
1.465e+2	1.033e+1	-3.508e+1	3.657e+1	-73.6
1.221e+2	1.192e+1	-4.154e+1	4.322e+1	-74.0
9.766e+1	1.395e+1	-4.904e+1	5.099e+1	-74.1
8.254e+1	1.638e+1	-5.752e+1	5.980e+1	-74.1
6.813e+1	1.924e+1	-6.757e+1	7.025e+1	-74.1
5.623e+1	2.258e+1	-7.935e+1	8.250e+1	-74.1
4.642e+1	2.656e+1	-9.318e+1	9.689e+1	-74.1
3.831e+1	3.129e+1	-1.093e+2	1.137e+2	-74.0
3.162e+1	3.685e+1	-1.281e+2	1.333e+2	-73.9
2.610e+1	4.332e+1	-1.500e+2	1.561e+2	-73.9
2.154e+1	5.073e+1	-1.754e+2	1.826e+2	-73.9
1.778e+1	5.911e+1	-2.050e+2	2.134e+2	-73.9
1.468e+1	6.843e+1	-2.396e+2	2.492e+2	-74.1
1.212e+1	7.877e+1	-2.803e+2	2.911e+2	-74.3
1.000e+1	9.055e+1	-3.282e+2	3.405e+2	-74.6
