June 14, 2026   22:50:40
A.C. Impedance
File: e:\chi_data\Data Source:  Experiment
Instrument Model:  CHI660E
Ref. Electrode: 
Header: 
Note: 

Init E (V) = 0
High Frequency (Hz) = 1e+6
Low Frequency (Hz) = 0.1
Imp SF
Amplitude (V) = 0.005
Quiet Time (sec) = 2
Cycles (.1-1Hz) = 1

Freq/Hz	Z'/ohm	Z"/ohm	Z/ohm	Phase/deg

8.252e+5	7.946e+1	-4.351e+0	7.958e+1	-3.1
6.816e+5	8.129e+1	-6.221e+0	8.152e+1	-4.4
5.625e+5	8.129e+1	-5.639e+0	8.148e+1	-4.0
4.639e+5	8.288e+1	-5.826e+0	8.309e+1	-4.0
3.828e+5	8.398e+1	-5.227e+0	8.414e+1	-3.6
3.164e+5	8.523e+1	-4.929e+0	8.537e+1	-3.3
2.607e+5	8.592e+1	-4.412e+0	8.603e+1	-2.9
2.158e+5	8.649e+1	-4.105e+0	8.659e+1	-2.7
1.777e+5	8.706e+1	-4.168e+0	8.716e+1	-2.7
1.465e+5	8.756e+1	-4.194e+0	8.766e+1	-2.7
1.211e+5	8.779e+1	-2.663e+0	8.783e+1	-1.7
9.961e+4	8.798e+1	-5.946e-1	8.799e+1	-0.4
8.252e+4	8.819e+1	4.145e-1	8.819e+1	0.3
6.812e+4	8.847e+1	3.896e-1	8.847e+1	0.3
5.625e+4	8.875e+1	-3.764e-1	8.875e+1	-0.2
4.644e+4	8.907e+1	-1.413e+0	8.908e+1	-0.9
3.833e+4	8.941e+1	-2.383e+0	8.944e+1	-1.5
3.164e+4	8.976e+1	-3.221e+0	8.982e+1	-2.1
2.612e+4	9.020e+1	-3.982e+0	9.029e+1	-2.5
2.153e+4	9.072e+1	-4.729e+0	9.085e+1	-3.0
1.777e+4	9.132e+1	-5.505e+0	9.149e+1	-3.4
1.470e+4	9.192e+1	-6.348e+0	9.214e+1	-4.0
1.211e+4	9.258e+1	-7.260e+0	9.286e+1	-4.5
1.001e+4	9.336e+1	-8.275e+0	9.373e+1	-5.1
8.252e+3	9.427e+1	-9.423e+0	9.474e+1	-5.7
6.812e+3	9.528e+1	-1.066e+1	9.587e+1	-6.4
5.625e+3	9.643e+1	-1.201e+1	9.717e+1	-7.1
4.643e+3	9.773e+1	-1.346e+1	9.865e+1	-7.8
3.833e+3	9.915e+1	-1.506e+1	1.003e+2	-8.6
3.164e+3	1.007e+2	-1.680e+1	1.021e+2	-9.5
2.612e+3	1.024e+2	-1.872e+1	1.041e+2	-10.4
2.153e+3	1.043e+2	-2.082e+1	1.063e+2	-11.3
1.777e+3	1.063e+2	-2.311e+1	1.088e+2	-12.3
1.470e+3	1.086e+2	-2.565e+1	1.116e+2	-13.3
1.211e+3	1.110e+2	-2.845e+1	1.146e+2	-14.4
1.001e+3	1.137e+2	-3.146e+1	1.180e+2	-15.5
8.252e+2	1.165e+2	-3.478e+1	1.216e+2	-16.6
6.836e+2	1.196e+2	-3.865e+1	1.257e+2	-17.9
5.615e+2	1.230e+2	-4.313e+1	1.303e+2	-19.3
4.639e+2	1.267e+2	-4.832e+1	1.356e+2	-20.9
3.809e+2	1.306e+2	-5.413e+1	1.414e+2	-22.5
3.174e+2	1.350e+2	-6.078e+1	1.480e+2	-24.2
