June 13, 2026   23:36:21
A.C. Impedance
File: e:\chi_data\6.13Data Source:  Experiment
Instrument Model:  CHI660E
Ref. Electrode: 
Header: 
Note: 

Init E (V) = 0
High Frequency (Hz) = 1e+6
Low Frequency (Hz) = 0.1
Imp SF
Amplitude (V) = 0.005
Quiet Time (sec) = 2
Cycles (.1-1Hz) = 1

Freq/Hz	Z'/ohm	Z"/ohm	Z/ohm	Phase/deg

8.252e+5	3.163e+0	1.415e+1	1.450e+1	77.4
6.816e+5	2.518e+0	1.155e+1	1.182e+1	77.7
5.625e+5	1.948e+0	9.643e+0	9.838e+0	78.6
4.639e+5	1.637e+0	7.914e+0	8.081e+0	78.3
3.828e+5	1.442e+0	6.592e+0	6.747e+0	77.7
3.164e+5	1.328e+0	5.444e+0	5.604e+0	76.3
2.607e+5	1.223e+0	4.527e+0	4.689e+0	74.9
2.158e+5	1.141e+0	3.741e+0	3.911e+0	73.0
1.777e+5	1.087e+0	3.079e+0	3.266e+0	70.6
1.465e+5	1.052e+0	2.520e+0	2.731e+0	67.3
1.211e+5	1.019e+0	1.926e+0	2.179e+0	62.1
9.961e+4	9.929e-1	1.348e+0	1.675e+0	53.6
8.252e+4	9.742e-1	9.510e-1	1.361e+0	44.3
6.812e+4	9.652e-1	6.921e-1	1.188e+0	35.6
5.625e+4	9.638e-1	5.318e-1	1.101e+0	28.9
4.644e+4	9.691e-1	4.037e-1	1.050e+0	22.6
3.833e+4	9.760e-1	2.891e-1	1.018e+0	16.5
3.164e+4	9.832e-1	1.775e-1	9.991e-1	10.2
2.612e+4	9.925e-1	6.923e-2	9.949e-1	4.0
2.153e+4	1.004e+0	-3.618e-2	1.004e+0	-2.1
1.777e+4	1.016e+0	-1.389e-1	1.025e+0	-7.8
1.470e+4	1.030e+0	-2.421e-1	1.058e+0	-13.2
1.211e+4	1.048e+0	-3.480e-1	1.104e+0	-18.4
1.001e+4	1.068e+0	-4.618e-1	1.164e+0	-23.4
8.252e+3	1.092e+0	-5.886e-1	1.240e+0	-28.3
6.812e+3	1.119e+0	-7.300e-1	1.336e+0	-33.1
5.625e+3	1.150e+0	-8.899e-1	1.454e+0	-37.7
4.643e+3	1.186e+0	-1.073e+0	1.600e+0	-42.1
3.833e+3	1.229e+0	-1.286e+0	1.778e+0	-46.3
3.164e+3	1.280e+0	-1.533e+0	1.997e+0	-50.2
2.612e+3	1.343e+0	-1.824e+0	2.265e+0	-53.6
2.153e+3	1.424e+0	-2.171e+0	2.597e+0	-56.7
1.777e+3	1.526e+0	-2.583e+0	3.000e+0	-59.4
1.470e+3	1.644e+0	-3.066e+0	3.478e+0	-61.8
1.211e+3	1.782e+0	-3.630e+0	4.044e+0	-63.9
1.001e+3	1.948e+0	-4.287e+0	4.709e+0	-65.6
8.252e+2	2.148e+0	-5.050e+0	5.488e+0	-67.0
6.836e+2	2.391e+0	-5.943e+0	6.406e+0	-68.1
5.615e+2	2.683e+0	-6.992e+0	7.489e+0	-69.0
4.639e+2	3.032e+0	-8.223e+0	8.764e+0	-69.8
3.809e+2	3.435e+0	-9.641e+0	1.023e+1	-70.4
3.174e+2	3.900e+0	-1.130e+1	1.195e+1	-71.0
2.588e+2	4.431e+0	-1.323e+1	1.395e+1	-71.5
2.148e+2	5.030e+0	-1.549e+1	1.628e+1	-72.0
1.758e+2	5.690e+0	-1.811e+1	1.898e+1	-72.6
1.465e+2	6.412e+0	-2.113e+1	2.208e+1	-73.1
1.221e+2	7.266e+0	-2.491e+1	2.595e+1	-73.7
