Material,Clay_Type,n_segments,mean_alpha,std_alpha,MAE_eV,mean_Ea_actual_eV,mean_Ea_predicted_eV,Transfer_Rating
S14,Halloysite,9,1.085,0.464,0.126,0.421,0.421,Excellent (alpha≈1)
S16,Kaolinite,7,0.820,0.291,0.141,0.365,0.470,Good
S13,Bentonite,2,0.573,0.128,0.171,0.316,0.487,Moderate
S6,Sepiolite+Phytic acid,20,1.976,1.823,0.285,0.546,0.411,Chemical specificity
S12,Montmorillonite(?),2,2.658,0.373,0.329,0.533,0.204,Poor (strong confinement)
S15,Unknown,1,2.750,0.000,0.399,0.628,0.228,Poor (strong confinement)
S95,H2SO4 system,4,0.388,0.280,0.286,0.275,0.560,Weak confinement
S96,H2SO4 system,4,0.474,0.136,0.239,0.242,0.480,Weak confinement
S97,H2SO4 system,4,0.480,0.116,0.233,0.228,0.461,Weak confinement
Overall,,53,"1.313 (weighted)","0.905 (across materials)",,,,
