1000_T_K_inv,T_K,T_C,sigma_S_cm,log10_sigma_mS_cm
3.333333,300.0,26.85,0.007163016325867086,0.855096
3.365115,297.1667,24.02,0.007014837453058913,0.846018
3.397316,294.35,21.2,0.006651502525246465,0.82292
3.430139,291.5333,18.38,0.00619589041905192,0.792104
3.463403,288.7333,15.58,0.005708143269521857,0.756495
3.497319,285.9333,12.78,0.005218491105298415,0.717545
3.531905,283.1333,9.98,0.004740901344334933,0.675861
3.567182,280.3333,7.18,0.004275994719803409,0.631037
3.603171,277.5333,4.38,0.0038338871995502533,0.583639
3.639893,274.7333,1.58,0.003405491959286066,0.53218
3.676921,271.9667,-1.18,0.003005969371566428,0.477985
3.71471,269.2,-3.95,0.0026331307302945054,0.420472
3.753519,266.4167,-6.73,0.0022834615505556233,0.358594
3.792907,263.65,-9.5,0.0019657612551661325,0.293531
3.833621,260.85,-12.3,0.0016707025791573309,0.222899
3.874968,258.0667,-15.08,0.0014093904123824083,0.149031
3.91696,255.3,-17.85,0.0011709716795675331,0.068546
3.960657,252.4833,-20.67,0.0009653497650831628,-0.015315
4.004538,249.7167,-23.43,0.0007815098951257881,-0.107066
4.049129,246.9667,-26.18,0.0006273849233209993,-0.202466
4.094725,244.2167,-28.93,0.0004968753216440004,-0.303753
4.141358,241.4667,-31.68,0.0003928406509048553,-0.405784
4.189067,238.7167,-34.43,0.0002875213796927459,-0.54133
4.238485,235.9333,-37.22,0.00021269095532311586,-0.672251
4.289084,233.15,-40.0,0.00015371705790650944,-0.813278
4.34122,230.35,-42.8,0.00010432912042791665,-0.981594
4.402377,227.15,-46.0,6.778425825885456e-05,-1.168871
4.46495,223.9667,-49.18,4.1292161208292934e-05,-1.384132
4.535147,220.5,-52.65,2.2949727302712315e-05,-1.639222
4.624634,216.2333,-56.92,8.407359662625914e-06,-2.07534
4.725154,211.6333,-61.52,3.5216142439891964e-06,-2.453258
4.824702,207.2667,-65.88,1.2889967365509747e-06,-2.889748
4.940305,202.4167,-70.73,2.9245855362060797e-07,-3.533936
5.06714,197.35,-75.8,4.883565465989318e-08,-4.311263
5.204267,192.15,-81.0,4.9882439551945956e-09,-5.302052

segment,Ea_eV,ln_sigma0,T_range_K_low,T_range_K_high,r_squared,n_points
1,0.2563618826902844,5.1023046902675855,260.85,300.0,0.9859887625793892,15
2,0.4754557862897467,14.913101004100888,230.35,258.07,0.9931841113340505,11
3,0.9978808049013655,41.81254712550681,192.15,227.15,0.9860537731553148,9

breakpoints_1000_T_K_inv
3.874918
4.402377
