# Part 1: Measurement Data
1000_T_K_inv,T_K,T_C,sigma_S_cm,log10_sigma_mS_cm
3.333333,300.000000,26.850000,0.017212,1.235831
3.364926,297.183333,24.033333,0.016968,1.229633
3.397316,294.350000,21.200000,0.016597,1.220041
3.430336,291.516667,18.366667,0.016181,1.209018
3.464003,288.683333,15.533333,0.015742,1.197062
3.498338,285.850000,12.700000,0.015291,1.184444
3.533361,283.016667,9.866667,0.014826,1.171030
3.569092,280.183333,7.033333,0.014328,1.156194
3.605553,277.350000,4.200000,0.013802,1.139953
3.643430,274.466667,1.316667,0.013244,1.122031
3.681885,271.600000,-1.550000,0.012642,1.101825
3.721853,268.683333,-4.466667,0.012033,1.080358
3.761520,265.850000,-7.300000,0.011396,1.056742
3.801800,263.033333,-10.116667,0.010734,1.030778
3.842951,260.216667,-12.933333,0.010046,1.001972
3.885004,257.400000,-15.750000,0.009342,0.970452
3.927987,254.583333,-18.566667,0.008617,0.935376
3.971669,251.783333,-21.366667,0.007891,0.897155
4.016333,248.983333,-24.166667,0.007156,0.854648
4.061738,246.200000,-26.950000,0.006426,0.807971
4.108463,243.400000,-29.750000,0.005708,0.756500
4.156276,240.600000,-32.550000,0.005010,0.699845
4.204920,237.816667,-35.333333,0.004345,0.638010
4.254716,235.033333,-38.116667,0.003720,0.570557
4.305087,232.283333,-40.866667,0.003138,0.496653
4.356982,229.516667,-43.633333,0.002605,0.415822
4.409819,226.766667,-46.383333,0.002126,0.327620
4.464286,224.000000,-49.150000,0.001704,0.231428
4.519774,221.250000,-51.900000,0.001336,0.125866
4.577707,218.450000,-54.700000,0.001027,0.011658
4.636069,215.700000,-57.450000,0.000773,-0.112075
4.695938,212.950000,-60.200000,0.000570,-0.244334
4.756997,210.216667,-62.933333,0.000412,-0.385299
4.819664,207.483333,-65.666667,0.000297,-0.527805
4.884402,204.733333,-68.416667,0.000186,-0.731162
4.950495,202.000000,-71.150000,0.000113,-0.945583
5.028495,198.866667,-74.283333,0.000063,-1.198620
5.113346,195.566667,-77.583333,0.000032,-1.492637
5.211953,191.866667,-81.283333,0.000015,-1.817996
5.332385,187.533333,-85.616667,0.000004,-2.440930
5.468465,182.866667,-90.283333,0.000001,-2.930675
5.615349,178.083333,-95.066667,0.000000,-3.712250
5.777564,173.083333,-100.066667,0.000000,-4.638755
5.960660,167.766667,-105.383333,0.000000,-5.854910

# Part 2: Arrhenius Fit Parameters
segment,Ea_eV,ln_sigma0,T_low_K,T_high_K,r_squared
1,0.079612,-0.960060,268.683333,300.000000,0.988661
2,0.163884,2.700198,246.200000,265.850000,0.994100
3,0.348392,11.583574,210.216667,243.400000,0.990203
4,0.900037,42.814331,167.766667,207.483333,0.984422

# Part 3: Breakpoints
breakpoint_1000_T_K_inv
3.721853
4.061738
4.756997
