material,sample_id,breakpoint_index,temperature_K,total_segments
S8,S8-3-1-2,1,274.75,4
S8,S8-3-1-2,2,247.03333333333333,4
S8,S8-3-1-2,3,232.85,4
S8,S8-3-10-1,1,268.26666666666665,4
S8,S8-3-10-1,2,245.85,4
S8,S8-3-10-1,3,215.33333333333331,4
S8,S8-3-11-1,1,263.295,4
S8,S8-3-11-1,2,245.945,4
S8,S8-3-11-1,3,228.44,4
S8,S8-3-11-2,1,268.56666666666666,4
S8,S8-3-11-2,2,243.25,4
S8,S8-3-11-2,3,207.23333333333335,4
S8,S8-3-2-1,1,283.1333333333333,4
S8,S8-3-2-1,2,258.06666666666666,4
S8,S8-3-2-1,3,227.15,4
S8,S8-3-20-1-1,1,271.65,4
S8,S8-3-20-1-1,2,248.93333333333334,4
S8,S8-3-20-1-1,3,215.68333333333334,4
S8,S8-3-21-1-1,1,274.3833333333333,4
S8,S8-3-21-1-1,2,252.03333333333333,4
S8,S8-3-21-1-1,3,218.86666666666667,4
S8,S8-3-22-1-1,1,274.6666666666667,4
S8,S8-3-22-1-1,2,252.38333333333333,4
S8,S8-3-22-1-1,3,221.95,4
S8,S8-3-23-2-1,1,283.4166666666667,4
S8,S8-3-23-2-1,2,261.35,4
S8,S8-3-23-2-1,3,229.01666666666665,4
S8,S8-3-25-1-1,1,280.0833333333333,4
S8,S8-3-25-1-1,2,260.55,4
S8,S8-3-25-1-1,3,230.1,4
S8,S8-3-28-1-1,1,271.4,4
S8,S8-3-28-1-1,2,254.56666666666666,4
S8,S8-3-28-1-1,3,223.55,4
S8,S8-3-31-1-1,1,271.53333333333336,4
S8,S8-3-31-1-1,2,248.86666666666667,4
S8,S8-3-31-1-1,3,218.21666666666667,4
S8,S8-3-32-1-1,1,274.46666666666664,4
S8,S8-3-32-1-1,2,251.75,4
S8,S8-3-32-1-1,3,218.26666666666665,4
S8,S8-3-33-1-1,1,285.78333333333336,4
S8,S8-3-33-1-1,2,268.75,4
S8,S8-3-33-1-1,3,243.38333333333333,4
S8,S8-3-35-1-1,1,280.56666666666666,4
S8,S8-3-35-1-1,2,258.43333333333334,4
S8,S8-3-35-1-1,3,232.48333333333335,4
S8,S8-3-38-1-1,1,268.68333333333334,4
S8,S8-3-38-1-1,2,246.26666666666665,4
S8,S8-3-38-1-1,3,213.03333333333333,4
S8,S8-3-6-2,1,274.8333333333333,4
S8,S8-3-6-2,2,249.93333333333334,4
S8,S8-3-6-2,3,216.38333333333333,4
S8,S8-3-7-1,1,280.3,4
S8,S8-3-7-1,2,224.63333333333333,4
S8,S8-3-7-1,3,207.18333333333334,4
S8,S8-3-8-2,1,271.6666666666667,4
S8,S8-3-8-2,2,248.96666666666667,4
S8,S8-3-8-2,3,215.75,4
S8,S8-3-9-2,1,255.26666666666665,4
S8,S8-3-9-2,2,238.56666666666666,4
S8,S8-3-9-2,3,222.05,4
S8,S8-3-9-3,1,265.85,4
S8,S8-3-9-3,2,243.4,4
S8,S8-3-9-3,3,207.48333333333335,4
S60,S60-1-1-1,1,284.03333333333336,4
S60,S60-1-1-1,2,267.01666666666665,4
S60,S60-1-1-1,3,228.06666666666666,4
S60,S60-1-3-1,1,278.1166666666667,4
S60,S60-1-3-1,2,255.51666666666665,4
S60,S60-1-3-1,3,215.1,4
S60,S60-2-1-1,1,271.26666666666665,4
S60,S60-2-1-1,2,243.65,4
S60,S60-2-1-1,3,206.21666666666667,4
S60,S60-2-10-1,1,262.51666666666665,4
S60,S60-2-10-1,2,242.43333333333334,4
S60,S60-2-10-1,3,218.13333333333333,4
S60,S60-2-11-1,1,262.81666666666666,4
S60,S60-2-11-1,2,239.33333333333334,4
S60,S60-2-11-1,3,201.71666666666667,4
S60,S60-2-12-1,1,265.9666666666667,4
S60,S60-2-12-1,2,240.16666666666666,4
S60,S60-2-12-1,3,202.85,4
S60,S60-2-13-1,1,268.4,4
S60,S60-2-13-1,2,234.13333333333333,4
S60,S60-2-13-1,3,211.66666666666669,4
S60,S60-2-14-1,1,273.65,4
S60,S60-2-14-1,2,253.66666666666666,4
S60,S60-2-14-1,3,207.33333333333331,4
S60,S60-2-2-1,1,279.71666666666664,4
S60,S60-2-2-1,2,249.25,4
S60,S60-2-2-1,3,211.4,4
S60,S60-2-4-1,1,283.03333333333336,4
S60,S60-2-4-1,2,249.86666666666667,4
S60,S60-2-4-1,3,225.38333333333333,4
S60,S60-2-6-1,1,274.26666666666665,4
S60,S60-2-6-1,2,255.63333333333333,4
S60,S60-2-6-1,3,212.35,4
S60,S60-2-7-1,1,277.85,4
S60,S60-2-7-1,2,255.66666666666666,4
S60,S60-2-7-1,3,223.3,4
S60,S60-2-7-2,1,244.135,4
S60,S60-2-7-2,2,221.22500000000002,4
S60,S60-2-7-2,3,203.24,4
S60,S60-2-8-1,1,275.28333333333336,4
S60,S60-2-8-1,2,244.8,4
S60,S60-2-8-1,3,212.18333333333334,4
S60,S60-2-9-1,1,274.35,4
S60,S60-2-9-1,2,257.31666666666666,4
S60,S60-2-9-1,3,211.15,4
