material,sample_id,breakpoint_index,temperature_K,total_segments
S8,S8-3-1-2,1,274.7500,4
S8,S8-3-1-2,2,247.0333,4
S8,S8-3-1-2,3,232.8500,4
S8,S8-3-10-1,1,268.2667,4
S8,S8-3-10-1,2,245.8500,4
S8,S8-3-10-1,3,215.3333,4
S8,S8-3-11-1,1,263.2950,4
S8,S8-3-11-1,2,245.9450,4
S8,S8-3-11-1,3,228.4400,4
S8,S8-3-11-2,1,268.5667,4
S8,S8-3-11-2,2,243.2500,4
S8,S8-3-11-2,3,207.2333,4
S8,S8-3-2-1,1,283.1333,4
S8,S8-3-2-1,2,258.0667,4
S8,S8-3-2-1,3,227.1500,4
S8,S8-3-20-1-1,1,271.6500,4
S8,S8-3-20-1-1,2,248.9333,4
S8,S8-3-20-1-1,3,215.6833,4
S8,S8-3-21-1-1,1,274.3833,4
S8,S8-3-21-1-1,2,252.0333,4
S8,S8-3-21-1-1,3,218.8667,4
S8,S8-3-22-1-1,1,274.6667,4
S8,S8-3-22-1-1,2,252.3833,4
S8,S8-3-22-1-1,3,221.9500,4
S8,S8-3-23-2-1,1,283.4167,4
S8,S8-3-23-2-1,2,261.3500,4
S8,S8-3-23-2-1,3,229.0167,4
S8,S8-3-25-1-1,1,280.0833,4
S8,S8-3-25-1-1,2,260.5500,4
S8,S8-3-25-1-1,3,230.1000,4
S8,S8-3-28-1-1,1,271.4000,4
S8,S8-3-28-1-1,2,254.5667,4
S8,S8-3-28-1-1,3,223.5500,4
S8,S8-3-31-1-1,1,271.5333,4
S8,S8-3-31-1-1,2,248.8667,4
S8,S8-3-31-1-1,3,218.2167,4
S8,S8-3-32-1-1,1,274.4667,4
S8,S8-3-32-1-1,2,251.7500,4
S8,S8-3-32-1-1,3,218.2667,4
S8,S8-3-33-1-1,1,285.7833,4
S8,S8-3-33-1-1,2,268.7500,4
S8,S8-3-33-1-1,3,243.3833,4
S8,S8-3-35-1-1,1,280.5667,4
S8,S8-3-35-1-1,2,258.4333,4
S8,S8-3-35-1-1,3,232.4833,4
S8,S8-3-38-1-1,1,268.6833,4
S8,S8-3-38-1-1,2,246.2667,4
S8,S8-3-38-1-1,3,213.0333,4
S8,S8-3-6-2,1,274.8333,4
S8,S8-3-6-2,2,249.9333,4
S8,S8-3-6-2,3,216.3833,4
S8,S8-3-7-1,1,280.3000,4
S8,S8-3-7-1,2,224.6333,4
S8,S8-3-7-1,3,207.1833,4
S8,S8-3-8-2,1,271.6667,4
S8,S8-3-8-2,2,248.9667,4
S8,S8-3-8-2,3,215.7500,4
S8,S8-3-9-2,1,255.2667,4
S8,S8-3-9-2,2,238.5667,4
S8,S8-3-9-2,3,222.0500,4
S8,S8-3-9-3,1,265.8500,4
S8,S8-3-9-3,2,243.4000,4
S8,S8-3-9-3,3,207.4833,4
