sample_id,material,n_segments
S60-1-1-1,S60,4
S60-1-3-1,S60,4
S60-2-1-1,S60,4
S60-2-10-1,S60,4
S60-2-11-1,S60,4
S60-2-12-1,S60,4
S60-2-13-1,S60,4
S60-2-14-1,S60,4
S60-2-2-1,S60,4
S60-2-3-1,S60,2
S60-2-4-1,S60,4
S60-2-5-1,S60,0
S60-2-6-1,S60,4
S60-2-7-1,S60,4
S60-2-7-2,S60,4
S60-2-8-1,S60,4
S60-2-9-1,S60,4
S8-2-1-1,S8,2
S8-2-1-2,S8,2
S8-2-2-1,S8,2
S8-2-2-2,S8,2
S8-3-1-1,S8,2
S8-3-1-2,S8,4
S8-3-10-1,S8,4
S8-3-11-1,S8,4
S8-3-11-2,S8,4
S8-3-2-1,S8,4
S8-3-2-2,S8,3
S8-3-2-3,S8,2
S8-3-2-4,S8,2
S8-3-2-5,S8,2
S8-3-20-1-1,S8,4
S8-3-21-1-1,S8,4
S8-3-22-1-1,S8,4
S8-3-23-2-1,S8,4
S8-3-24-1-1,S8,0
S8-3-25-1-1,S8,4
S8-3-27-1-1,S8,2
S8-3-28-1-1,S8,4
S8-3-29-1-1,S8,1
S8-3-3-1,S8,2
S8-3-31-1-1,S8,4
S8-3-32-1-1,S8,4
S8-3-33-1-1,S8,4
S8-3-35-1-1,S8,4
S8-3-37-1-1,S8,3
S8-3-38-1-1,S8,4
S8-3-4-1,S8,2
S8-3-5-1,S8,2
S8-3-6-1,S8,3
S8-3-6-2,S8,4
S8-3-6-3,S8,2
S8-3-7-1,S8,4
S8-3-7-2,S8,1
S8-3-8-2,S8,4
S8-3-9-2,S8,4
S8-3-9-3,S8,4
S8-3-9-4,S8,0
