sample_id,material,N,R,segment,T_low_K,T_high_K,T_mid_K,Ea_eV,r_squared
S60-1-1-1,S60,0.0,1.0408,1,287.2,300.0,293.6,0.1440398370220107,0.9212664990916872
S60-1-1-1,S60,0.0,1.0408,2,269.76666666666665,284.03333333333336,276.9,0.2551811470465397,0.9958561035582925
S60-1-1-1,S60,0.0,1.0408,3,232.13333333333333,267.01666666666665,249.575,0.3393325560762973,0.9989785418612854
S60-1-1-1,S60,0.0,1.0408,4,193.1,228.06666666666666,210.58333333333331,0.79764762869221,0.9828383022646785
S60-1-3-1,S60,0.0,1.0408,1,281.28333333333336,300.0,290.64166666666665,0.9394613172633264,0.985533789345909
S60-1-3-1,S60,0.0,1.0408,2,258.93333333333334,278.1166666666667,268.525,0.48630585717523256,0.9959235351043592
S60-1-3-1,S60,0.0,1.0408,3,218.96666666666667,255.51666666666665,237.24166666666667,0.6583060157976375,0.9909066900443351
S60-1-3-1,S60,0.0,1.0408,4,193.23333333333335,215.1,204.16666666666669,0.856187535823725,0.9914360294392089
S60-2-1-1,S60,0.0,0.076,1,274.0,300.0,287.0,0.10548631791203393,0.974873200622347
S60-2-1-1,S60,0.0,0.076,2,246.41666666666666,271.26666666666665,258.84166666666664,0.17186705572713268,0.9995595471738138
S60-2-1-1,S60,0.0,0.076,3,210.95,243.65,227.3,0.4546781275599819,0.9758546513186228
S60-2-1-1,S60,0.0,0.076,4,180.61666666666667,206.21666666666667,193.41666666666669,0.7818719791629996,0.9934196912190166
S60-2-10-1,S60,0.0,0.4079,1,265.3666666666667,300.0,282.68333333333334,0.060343622516107476,0.8154862115753967
S60-2-10-1,S60,0.0,0.4079,2,245.31666666666666,262.51666666666665,253.91666666666666,0.27309600195324435,0.9999039543849811
S60-2-10-1,S60,0.0,0.4079,3,226.4,242.43333333333334,234.41666666666669,0.3612211470985926,0.9984140255122234
S60-2-10-1,S60,0.0,0.4079,4,182.56666666666666,218.13333333333333,200.35,0.7315018798073836,0.9852515857717522
S60-2-11-1,S60,0.0,0.5511,1,265.65,300.0,282.825,0.2108729813698176,0.9973733093548047
S60-2-11-1,S60,0.0,0.5511,2,242.53333333333333,262.81666666666666,252.675,0.3092500402631075,0.9949137990023906
S60-2-11-1,S60,0.0,0.5511,3,206.6,239.33333333333334,222.96666666666667,0.5080275545054184,0.9865567385452817
S60-2-11-1,S60,0.0,0.5511,4,163.03333333333333,201.71666666666667,182.375,0.4036505513048612,0.7306484734089493
S60-2-12-1,S60,0.0,0.204,1,268.81666666666666,300.0,284.4083333333333,0.17173287674226542,0.9945409722898585
S60-2-12-1,S60,0.0,0.204,2,243.08333333333334,265.9666666666667,254.52500000000003,0.15357514785536558,0.9977137811892149
S60-2-12-1,S60,0.0,0.204,3,207.25,240.16666666666666,223.70833333333331,0.34580434116809683,0.9783987284675109
S60-2-12-1,S60,0.0,0.204,4,166.56666666666666,202.85,184.70833333333331,0.7692011695197999,0.9654114852604556
S60-2-13-1,S60,0.0,0.1522,1,271.26666666666665,300.0,285.6333333333333,0.059711122020994836,0.9932776038777963
S60-2-13-1,S60,0.0,0.1522,2,237.0,268.4,252.7,0.19590712582367628,0.9829946568317612
S60-2-13-1,S60,0.0,0.1522,3,219.18333333333334,234.13333333333333,226.65833333333333,0.5548709707709945,0.9894000786857681
S60-2-13-1,S60,0.0,0.1522,4,182.61666666666667,211.66666666666669,197.14166666666668,0.7071926918262589,0.9881603169572214
S60-2-14-1,S60,0.0,0.0684,1,276.5,300.0,288.25,0.13680090299146597,0.9918445376004099
S60-2-14-1,S60,0.0,0.0684,2,256.5333333333333,273.65,265.09166666666664,0.07236604307597386,0.9853402757392904
S60-2-14-1,S60,0.0,0.0684,3,217.01666666666665,253.66666666666666,235.34166666666664,0.3554168242940827,0.8247622453784516
S60-2-14-1,S60,0.0,0.0684,4,182.25,207.33333333333331,194.79166666666666,0.8130373443628552,0.9906431259610214
S60-2-2-1,S60,0.0,0.0223,1,282.46666666666664,300.0,291.23333333333335,0.05185402134406283,0.9647694428709822
S60-2-2-1,S60,0.0,0.0223,2,252.08333333333334,279.71666666666664,265.9,0.11262621833836899,0.9900108261493815
S60-2-2-1,S60,0.0,0.0223,3,216.0,249.25,232.625,0.4372059130847912,0.9714619798339036
S60-2-2-1,S60,0.0,0.0223,4,178.26666666666665,211.4,194.83333333333331,0.717079844561003,0.9939632968668376
S60-2-3-1,S60,0.0,0.0068,1,261.2833333333333,300.0,280.64166666666665,0.09523454713488302,0.9572524431132573
S60-2-3-1,S60,0.0,0.0068,2,228.13333333333333,256.3,242.21666666666667,0.7770771960434341,0.9001765821475685
S60-2-4-1,S60,0.0,0.0394,1,285.76666666666665,300.0,292.8833333333333,0.0473337574049323,0.9778400258522103
S60-2-4-1,S60,0.0,0.0394,2,252.68333333333334,283.03333333333336,267.85833333333335,0.1257612450849837,0.9965146678309134
S60-2-4-1,S60,0.0,0.0394,3,230.46666666666667,249.86666666666667,240.16666666666669,0.27662842579340724,0.7575506486382434
S60-2-4-1,S60,0.0,0.0394,4,189.15,225.38333333333333,207.26666666666665,0.6364427258967179,0.9965035023931081
S60-2-6-1,S60,0.0,0.0113,1,277.43333333333334,300.0,288.7166666666667,0.0741110357725562,0.9650253212777905
S60-2-6-1,S60,0.0,0.0113,2,258.8833333333333,274.26666666666665,266.575,0.14485482512914585,0.9829692389555584
S60-2-6-1,S60,0.0,0.0113,3,217.48333333333335,255.63333333333333,236.55833333333334,0.4447375172299726,0.9885087481185829
S60-2-6-1,S60,0.0,0.0113,4,184.81666666666666,212.35,198.58333333333331,0.7356762090862663,0.9956812712625488
S60-2-7-1,S60,0.0,0.2941,1,284.21666666666664,300.0,292.10833333333335,0.11899553377773366,0.9901739328118352
S60-2-7-1,S60,0.0,0.2941,2,258.95,277.85,268.4,0.17862706289986038,0.998181611000549
S60-2-7-1,S60,0.0,0.2941,3,232.85,255.66666666666666,244.25833333333333,0.2876503802168004,0.9784964898127569
S60-2-7-1,S60,0.0,0.2941,4,178.23333333333335,223.3,200.76666666666668,0.6147057859755809,0.9835175322776695
S60-2-7-2,S60,0.0,0.2941,1,254.675,300.0,277.3375,0.17752544530544156,0.9957400484912914
S60-2-7-2,S60,0.0,0.2941,2,222.445,244.135,233.29,0.3795399494748157,0.9950108160796748
S60-2-7-2,S60,0.0,0.2941,3,204.635,221.22500000000002,212.93,0.4315176883500679,0.999450780970231
S60-2-7-2,S60,0.0,0.2941,4,174.35500000000002,203.24,188.7975,0.7243798100154797,0.9949536200182358
S60-2-8-1,S60,0.0,0.4247,1,278.03333333333336,300.0,289.01666666666665,0.14097458247658265,0.9735879006791368
S60-2-8-1,S60,0.0,0.4247,2,247.66666666666666,275.28333333333336,261.475,0.22993495931956384,0.997970392412281
S60-2-8-1,S60,0.0,0.4247,3,217.1,244.8,230.95,0.37768205971152746,0.9727901789903654
S60-2-8-1,S60,0.0,0.4247,4,176.45,212.18333333333334,194.31666666666666,0.8065617358322267,0.987140537687835
S60-2-9-1,S60,0.0,0.3079,1,277.2,300.0,288.6,0.1288800568673657,0.9988559727876052
S60-2-9-1,S60,0.0,0.3079,2,260.1666666666667,274.35,267.2583333333333,0.12002116120670395,0.9937299967088727
S60-2-9-1,S60,0.0,0.3079,3,215.03333333333333,257.31666666666666,236.175,0.28916758194342634,0.9875120476926558
S60-2-9-1,S60,0.0,0.3079,4,169.51666666666668,211.15,190.33333333333334,0.7886285983586576,0.9686933090029096
S8-2-1-1,S8,4.656000000000001,1.0408163265306123,1,240.5,300.0,270.25,0.20415859150946467,0.9380977962805452
S8-2-1-1,S8,4.656000000000001,1.0408163265306123,2,183.4,232.2,207.8,0.9252316707375889,0.9419212035688701
S8-2-1-2,S8,4.656000000000001,1.0408163265306123,1,249.64999999999998,300.0,274.825,0.16378746761498794,0.925342202730026
S8-2-1-2,S8,4.656000000000001,1.0408163265306123,2,198.54999999999998,241.35,219.95,0.5457057092742814,0.9798290189221799
S8-2-2-1,S8,4.1386666666666665,1.040816326530612,1,266.15,300.0,283.075,0.5042296644656525,0.9546470519757069
S8-2-2-1,S8,4.1386666666666665,1.040816326530612,2,196.4,232.75,214.575,0.8675665108415722,0.9577628872642475
S8-2-2-2,S8,4.1386666666666665,1.040816326530612,1,258.05,300.0,279.025,0.22272672811261987,0.9633293647292913
S8-2-2-2,S8,4.1386666666666665,1.040816326530612,2,204.10000000000002,249.8,226.95000000000002,0.7292088301285863,0.9645394366079223
S8-3-1-1,S8,3.8920000000000003,0.3865699438677833,1,240.3,300.0,270.15,0.19771554716426104,0.9062290943225088
S8-3-1-1,S8,3.8920000000000003,0.3865699438677833,2,189.60000000000002,232.0,210.8,0.49231545829348994,0.9662261720668877
S8-3-1-2,S8,3.8920000000000003,0.3865699438677833,1,277.55,300.0,288.775,0.12863935598445764,0.9292773757712656
S8-3-1-2,S8,3.8920000000000003,0.3865699438677833,2,249.8,274.75,262.275,0.2789101278349105,0.9952127436567787
S8-3-1-2,S8,3.8920000000000003,0.3865699438677833,3,235.65,247.03333333333333,241.34166666666667,0.4122021985197833,0.9995391998318057
S8-3-1-2,S8,3.8920000000000003,0.3865699438677833,4,214.85,232.85,223.85,0.6460835859318489,0.9901576123507946
S8-3-10-1,S8,4.926666666666667,0.458644786705142,1,271.0833333333333,300.0,285.54166666666663,0.10150063535361925,0.9870462629695602
S8-3-10-1,S8,4.926666666666667,0.458644786705142,2,248.65,268.26666666666665,258.4583333333333,0.1873571923872646,0.9937538384250659
S8-3-10-1,S8,4.926666666666667,0.458644786705142,3,218.08333333333331,245.85,231.96666666666664,0.36556403043732183,0.9930025970466121
S8-3-10-1,S8,4.926666666666667,0.458644786705142,4,176.5,215.33333333333331,195.91666666666666,0.9126809435551388,0.9846614491399083
S8-3-11-1,S8,4.492933333333334,0.30793441143316214,1,264.125,300.0,282.0625,0.3172778604548202,0.9927100742877141
S8-3-11-1,S8,4.492933333333334,0.30793441143316214,2,246.77,263.295,255.03250000000003,0.48430311636539036,0.9988339025564464
S8-3-11-1,S8,4.492933333333334,0.30793441143316214,3,229.59,245.945,237.76749999999998,0.657264432081637,0.9985162418240596
S8-3-11-1,S8,4.492933333333334,0.30793441143316214,4,194.46499999999997,228.44,211.4525,1.1227672738152943,0.9902259659606671
