Freq (Hz),	Z'(Ohm.cm^2),	Z''(Ohm.cm^2),	MOD(Ohm.cm^2),	Angle(Degree)
1028.569946, 7498.700195, 63.762100, 7498.971191, 0.487179
800.000000, 7882.609863, -907.205017, 7934.643066, -6.565253
635.294006, 7970.919922, -863.789001, 8017.586426, -6.184868
502.325989, 8030.500000, -839.531982, 8074.264160, -5.968190
392.726990, 8237.139648, -840.809021, 8279.941406, -5.828301
308.571014, 8346.570313, -845.921997, 8389.328125, -5.787147
242.697006, 8418.669922, -861.741028, 8462.659180, -5.844481
192.856995, 8583.040039, -759.476990, 8616.576172, -5.056692
152.113007, 8648.490234, -734.500977, 8679.624023, -4.854380
120.000000, 8781.910156, -719.848022, 8811.363281, -4.686026
94.736801, 8899.610352, -770.452026, 8932.897461, -4.947842
75.000000, 9051.500000, -829.318970, 9089.413086, -5.234953
59.340698, 8986.629883, -694.960022, 9013.461914, -4.422034
46.551701, 9117.219727, -782.648010, 9150.750000, -4.906404
36.734699, 9279.009766, -877.614014, 9320.419922, -5.402995
29.032301, 9429.309570, -943.140991, 9476.359375, -5.711857
22.881399, 9538.790039, -1068.260010, 9598.421875, -6.389994
18.750000, 9722.400391, -1129.979980, 9787.845703, -6.629423
14.516100, 9848.469727, -1434.339966, 9952.371094, -8.286348
11.538500, 9974.740234, -1651.459961, 10110.527344, -9.400852
9.000000, 613698.000000, -86273.898438, 619732.562500, -8.002222
7.031250, 626503.000000, -111732.000000, 636388.250000, -10.111951
5.555560, 641747.000000, -143417.000000, 657577.125000, -12.597411
4.411760, 656481.000000, -179970.000000, 680702.937500, -15.330620
3.461540, 673315.000000, -224745.000000, 709833.375000, -18.458433
2.743900, 688149.000000, -276820.000000, 741740.125000, -21.913322
2.163460, 711185.000000, -336463.000000, 786760.125000, -25.318920
1.704550, 737895.000000, -404577.000000, 841529.312500, -28.735313
1.347310, 749813.000000, -490986.000000, 896262.687500, -33.217232
1.061320, 794154.000000, -551009.000000, 966587.562500, -34.754128
0.839552, 767008.000000, -711915.000000, 1046481.875000, -42.866596
0.661765, 821331.000000, -830527.000000, 1168058.125000, -45.318966
0.523256, 918416.000000, -1118890.000000, 1447550.625000, -50.619904
0.413603, 952937.000000, -1347420.000000, 1650342.250000, -54.730869
0.327035, 1056110.000000, -1596260.000000, 1914004.875000, -56.510765
0.258028, 1072300.000000, -1923160.000000, 2201901.750000, -60.857193
0.203804, 1074430.000000, -2290380.000000, 2529869.750000, -64.868462
0.160944, 1071760.000000, -2638060.000000, 2847460.250000, -67.889656
0.126689, 1124090.000000, -2852230.000000, 3065745.250000, -68.490143
0.100446, 1092000.000000, -2909410.000000, 3107592.250000, -69.427193
