Freq (Hz),	Z'(Ohm.cm^2),	Z''(Ohm.cm^2),	MOD(Ohm.cm^2),	Angle(Degree)
307200.000000, -0.327784, 4.163550, 4.176433, 85.498589
276480.000000, 0.309473, 3.130150, 3.145411, 84.353607
197486.000000, 1.142530, 2.186800, 2.467280, 62.414440
153600.000000, 1.501150, 1.644730, 2.226789, 47.613201
125673.000000, 1.706280, 1.297460, 2.143547, 37.249454
98742.898438, 1.871540, 0.978451, 2.111878, 27.600807
76800.000000, 1.975490, 0.736835, 2.108432, 20.454937
60104.300781, 2.054730, 0.494221, 2.113331, 13.524359
49371.398438, 2.070280, 0.361200, 2.101553, 9.896731
38400.000000, 2.085730, 0.213351, 2.096614, 5.840517
30052.199219, 2.095630, 0.082145, 2.097239, 2.244758
23834.500000, 2.107890, -0.035630, 2.108191, -0.968379
18681.099609, 2.124080, -0.158267, 2.129968, -4.261283
14706.400391, 2.140890, -0.283281, 2.159550, -7.537549
11520.000000, 2.164090, -0.422127, 2.204876, -11.037511
9600.000000, 2.183400, -0.535043, 2.248001, -13.769023
7513.040039, 2.216070, -0.709188, 2.326782, -17.745743
5760.000000, 2.263050, -0.928691, 2.446193, -22.311844
4547.370117, 2.311390, -1.165470, 2.588599, -26.758570
3600.000000, 2.368480, -1.448720, 2.776416, -31.452728
2880.000000, 2.433690, -1.774340, 3.011832, -36.094814
2273.679932, 2.506190, -2.178930, 3.320952, -41.004326
1781.439941, 2.623550, -2.703120, 3.766945, -45.855820
1416.390015, 2.760180, -3.307830, 4.308170, -50.157089
1122.079956, 2.940410, -4.056630, 5.010215, -54.063881
900.000000, 3.151600, -4.931750, 5.852755, -57.419674
720.000000, 3.413130, -5.983970, 6.888930, -60.300476
568.421021, 3.769580, -7.338710, 8.250236, -62.812389
440.816010, 4.267070, -9.122560, 10.071196, -64.932198
354.097992, 4.812500, -10.980400, 11.988717, -66.333084
276.923004, 5.602210, -13.484500, 14.601934, -67.439293
220.408005, 6.533260, -16.279400, 17.541447, -68.133385
174.194000, 7.731830, -19.695299, 21.158592, -68.566399
137.580002, 9.206600, -23.756399, 25.477991, -68.816551
109.091003, 10.945000, -28.497000, 30.526579, -68.989441
87.096802, 12.951900, -34.058701, 36.438259, -69.179108
68.354401, 15.429400, -41.268902, 44.058922, -69.500504
54.545502, 18.153700, -48.333302, 51.630077, -69.414124
42.857101, 21.319201, -58.184399, 61.967190, -69.876793
33.962299, 24.300501, -69.692703, 73.807770, -70.777328
26.865700, 28.358200, -84.216003, 88.862381, -71.389992
21.343901, 32.863201, -101.533997, 106.719925, -72.064941
17.307699, 37.619499, -120.847000, 126.567078, -72.708702
13.636400, 43.776901, -147.328995, 153.695313, -73.451378
10.714300, 51.201801, -180.356995, 187.484055, -74.151207
8.490570, 59.680000, -219.589996, 227.555420, -74.795456
6.716420, 69.910698, -268.235992, 277.196777, -75.391899
5.294120, 82.292603, -328.550995, 338.700195, -75.938347
4.166670, 96.839699, -403.686005, 415.138916, -76.510300
3.308820, 113.163002, -492.446991, 505.282013, -77.058258
2.616280, 132.425003, -603.653015, 618.007568, -77.626862
2.073730, 154.360992, -740.120972, 756.046570, -78.219162
1.642340, 179.712006, -909.737976, 927.318481, -78.825516
1.300580, 210.024002, -1121.219971, 1140.720947, -79.390450
1.032110, 245.992996, -1382.060059, 1403.781494, -79.907608
0.815217, 291.227997, -1713.300049, 1737.875366, -80.353027
0.646552, 347.161011, -2117.479980, 2145.749756, -80.689201
0.511364, 413.498993, -2628.270020, 2660.598633, -81.059082
0.407609, 507.393005, -3240.989990, 3280.467041, -81.102272
0.321429, 635.724976, -4055.409912, 4104.935547, -81.090843
0.254525, 814.552979, -5024.790039, 5090.384277, -80.792046
0.201613, 1054.300049, -6222.470215, 6311.155762, -80.383438
0.159574, 1385.270020, -7700.839844, 7824.442871, -79.802391
0.126689, 1835.650024, -9484.200195, 9660.209961, -79.045967
0.100446, 2460.149902, -11674.799805, 11931.190430, -78.100540
