June 11, 2026   19:18:46
A.C. Impedance
File: e:\chi_data\Data Source:  Experiment
Instrument Model:  CHI660E
Header: 
Note: 

Init E (V) = 0
High Frequency (Hz) = 1e+6
Low Frequency (Hz) = 0.1
Imp SF
Amplitude (V) = 0.005
Quiet Time (sec) = 2
Cycles (.1-1Hz) = 1

Freq/Hz, Z'/ohm, Z"/ohm, Z/ohm, Phase/deg

8.252e+5, 2.722e+2, -9.497e+1, 2.882e+2, -19.2
6.816e+5, 3.021e+2, -1.079e+2, 3.208e+2, -19.7
5.625e+5, 3.303e+2, -1.102e+2, 3.482e+2, -18.5
4.639e+5, 3.566e+2, -1.115e+2, 3.737e+2, -17.4
3.828e+5, 3.811e+2, -1.063e+2, 3.956e+2, -15.6
3.164e+5, 4.013e+2, -9.967e+1, 4.135e+2, -13.9
2.607e+5, 4.182e+2, -9.065e+1, 4.279e+2, -12.2
2.158e+5, 4.319e+2, -8.163e+1, 4.395e+2, -10.7
1.777e+5, 4.430e+2, -7.384e+1, 4.491e+2, -9.5
1.465e+5, 4.520e+2, -6.666e+1, 4.569e+2, -8.4
1.211e+5, 4.590e+2, -5.817e+1, 4.627e+2, -7.2
9.961e+4, 4.644e+2, -4.977e+1, 4.671e+2, -6.1
8.252e+4, 4.689e+2, -4.236e+1, 4.708e+2, -5.2
6.812e+4, 4.728e+2, -3.606e+1, 4.742e+2, -4.4
5.625e+4, 4.758e+2, -3.057e+1, 4.768e+2, -3.7
4.644e+4, 4.779e+2, -2.639e+1, 4.786e+2, -3.2
3.833e+4, 4.801e+2, -2.324e+1, 4.806e+2, -2.8
3.164e+4, 4.833e+2, -2.059e+1, 4.837e+2, -2.4
2.612e+4, 4.859e+2, -1.872e+1, 4.863e+2, -2.2
2.153e+4, 4.878e+2, -1.687e+1, 4.881e+2, -2.0
1.777e+4, 4.890e+2, -1.450e+1, 4.892e+2, -1.7
1.470e+4, 4.899e+2, -1.234e+1, 4.901e+2, -1.4
1.211e+4, 4.911e+2, -1.142e+1, 4.912e+2, -1.3
1.001e+4, 4.921e+2, -9.334e+0, 4.922e+2, -1.1
