June 12, 2026   11:55:07
A.C. Impedance
File: e:\chi_data\Data Source:  Experiment
Instrument Model:  CHI660E
Header: 
Note: 

Init E (V) = 0
High Frequency (Hz) = 1e+6
Low Frequency (Hz) = 0.1
Imp SF
Amplitude (V) = 0.005
Quiet Time (sec) = 2
Cycles (.1-1Hz) = 1

Freq/Hz, Z'/ohm, Z"/ohm, Z/ohm, Phase/deg

8.252e+5, 3.393e+0, 1.429e+1, 1.468e+1, 76.6
6.816e+5, 2.765e+0, 1.163e+1, 1.195e+1, 76.6
5.625e+5, 2.168e+0, 9.661e+0, 9.901e+0, 77.4
4.639e+5, 1.894e+0, 7.928e+0, 8.151e+0, 76.6
3.828e+5, 1.704e+0, 6.602e+0, 6.818e+0, 75.5
3.164e+5, 1.603e+0, 5.463e+0, 5.694e+0, 73.6
2.607e+5, 1.500e+0, 4.541e+0, 4.783e+0, 71.7
2.158e+5, 1.419e+0, 3.749e+0, 4.008e+0, 69.3
1.777e+5, 1.360e+0, 3.078e+0, 3.365e+0, 66.2
1.465e+5, 1.322e+0, 2.512e+0, 2.839e+0, 62.2
1.211e+5, 1.285e+0, 1.911e+0, 2.302e+0, 56.1
9.961e+4, 1.255e+0, 1.325e+0, 1.825e+0, 46.5
8.252e+4, 1.234e+0, 9.205e-1, 1.540e+0, 36.7
6.812e+4, 1.226e+0, 6.553e-1, 1.391e+0, 28.1
5.625e+4, 1.225e+0, 4.869e-1, 1.318e+0, 21.7
4.644e+4, 1.229e+0, 3.489e-1, 1.278e+0, 15.8
3.833e+4, 1.237e+0, 2.233e-1, 1.257e+0, 10.2
3.164e+4, 1.248e+0, 9.772e-2, 1.251e+0, 4.5
2.612e+4, 1.260e+0, -2.684e-2, 1.261e+0, -1.2
2.153e+4, 1.274e+0, -1.540e-1, 1.283e+0, -6.9
1.777e+4, 1.290e+0, -2.822e-1, 1.321e+0, -12.3
1.470e+4, 1.310e+0, -4.137e-1, 1.374e+0, -17.5
1.211e+4, 1.334e+0, -5.518e-1, 1.444e+0, -22.5
1.001e+4, 1.362e+0, -7.030e-1, 1.532e+0, -27.3
8.252e+3, 1.393e+0, -8.735e-1, 1.644e+0, -32.1
6.812e+3, 1.430e+0, -1.066e+0, 1.784e+0, -36.7
5.625e+3, 1.473e+0, -1.287e+0, 1.956e+0, -41.1
4.643e+3, 1.523e+0, -1.541e+0, 2.166e+0, -45.3
3.833e+3, 1.581e+0, -1.838e+0, 2.425e+0, -49.3
3.164e+3, 1.659e+0, -2.191e+0, 2.748e+0, -52.9
2.612e+3, 1.755e+0, -2.611e+0, 3.146e+0, -56.1
2.153e+3, 1.863e+0, -3.105e+0, 3.621e+0, -59.0
1.777e+3, 1.986e+0, -3.685e+0, 4.186e+0, -61.7
1.470e+3, 2.129e+0, -4.368e+0, 4.859e+0, -64.0
1.211e+3, 2.299e+0, -5.170e+0, 5.658e+0, -66.0
