June 12, 2026   22:57:41
A.C. Impedance
File: e:\chi_data\Data Source:  Experiment
Instrument Model:  CHI660E
Header: 
Note: 

Init E (V) = 0
High Frequency (Hz) = 1e+6
Low Frequency (Hz) = 0.1
Imp SF
Amplitude (V) = 0.005
Quiet Time (sec) = 2
Cycles (.1-1Hz) = 1

Freq/Hz, Z'/ohm, Z"/ohm, Z/ohm, Phase/deg

8.252e+5, 5.390e+0, 1.396e+1, 1.497e+1, 68.9
6.816e+5, 4.900e+0, 1.144e+1, 1.244e+1, 66.8
5.625e+5, 4.276e+0, 9.473e+0, 1.039e+1, 65.7
4.639e+5, 4.028e+0, 7.779e+0, 8.760e+0, 62.6
3.828e+5, 3.815e+0, 6.468e+0, 7.509e+0, 59.5
3.164e+5, 3.716e+0, 5.364e+0, 6.525e+0, 55.3
2.607e+5, 3.607e+0, 4.458e+0, 5.735e+0, 51.0
2.158e+5, 3.532e+0, 3.678e+0, 5.099e+0, 46.2
1.777e+5, 3.481e+0, 3.022e+0, 4.609e+0, 41.0
1.465e+5, 3.449e+0, 2.469e+0, 4.241e+0, 35.6
1.211e+5, 3.412e+0, 2.019e+0, 3.965e+0, 30.6
9.961e+4, 3.386e+0, 1.647e+0, 3.765e+0, 25.9
8.252e+4, 3.367e+0, 1.336e+0, 3.622e+0, 21.6
6.812e+4, 3.360e+0, 1.065e+0, 3.525e+0, 17.6
5.625e+4, 3.358e+0, 8.336e-1, 3.460e+0, 13.9
4.644e+4, 3.359e+0, 6.327e-1, 3.418e+0, 10.7
3.833e+4, 3.364e+0, 4.568e-1, 3.395e+0, 7.7
3.164e+4, 3.372e+0, 2.972e-1, 3.385e+0, 5.0
2.612e+4, 3.382e+0, 1.511e-1, 3.385e+0, 2.6
2.153e+4, 3.393e+0, 1.516e-2, 3.393e+0, 0.3
1.777e+4, 3.407e+0, -1.151e-1, 3.409e+0, -1.9
1.470e+4, 3.425e+0, -2.450e-1, 3.434e+0, -4.1
1.211e+4, 3.443e+0, -3.798e-1, 3.464e+0, -6.3
1.001e+4, 3.467e+0, -5.231e-1, 3.506e+0, -8.6
8.252e+3, 3.494e+0, -6.803e-1, 3.560e+0, -11.0
6.812e+3, 3.528e+0, -8.541e-1, 3.630e+0, -13.6
5.625e+3, 3.566e+0, -1.050e+0, 3.717e+0, -16.4
4.643e+3, 3.610e+0, -1.274e+0, 3.828e+0, -19.4
3.833e+3, 3.662e+0, -1.531e+0, 3.969e+0, -22.7
3.164e+3, 3.724e+0, -1.830e+0, 4.149e+0, -26.2
2.612e+3, 3.797e+0, -2.180e+0, 4.379e+0, -29.9
2.153e+3, 3.883e+0, -2.593e+0, 4.669e+0, -33.7
1.777e+3, 3.985e+0, -3.077e+0, 5.034e+0, -37.7
1.470e+3, 4.105e+0, -3.646e+0, 5.491e+0, -41.6
1.211e+3, 4.250e+0, -4.316e+0, 6.057e+0, -45.4
1.001e+3, 4.425e+0, -5.102e+0, 6.753e+0, -49.1
8.252e+2, 4.636e+0, -6.024e+0, 7.601e+0, -52.4
6.836e+2, 4.889e+0, -7.117e+0, 8.635e+0, -55.5
5.615e+2, 5.192e+0, -8.409e+0, 9.883e+0, -58.3
4.639e+2, 5.552e+0, -9.932e+0, 1.138e+1, -60.8
3.809e+2, 5.973e+0, -1.170e+1, 1.313e+1, -62.9
3.174e+2, 6.469e+0, -1.378e+1, 1.522e+1, -64.8
2.588e+2, 7.046e+0, -1.622e+1, 1.768e+1, -66.5
2.148e+2, 7.732e+0, -1.913e+1, 2.063e+1, -68.0
1.758e+2, 8.532e+0, -2.256e+1, 2.412e+1, -69.3
1.465e+2, 9.424e+0, -2.645e+1, 2.808e+1, -70.4
1.221e+2, 1.051e+1, -3.126e+1, 3.297e+1, -71.4
9.766e+1, 1.185e+1, -3.684e+1, 3.870e+1, -72.2
8.254e+1, 1.338e+1, -4.321e+1, 4.524e+1, -72.8
6.813e+1, 1.510e+1, -5.083e+1, 5.303e+1, -73.5
5.623e+1, 1.702e+1, -5.985e+1, 6.222e+1, -74.1
4.642e+1, 1.921e+1, -7.060e+1, 7.316e+1, -74.8
3.831e+1, 2.176e+1, -8.337e+1, 8.616e+1, -75.4
3.162e+1, 2.471e+1, -9.844e+1, 1.015e+2, -75.9
2.610e+1, 2.812e+1, -1.163e+2, 1.196e+2, -76.4
2.154e+1, 3.207e+1, -1.375e+2, 1.411e+2, -76.9
1.778e+1, 3.659e+1, -1.626e+2, 1.667e+2, -77.3
1.468e+1, 4.170e+1, -1.925e+2, 1.970e+2, -77.8
1.212e+1, 4.754e+1, -2.281e+2, 2.330e+2, -78.2
1.000e+1, 5.449e+1, -2.703e+2, 2.757e+2, -78.6
8.254e+0, 6.254e+1, -3.205e+2, 3.266e+2, -79.0
6.813e+0, 7.144e+1, -3.805e+2, 3.871e+2, -79.4
5.623e+0, 8.133e+1, -4.520e+2, 4.593e+2, -79.8
4.642e+0, 9.235e+1, -5.378e+2, 5.457e+2, -80.3
3.831e+0, 1.053e+2, -6.402e+2, 6.488e+2, -80.7
3.162e+0, 1.200e+2, -7.635e+2, 7.728e+2, -81.1
2.610e+0, 1.373e+2, -9.114e+2, 9.216e+2, -81.4
2.154e+0, 1.546e+2, -1.091e+3, 1.102e+3, -81.9
1.778e+0, 1.734e+2, -1.307e+3, 1.319e+3, -82.4
1.468e+0, 1.993e+2, -1.566e+3, 1.579e+3, -82.7
1.212e+0, 2.336e+2, -1.877e+3, 1.892e+3, -82.9
1.000e+0, 2.818e+2, -2.237e+3, 2.254e+3, -82.8
8.254e-1, 3.433e+2, -2.652e+3, 2.674e+3, -82.6
6.813e-1, 4.167e+2, -3.148e+3, 3.176e+3, -82.5
5.623e-1, 5.046e+2, -3.743e+3, 3.777e+3, -82.3
4.642e-1, 6.109e+2, -4.459e+3, 4.500e+3, -82.2
3.831e-1, 7.465e+2, -5.311e+3, 5.363e+3, -82.0
3.162e-1, 9.182e+2, -6.323e+3, 6.390e+3, -81.7
2.610e-1, 1.137e+3, -7.525e+3, 7.610e+3, -81.4
2.154e-1, 1.409e+3, -8.942e+3, 9.053e+3, -81.0
1.778e-1, 1.756e+3, -1.060e+4, 1.075e+4, -80.6
1.468e-1, 2.194e+3, -1.253e+4, 1.272e+4, -80.1
1.212e-1, 2.776e+3, -1.481e+4, 1.507e+4, -79.4
1.000e-1, 3.529e+3, -1.749e+4, 1.784e+4, -78.6
